epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
23,8.002114980363401e-06,0.00019202688189254595,"tf.Tensor(0.5882154, shape=(), dtype=float32)","tf.Tensor(0.4451399, shape=(), dtype=float32)","tf.Tensor(0.8912876, shape=(), dtype=float32)","tf.Tensor(0.6573915, shape=(), dtype=float32)"
24,8.425592509497727e-06,0.0002004524744020437,"tf.Tensor(0.58134496, shape=(), dtype=float32)","tf.Tensor(0.44065908, shape=(), dtype=float32)","tf.Tensor(0.893402, shape=(), dtype=float32)","tf.Tensor(0.65939057, shape=(), dtype=float32)"
25,9.023905344682374e-06,0.00020947637974672606,"tf.Tensor(0.5759905, shape=(), dtype=float32)","tf.Tensor(0.4377526, shape=(), dtype=float32)","tf.Tensor(0.89680624, shape=(), dtype=float32)","tf.Tensor(0.6620287, shape=(), dtype=float32)"
26,1.0541461144857239e-05,0.0002200178408915833,"tf.Tensor(0.57102716, shape=(), dtype=float32)","tf.Tensor(0.4336241, shape=(), dtype=float32)","tf.Tensor(0.8980519, shape=(), dtype=float32)","tf.Tensor(0.6624824, shape=(), dtype=float32)"
27,1.1621326263369832e-05,0.00023163916715495314,"tf.Tensor(0.56638783, shape=(), dtype=float32)","tf.Tensor(0.42999145, shape=(), dtype=float32)","tf.Tensor(0.90070987, shape=(), dtype=float32)","tf.Tensor(0.66355836, shape=(), dtype=float32)"
28,1.019852510240091e-05,0.00024183769225735404,"tf.Tensor(0.56175613, shape=(), dtype=float32)","tf.Tensor(0.42763135, shape=(), dtype=float32)","tf.Tensor(0.90258473, shape=(), dtype=float32)","tf.Tensor(0.6662287, shape=(), dtype=float32)"
29,8.691924203254402e-06,0.00025052961646060846,"tf.Tensor(0.5589088, shape=(), dtype=float32)","tf.Tensor(0.42489707, shape=(), dtype=float32)","tf.Tensor(0.90540487, shape=(), dtype=float32)","tf.Tensor(0.66721946, shape=(), dtype=float32)"
30,8.610748385151936e-06,0.0002591403648457604,"tf.Tensor(0.55615354, shape=(), dtype=float32)","tf.Tensor(0.4237115, shape=(), dtype=float32)","tf.Tensor(0.9085711, shape=(), dtype=float32)","tf.Tensor(0.66964436, shape=(), dtype=float32)"
31,8.536062429799555e-06,0.00026767642727556,"tf.Tensor(0.55426735, shape=(), dtype=float32)","tf.Tensor(0.42214486, shape=(), dtype=float32)","tf.Tensor(0.91053075, shape=(), dtype=float32)","tf.Tensor(0.67007476, shape=(), dtype=float32)"
32,8.631468629545413e-06,0.0002763078959051054,"tf.Tensor(0.55498725, shape=(), dtype=float32)","tf.Tensor(0.42391658, shape=(), dtype=float32)","tf.Tensor(0.91216785, shape=(), dtype=float32)","tf.Tensor(0.6723009, shape=(), dtype=float32)"
