epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
39,8.159810918153317e-06,0.00034398703992066283,"tf.Tensor(0.5392486, shape=(), dtype=float32)","tf.Tensor(0.92908406, shape=(), dtype=float32)"
40,8.90191530235233e-06,0.00035288895522301515,"tf.Tensor(0.5406697, shape=(), dtype=float32)","tf.Tensor(0.9302887, shape=(), dtype=float32)"
41,8.18387668984726e-06,0.0003610728319128624,"tf.Tensor(0.5378431, shape=(), dtype=float32)","tf.Tensor(0.932978, shape=(), dtype=float32)"
42,8.322410455567512e-06,0.0003693952423684299,"tf.Tensor(0.536507, shape=(), dtype=float32)","tf.Tensor(0.9343111, shape=(), dtype=float32)"
43,8.122706990347574e-06,0.0003775179493587775,"tf.Tensor(0.5362191, shape=(), dtype=float32)","tf.Tensor(0.93520945, shape=(), dtype=float32)"
44,8.182465798651517e-06,0.000385700415157429,"tf.Tensor(0.53387326, shape=(), dtype=float32)","tf.Tensor(0.9370777, shape=(), dtype=float32)"
45,8.169934882544262e-06,0.00039387035003997324,"tf.Tensor(0.53375727, shape=(), dtype=float32)","tf.Tensor(0.94143915, shape=(), dtype=float32)"
46,8.227297951196922e-06,0.0004020976479911702,"tf.Tensor(0.53162676, shape=(), dtype=float32)","tf.Tensor(0.94158083, shape=(), dtype=float32)"
47,7.98968908413914e-06,0.00041008733707530935,"tf.Tensor(0.52929926, shape=(), dtype=float32)","tf.Tensor(0.94174874, shape=(), dtype=float32)"
48,7.884181464107625e-06,0.00041797151853941697,"tf.Tensor(0.52873063, shape=(), dtype=float32)","tf.Tensor(0.9448739, shape=(), dtype=float32)"
49,8.033805890203861e-06,0.00042600532442962083,"tf.Tensor(0.5290785, shape=(), dtype=float32)","tf.Tensor(0.94707364, shape=(), dtype=float32)"
