epoch,epoch_emissions_kg,cumulative_emissions_kg,rmse,recall,ndcg
0,0.0001487408318560084,0.0001487408318560084,1.46595299243927,0.18656499683856964,0.9414128065109253
1,0.00014326009719895777,0.00029200092905496615,1.0024665594100952,0.18853804469108582,0.9486106634140015
2,0.00013890470145464458,0.00043090563050961076,0.9432083368301392,0.18863293528556824,0.9511215090751648
3,0.00014165711036858136,0.0005725627408781921,0.925471842288971,0.18946640193462372,0.9511215090751648
4,0.00014229244368602705,0.0007148551845642192,0.9174354672431946,0.1893417239189148,0.9527954459190369
5,0.00015742890473932877,0.0008722840893035479,0.9108984470367432,0.19012218713760376,0.9556410908699036
6,0.00015995574333468957,0.0010322398326382376,0.9047702550888062,0.19023440778255463,0.9558085203170776
7,0.00016949840896796078,0.0012017382416061983,0.900921106338501,0.19030356407165527,0.9578171968460083
8,0.0001495223613687998,0.001351260602974998,0.8961154222488403,0.19124449789524078,0.959156334400177
9,0.0001508993918536141,0.0015021599948286122,0.8935357928276062,0.1908552646636963,0.9581519961357117
10,0.00019032499972789044,0.0016924849945565027,0.8884530663490295,0.1905941367149353,0.959156334400177
11,0.000156895949351564,0.0018493809439080666,0.8848419785499573,0.19098231196403503,0.9598259329795837
12,0.00014841980287074987,0.0019978007467788164,0.8808380961418152,0.19089725613594055,0.9604954719543457
13,0.00014612046189225382,0.00214392120867107,0.8786386251449585,0.19137999415397644,0.9621694087982178
14,0.00014584721724505696,0.002289768425916127,0.8757687211036682,0.1923917979001999,0.9660193920135498
15,0.00014179670935817755,0.002431565135274305,0.8727340698242188,0.1917455941438675,0.9638433456420898
16,0.00014384335101863592,0.0025754084862929408,0.8706737160682678,0.19267655909061432,0.9658520221710205
17,0.00014025446731163115,0.002715662953604572,0.8682855367660522,0.19239364564418793,0.9655172228813171
18,0.00013894671055360297,0.0028546096641581748,0.8661404252052307,0.19130167365074158,0.9640107154846191
19,0.00014273292705347952,0.0029973425912116543,0.8642427921295166,0.1917552351951599,0.9651824831962585
20,0.00014028365151442788,0.0031376262427260824,0.8636153340339661,0.19302107393741608,0.9668563604354858
21,0.00014164730244634256,0.003279273545172425,0.8613466620445251,0.19191524386405945,0.9643455147743225
22,0.00013775930581558905,0.003417032850988014,0.8607982397079468,0.19183695316314697,0.9653498530387878
23,0.00014084554401704903,0.003557878395005063,0.8593126535415649,0.19201083481311798,0.9653498530387878
24,0.00013869365985319344,0.0036965720548582564,0.8586070537567139,0.19184371829032898,0.9643455147743225
25,0.00013841144333163918,0.0038349834981898957,0.8586845993995667,0.19238539040088654,0.9653498530387878
26,0.00014069492530022632,0.003975678423490122,0.8591658473014832,0.1927109807729721,0.9663541913032532
27,0.00015682605539445486,0.004132504478884577,0.8600127100944519,0.1929633915424347,0.9673585295677185
28,0.00014068677880331302,0.00427319125768789,0.8605180978775024,0.19323104619979858,0.9668563604354858
29,0.00014243044459291126,0.004415621702280801,0.8617579340934753,0.19211693108081818,0.9661868214607239
30,0.00014059906406679645,0.004556220766347597,0.8626384735107422,0.19230835139751434,0.9661868214607239
31,0.00013774590793684552,0.0046939666742844425,0.8645564317703247,0.19232143461704254,0.9656846523284912
32,0.00013871911815785214,0.004832685792442295,0.8668745160102844,0.19284923374652863,0.9666889905929565
33,0.0001463635976257731,0.004979049390068067,0.8686854243278503,0.19210605323314667,0.9646802544593811
34,0.00014134807359796145,0.005120397463666029,0.8718501925468445,0.19271865487098694,0.9638433456420898
35,0.00014195071020967293,0.005262348173875702,0.8750385046005249,0.1920795738697052,0.9630063772201538
36,0.00014343608557647683,0.005405784259452179,0.8768794536590576,0.19195611774921417,0.9636759161949158
37,0.00014073686957270844,0.0055465211290248876,0.8801013231277466,0.19216829538345337,0.9628389477729797
38,0.00013826171070893513,0.005684782839733823,0.8838968276977539,0.19206394255161285,0.9640107154846191
39,0.00014046735583780973,0.005825250195571632,0.8860712647438049,0.19171710312366486,0.9621694087982178
40,0.00013968817178045082,0.005964938367352083,0.8890226483345032,0.19202254712581635,0.9621694087982178
41,0.00013684557257844876,0.006101783939930532,0.8924514651298523,0.19210673868656158,0.9623367786407471
42,0.00015264347183518206,0.006254427411765714,0.8950585722923279,0.1922839730978012,0.9636759161949158
43,0.00014060391778487031,0.0063950313295505845,0.8979998230934143,0.1909438818693161,0.9598259329795837
44,0.0001390202725974336,0.006534051602148018,0.9003166556358337,0.1914009004831314,0.9608302712440491
45,0.00014263936786325108,0.006676690970011269,0.9034306406974792,0.190984845161438,0.9601606726646423
46,0.00014448168257516473,0.006821172652586434,0.9066159725189209,0.19124247133731842,0.9598259329795837
47,0.00014017122903592653,0.00696134388162236,0.9089080691337585,0.19146651029586792,0.9593237638473511
48,0.0001390014579452115,0.007100345339567572,0.9111855030059814,0.19058559834957123,0.9581519961357117
49,0.00013760513404430377,0.007237950473611876,0.9136305451393127,0.19039134681224823,0.9574823975563049
