epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse,mae,time_sec,memory_mb,cpu_percent
1,6.227521543362821e-06,6.227521543362821e-06,1.5718402862548828,2.0720055103302,1.439446277709062,1.23882643923545,11.720317125320435,3209.61328125,20.4
2,5.215294927655413e-06,1.1442816471018232e-05,1.2376837730407715,1.921059489250183,1.3860228761903974,1.1857348220312036,10.609591722488403,3228.94140625,29.2
3,5.175811255577595e-06,1.6618627726595827e-05,1.2005945444107056,1.737240195274353,1.3180440983874584,1.1158664450508444,10.553047180175781,3247.06640625,27.1
4,5.346909725143502e-06,2.196553745173933e-05,1.181451678276062,1.7137377262115479,1.3090981542824902,1.1062294827471528,10.722163438796997,3265.8046875,28.5
5,5.195524004355748e-06,2.716106145609508e-05,1.1713874340057373,1.4497495889663696,1.2040555797517265,1.0056701475456862,10.594138622283936,3285.26171875,27.6
6,5.29244909810964e-06,3.245351055420472e-05,1.1648190021514893,1.480080008506775,1.2165854865318946,1.0150461815732346,10.72570514678955,3303.1953125,29.0
7,5.258154628898779e-06,3.7711665183103496e-05,1.1614989042282104,1.4570854902267456,1.2070978885009842,1.007333348587196,10.684348344802856,3322.55078125,27.7
8,5.2669377884899025e-06,4.29786029715934e-05,1.1569098234176636,1.4540921449661255,1.2058573792700054,1.0072444985994675,10.671723127365112,3340.44140625,27.7
9,5.3043047809957475e-06,4.8282907752589144e-05,1.153689980506897,1.3700578212738037,1.1704946878307019,0.9768448944013851,10.731531620025635,3359.2578125,27.8
10,5.322468065940072e-06,5.3605375818529216e-05,1.1504102945327759,1.4203828573226929,1.1917981151401806,0.9936895309133453,10.740007638931274,3377.953125,26.9
11,5.232272165656002e-06,5.8837647984185216e-05,1.1474056243896484,1.3587552309036255,1.1656566961171377,0.9728653223260665,10.639464139938354,3396.90625,29.6
12,5.287375182766901e-06,6.412502316695212e-05,1.1447796821594238,1.3139995336532593,1.1462980861259204,0.957364513973066,10.681085586547852,3414.62109375,28.2
13,5.332047474071397e-06,6.945707064102352e-05,1.1422361135482788,1.3797355890274048,1.174621537757636,0.9798166624856162,10.772377490997314,3433.92578125,27.6
14,5.284344800237835e-06,7.474141544126136e-05,1.1395821571350098,1.337218165397644,1.1563814953522036,0.9654646538722125,10.685889482498169,3451.890625,27.0
15,5.36900914045443e-06,8.011042458171579e-05,1.1377623081207275,1.2792888879776,1.131056635446952,0.9474850409997824,10.783396244049072,3470.34765625,29.4
16,5.350402134844947e-06,8.546082671656074e-05,1.1349190473556519,1.2580897808074951,1.1216459388622813,0.9401172268344025,10.789486169815063,3489.015625,29.8
17,5.348737549877594e-06,9.080956426643833e-05,1.1329907178878784,1.2805964946746826,1.1316345465408995,0.9490495520065813,10.767425060272217,3507.1796875,28.4
18,5.307427730894999e-06,9.611699199733333e-05,1.130846381187439,1.2328490018844604,1.110337186397218,0.9316120248713486,10.743587017059326,3526.265625,27.9
19,5.837958916818632e-06,0.00010195495091415197,1.1295981407165527,1.2595317363739014,1.1222886485448018,0.9414969697606375,11.351315975189209,3544.83984375,33.5
20,5.517550576866308e-06,0.00010747250149101827,1.127897024154663,1.2258360385894775,1.1071748607310374,0.9287583045574389,10.952734231948853,3563.39453125,31.0
21,5.365623446945898e-06,0.00011283812493796417,1.1265826225280762,1.2311922311782837,1.109591014276459,0.9305827052296135,10.797971963882446,3582.140625,29.9
22,5.3682658845124425e-06,0.00011820639082247661,1.1257374286651611,1.2081825733184814,1.0991735775669553,0.9220628006435012,10.766248226165771,3601.1875,30.6
23,5.330141626259764e-06,0.00012353653244873638,1.124586582183838,1.2168383598327637,1.103103970531808,0.9246428299500229,10.779907703399658,3619.69921875,29.3
24,5.39641308196392e-06,0.0001289329455307003,1.1236295700073242,1.2061394453048706,1.0982436982538635,0.9206679410193244,10.795629739761353,3637.08984375,28.9
25,5.309997749070361e-06,0.00013424294327977064,1.1225310564041138,1.2081774473190308,1.0991712018975004,0.9214307165274592,10.737037420272827,3656.6171875,28.7
26,5.243426668712704e-06,0.00013948636994848333,1.1226972341537476,1.191820502281189,1.0917052611744853,0.9140102329039858,10.645033359527588,3675.234375,27.7
27,5.378488381439982e-06,0.0001448648583299233,1.121265172958374,1.1950395107269287,1.0931785604836597,0.9154122957640465,10.80616021156311,3693.50390625,31.0
