epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,recall@5,ndcg@5,recall@10,ndcg@10,recall@20,ndcg@20,recall@50,ndcg@50
1,9.67309881378177e-06,9.67309881378177e-06,99.00758338371404,1.2843541044675792,0.1366666666666667,0.0832362958247813,0.15666666666666665,0.08990296249144797,0.23666666666666664,0.10896448669252128,0.39,0.141544132019358
2,9.924876543672825e-06,1.9597975357454595e-05,76.70739306499955,1.3479018590936127,0.17666666666666664,0.11820041429240785,0.235,0.14042923602448035,0.33666666666666667,0.1678238079050587,0.45833333333333326,0.1943955745513158
3,9.784971630234649e-06,2.9382946987689245e-05,67.35575821274527,1.423418891057849,0.13,0.0891057182152037,0.24166666666666664,0.12817348670488626,0.3883333333333333,0.16950410795841292,0.5116666666666667,0.19728013803978597
4,9.657546229501476e-06,3.904049321719072e-05,64.3311918700703,1.4657156397055304,0.1,0.06526355568343256,0.14666666666666667,0.08244660680085003,0.25566666666666665,0.11335014933407596,0.522,0.16942511419377315
5,9.557479574499465e-06,4.859797279169019e-05,63.24567179856929,1.483962408182548,0.2333333333333333,0.1455042419189699,0.3466666666666666,0.18417079190565752,0.42666666666666664,0.20472896135766233,0.6766666666666665,0.2572269623287479
6,9.31145484973845e-06,5.7909427641428634e-05,62.61109951180472,1.4992712041208276,0.09,0.06386852807234542,0.24666666666666667,0.1190249151540592,0.39666666666666667,0.1585423692461588,0.5433333333333333,0.18904372814632098
7,9.32638424662626e-06,6.723581188805489e-05,62.41590855460466,1.5142111044135758,0.1733333333333333,0.10778777900089889,0.2633333333333333,0.13864295611784916,0.3633333333333333,0.16599783925489908,0.5633333333333332,0.20707898845153683
8,9.308837046385385e-06,7.654464893444027e-05,62.223952128548326,1.512213130543693,0.16,0.10866783202423594,0.21,0.126003428168744,0.325,0.15941488639749157,0.4916666666666667,0.19691194623282837
9,9.552408408586712e-06,8.609705734302699e-05,62.0385796404068,1.5287255706016298,0.235,0.1919080970228966,0.3183333333333333,0.21894521973607173,0.4733333333333333,0.263810717434654,0.6373333333333333,0.30324922803274634
10,9.549059674771797e-06,9.564611701779878e-05,61.88758641046385,1.5185905022893251,0.12666666666666665,0.09328046813337482,0.19,0.11646167191481417,0.447,0.1850981831916323,0.5036666666666667,0.19787638756419354
11,9.453363732779177e-06,0.00010509948075057796,61.795977017333044,1.5265679126839862,0.20066666666666666,0.12791697211193623,0.29133333333333333,0.15976002284826923,0.42200000000000004,0.19466396094947483,0.5820000000000001,0.22729562380637153
12,9.298614886834356e-06,0.00011439809563741231,61.69157956229587,1.5339670133816738,0.15666666666666665,0.11629837147726381,0.26333333333333336,0.1531231099671716,0.38,0.18573964104164298,0.6366666666666666,0.24048313916754718
13,9.658013858515075e-06,0.00012405610949592737,61.56278392874783,1.5395567923342819,0.11333333333333333,0.0921710691414935,0.18833333333333332,0.11942656448990122,0.33333333333333326,0.16181528519309643,0.6,0.21748401543876245
