epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse,mae
0,363.5,22.7,36.83447790145874,123.13160681346106,8.49381188946371,7.816220565680093
1,384.4609375,78.5,36.15925335884094,118.17982482910156,8.17051547344349,7.815736266457932
2,384.828125,78.5,36.13039016723633,118.17152005150204,8.177043177089173,7.815712702232537
3,385.40625,77.7,36.198216676712036,118.20071386912512,8.200792224043091,7.817178939803959
4,384.87890625,78.3,36.60767221450806,118.18716830299014,8.204809582275503,7.816671552889043
5,384.8828125,78.2,36.99916648864746,118.19706084236266,8.214114841950595,7.817086606533931
6,384.87109375,77.7,37.61386036872864,118.19364142039466,8.19070849717675,7.817599450960326
7,384.90234375,78.8,37.71042728424072,118.15976763528491,8.180928904987216,7.815994504997818
8,380.8984375,78.2,36.7971830368042,118.13829718695746,8.176664935309455,7.815292241625748
9,381.0078125,78.0,36.39136219024658,118.13482980879526,8.195285095872286,7.8150391117839755
10,381.015625,77.6,36.17805862426758,118.14382607596261,8.214623118948778,7.815906147911051
11,380.98828125,77.7,36.44229054450989,118.16232287694537,8.18630483507104,7.816366423262506
12,381.5546875,77.9,36.60745120048523,118.11377086336651,8.174372257707393,7.814701026725293
13,381.05078125,77.8,37.13208031654358,118.11213853624132,8.19574186921146,7.814532629338757
14,381.05078125,78.0,37.48449349403381,118.1357914758107,8.18442687874779,7.815487774599099
15,381.0546875,78.9,36.62489581108093,118.15545315212674,8.21836680244106,7.816207549641182
16,381.62109375,77.5,36.725948095321655,118.16392783513145,8.171977854199708,7.816324322746519
17,381.1484375,78.0,36.95328497886658,118.1542733813089,8.17962891252791,7.815997037239443
18,381.15234375,77.8,37.054675817489624,118.13318549262152,8.180852604833918,7.814928627623084
19,381.625,77.6,36.72741436958313,118.14535340808686,8.175745472797736,7.815221786767367
20,381.15234375,78.0,36.78532075881958,118.12130700974237,8.189551529030513,7.81390544729324
21,381.17578125,77.1,37.12623572349548,118.12693120562841,8.192109917832205,7.814088336690175
22,381.25390625,77.5,39.28919696807861,118.12852623349144,8.191543883974635,7.81408372116997
23,381.25390625,81.9,37.77132511138916,118.12825133308532,8.186708617824522,7.813913756900065
24,381.25390625,81.5,38.16018033027649,118.12406473311167,8.162470276360846,7.814093623393286
25,381.31640625,81.2,39.32741332054138,118.15338546510726,8.16494222123416,7.8147970245646725
26,381.859375,83.8,39.967243909835815,118.12353358193049,8.18346553832458,7.813642584507063
27,381.33203125,83.8,36.47812223434448,118.13370865110367,8.192244326071272,7.814049317446027
28,382.86328125,77.3,36.65404009819031,118.1086183578249,8.151285715115389,7.812892789943566
29,382.9296875,77.5,36.94451117515564,118.08885011218842,8.1993054285207,7.811959098799194
30,382.9296875,77.6,37.040048360824585,118.10123673696367,8.206800257038047,7.812856190802123
31,383.31640625,78.1,36.72166085243225,118.09461333259704,8.16316239803673,7.812731905306581
32,383.76171875,77.9,36.73976802825928,118.12640453520275,8.203398060619467,7.813909594825882
33,383.84375,77.4,37.39853382110596,118.13663930741568,8.188366913196155,7.814537559914748
34,383.87109375,77.9,36.69231653213501,118.13221728612506,8.181223212964778,7.814331020009602
35,383.8828125,77.5,36.517531871795654,118.13123769608755,8.186631713054151,7.813896334909727
36,383.98828125,77.8,36.33000326156616,118.12837231348432,8.184939413332676,7.814039881288999
37,383.9921875,77.8,36.54016470909119,118.07974315824963,8.183669169178746,7.8119414016267505
38,383.99609375,77.6,37.06866669654846,118.07474263509114,8.191298470059584,7.811627179296621
39,384.05859375,78.6,39.66313672065735,118.10398949517145,8.182702371361724,7.812871773710648
40,384.0546875,84.0,37.713282346725464,118.11736503479973,8.177157216051805,7.813375491749997
41,384.0625,79.1,36.77131533622742,118.1203369867234,8.176932199927295,7.813414070290387
42,384.0625,78.2,37.05026173591614,118.13355049254402,8.183228239923913,7.813705178980672
43,384.125,78.3,37.406290769577026,118.118898664202,8.20564149882258,7.813166409745351
44,384.125,78.2,37.4634575843811,118.09354376414466,8.182475437610176,7.811706164378267
45,384.125,77.5,37.37450361251831,118.11679004487537,8.163688227020204,7.813702963751046
46,384.125,78.4,38.533326625823975,118.13122667585101,8.167697295823515,7.813863130373954
47,384.875,79.3,37.59822154045105,118.09933750213139,8.2002681793477,7.81242880648806
48,384.90625,77.4,37.411051750183105,118.11144401913597,8.19527880357077,7.813199081464847
49,384.96875,77.7,37.31481957435608,118.13083321707589,8.192556100907314,7.813939575372207
