epoch,train_loss,train_rmse,train_mae,test_rmse,test_mae
0,123.13160681346106,8.49381188946371,7.816220565680093,8.181792417942924,7.800674259626685
1,118.17982482910156,8.17051547344349,7.815736266457932,8.181792515233852,7.800671813042282
2,118.17152005150204,8.177043177089173,7.815712702232537,8.18181154649306,7.800691593583535
3,118.20071386912512,8.200792224043091,7.817178939803959,8.181837023913351,7.800717378594257
4,118.18716830299014,8.204809582275503,7.816671552889043,8.1818641162639,7.8007467014407395
5,118.19706084236266,8.214114841950595,7.817086606533931,8.18188772574348,7.800772603927456
6,118.19364142039466,8.19070849717675,7.817599450960326,8.181908119177418,7.800795440681347
7,118.15976763528491,8.180928904987216,7.815994504997818,8.181921714838833,7.800810834822624
8,118.13829718695746,8.176664935309455,7.815292241625748,8.181932528411753,7.800823290537697
9,118.13482980879526,8.195285095872286,7.8150391117839755,8.181939335196796,7.8008305298891605
10,118.14382607596261,8.214623118948778,7.815906147911051,8.1819451810833,7.800833902518644
11,118.16232287694537,8.18630483507104,7.816366423262506,8.181951282978044,7.800842064991869
12,118.11377086336651,8.174372257707393,7.814701026725293,8.18195568118381,7.800846136630685
13,118.11213853624132,8.19574186921146,7.814532629338757,8.18195135017752,7.8008225585698945
14,118.1357914758107,8.18442687874779,7.815487774599099,8.181860590720857,7.800576282599597
15,118.15545315212674,8.21836680244106,7.816207549641182,8.18186250168899,7.8005744538701105
16,118.16392783513145,8.171977854199708,7.816324322746519,8.18186056420679,7.800545354152995
17,118.1542733813089,8.17962891252791,7.815997037239443,8.18185988209077,7.800525762566745
18,118.13318549262152,8.180852604833918,7.814928627623084,8.181858543870561,7.800513141593655
19,118.14535340808686,8.175745472797736,7.815221786767367,8.181855038697204,7.800488783394987
20,118.12130700974237,8.189551529030513,7.81390544729324,8.181851321283961,7.80045826131547
21,118.12693120562841,8.192109917832205,7.814088336690175,8.181853630027462,7.800451791753854
22,118.12852623349144,8.191543883974635,7.81408372116997,8.181851655465287,7.800424054897977
23,118.12825133308532,8.186708617824522,7.813913756900065,8.181848164883714,7.800396724072872
24,118.12406473311167,8.162470276360846,7.814093623393286,8.181851147837051,7.800392014012431
25,118.15338546510726,8.16494222123416,7.8147970245646725,8.1818463640758,7.800381234936692
26,118.12353358193049,8.18346553832458,7.813642584507063,8.181849681026504,7.800371944416838
27,118.13370865110367,8.192244326071272,7.814049317446027,8.181851907386939,7.800367118510217
28,118.1086183578249,8.151285715115389,7.812892789943566,8.18184750343425,7.800371356441853
29,118.08885011218842,8.1993054285207,7.811959098799194,8.181851187885725,7.800361735077685
30,118.10123673696367,8.206800257038047,7.812856190802123,8.181956138222171,7.800835894410671
31,118.09461333259704,8.16316239803673,7.812731905306581,8.181980224479979,7.80090387071407
32,118.12640453520275,8.203398060619467,7.813909594825882,8.181976095006709,7.800895157078971
33,118.13663930741568,8.188366913196155,7.814537559914748,8.181975028616504,7.8008890357285186
34,118.13221728612506,8.181223212964778,7.814331020009602,8.181974031758733,7.8008857499448645
35,118.13123769608755,8.186631713054151,7.813896334909727,8.181972623018856,7.8008812684206355
36,118.12837231348432,8.184939413332676,7.814039881288999,8.1819729406977,7.8008803595015435
37,118.07974315824963,8.183669169178746,7.8119414016267505,8.181972101198973,7.800878861495052
38,118.07474263509114,8.191298470059584,7.811627179296621,8.18197011171399,7.800878660639817
39,118.10398949517145,8.182702371361724,7.812871773710648,8.181962027472299,7.800844602897625
40,118.11736503479973,8.177157216051805,7.813375491749997,8.181837650223876,7.800345206145721
41,118.1203369867234,8.176932199927295,7.813414070290387,8.181846814465828,7.800340323079177
42,118.13355049254402,8.183228239923913,7.813705178980672,8.181844304468378,7.800357401297434
43,118.118898664202,8.20564149882258,7.813166409745351,8.181846790475337,7.800367576940819
44,118.09354376414466,8.182475437610176,7.811706164378267,8.181849284456796,7.80036940902048
45,118.11679004487537,8.163688227020204,7.813702963751046,8.181979561039737,7.800906141899388
46,118.13122667585101,8.167697295823515,7.813863130373954,8.181980749811594,7.8009028110759395
47,118.09933750213139,8.2002681793477,7.81242880648806,8.18197687915803,7.800890706909268
48,118.11144401913597,8.19527880357077,7.813199081464847,8.181980469480031,7.800897747837283
49,118.13083321707589,8.192556100907314,7.813939575372207,8.181970544702512,7.800876832375993
