epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse,mae
0,706.67578125,12.8,20.94091248512268,191.67525959869658,3.2734657954606567,3.161328542035818
1,740.66015625,47.8,21.376599073410034,154.5546415868703,3.629875202069957,3.525509725596905
2,744.12109375,49.1,20.880870819091797,144.72394984754496,3.921630212599175,3.8219527427268027
3,742.31640625,49.1,20.959219932556152,141.24674157449132,4.0684575717115825,3.9666616084039212
4,744.95703125,50.3,20.607438802719116,137.3317812285869,4.160022523621119,4.053095659857989
5,743.1171875,48.2,20.74038052558899,108.57941352756319,3.970487686732703,3.857834934630394
6,744.17578125,49.0,20.581857681274414,77.86980912993721,3.6011718371688697,3.4836927489447596
7,744.81640625,49.9,20.671557426452637,69.16109001560187,3.4139700252371945,3.2916544013917446
8,744.5234375,48.8,21.684446811676025,65.02005978338849,3.2660861988637495,3.128670462492704
9,745.453125,54.6,20.616008281707764,62.36270427825967,3.144989665434364,3.005552050975561
10,746.00390625,46.7,21.443665027618408,60.57740931199547,3.0769805651866426,2.922820645815134
11,746.07421875,50.6,21.19973349571228,59.00535694859855,3.073906039073301,2.9231246836650375
12,745.76953125,48.4,20.81611394882202,57.58260554021818,3.0328061153067534,2.868139627830982
13,746.44140625,48.2,21.173720359802246,56.57759212928606,3.017553818047574,2.8577120126903055
14,746.55859375,51.2,20.502236127853394,55.376801284418825,3.033024912230054,2.865599644563198
15,746.7734375,47.4,24.329338550567627,52.31257493120455,3.058791936656518,2.8760200082695486
16,746.7890625,58.7,24.04243755340576,44.221152047952216,2.9736097039249385,2.777107922090292
17,746.80859375,61.5,23.498244047164917,37.78415274284255,2.785462666152085,2.604837267969847
18,745.88671875,57.7,22.524027347564697,34.36993753284254,2.6636056506486754,2.503450178706646
19,746.49609375,54.7,20.87528157234192,31.918915361509434,2.5034671196594016,2.3578812822890285
20,745.56640625,49.9,20.517622232437134,30.35937927627075,2.4819013919899198,2.3395949482452867
21,746.75390625,50.1,20.89894199371338,29.360753656502112,2.436634386803758,2.2922835325038435
22,747.76953125,49.8,20.448922157287598,28.672270849328036,2.424270618481529,2.28582939483881
23,746.9140625,47.9,20.249582767486572,28.037978219924906,2.416301499547718,2.277459719147682
24,747.35546875,50.7,20.621231079101562,27.521177548299832,2.3900002556750857,2.248390398161411
25,746.5078125,45.4,20.27334451675415,27.105392983567242,2.390911502209253,2.256384377995729
26,747.9296875,47.4,20.2390456199646,26.659745547286068,2.380746572897311,2.241971934902668
27,746.6015625,47.9,20.323840618133545,26.380119577717995,2.374747738067368,2.238861898175478
28,745.97265625,48.6,20.53915810585022,26.055631740145127,2.364147941683458,2.221615318870545
29,746.81640625,49.2,20.187925815582275,25.877592863407695,2.3649090089419884,2.2275725945961478
30,746.87890625,51.6,20.322049140930176,25.5618419207623,2.3592295306082915,2.2202547669947146
31,745.92578125,49.0,20.38576889038086,25.3627124058605,2.369172165860564,2.2311268937444684
32,747.0546875,50.0,20.195310354232788,25.071520581898707,2.3448163008031786,2.2069969164240364
33,747.44921875,47.8,20.805505990982056,24.862971568382353,2.336819102852459,2.1946786358892916
34,747.36328125,48.7,20.954715967178345,24.85523486656355,2.329975636269882,2.18571302939415
35,746.07421875,51.7,21.64679217338562,24.651798294692583,2.332480294274028,2.186244577766657
36,737.80859375,51.8,20.574742794036865,24.457362535210486,2.3486017956386376,2.207830027731657
37,738.4765625,48.9,19.892915725708008,24.39261123129714,2.342367864746237,2.2032963117408753
38,738.4921875,48.5,20.172602653503418,24.219026883036165,2.328071804935182,2.1892335235381126
39,738.5859375,46.2,20.005489587783813,24.254567413720828,2.335336520083859,2.1950750477743144
40,738.05078125,47.7,20.022488355636597,24.249545154742485,2.334295550744914,2.192580944136381
41,738.7734375,47.3,20.163864135742188,23.939683499012652,2.354207406013162,2.2180064593696596
42,737.87890625,46.3,20.02541184425354,23.910818390595928,2.3437924746928918,2.2062422050166135
43,737.66015625,50.2,19.808738708496094,23.767665716505846,2.3296299800099507,2.1868333952319623
44,738.61328125,42.3,19.67537212371826,23.75839448066741,2.332305266747962,2.190748320082426
45,737.796875,48.7,20.117279291152954,23.68056182275203,2.325377286351383,2.1836293517386913
46,737.82421875,45.5,19.666499137878418,23.70573485859225,2.331715543216059,2.1898491828894615
47,738.83984375,48.1,19.717882871627808,23.614910308896505,2.344239790976946,2.201395200129747
48,738.8515625,43.0,19.794503688812256,23.61862643458016,2.328598848437851,2.1861533293914794
49,737.81640625,49.3,19.815247297286987,23.471031359917987,2.3400102814333197,2.2027904466497903
