epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse,recall,ndcg
0,707.16015625,34.6,211.20587182044983,192.05292228669424,3.2879440773178263,0.30166666666666664,0.1529693076163787
1,741.79296875,32.1,200.65770387649536,153.95862322427553,3.629613743278899,0.38299999999999995,0.2482491198017407
2,746.29296875,35.6,175.33650732040405,144.87771566393434,3.899473886593261,0.4133333333333333,0.22370859415872194
3,748.58203125,24.9,150.32487154006958,141.7290396891849,4.075200124542846,0.3133333333333333,0.21189283315970064
4,748.55859375,18.3,166.458425283432,139.5064585022676,4.173964279340682,0.4108333333333333,0.22214005788728433
5,734.7890625,18.4,158.000159740448,124.11691435595328,4.100681719401196,0.45899999999999996,0.242732372930348
6,737.38671875,21.6,133.88901782035828,86.1220772092382,3.7298856978010315,0.44166666666666665,0.2804743113991976
7,737.296875,19.0,145.10328602790833,72.53928112953176,3.4762195228647226,0.3546666666666667,0.253602038270309
8,737.3984375,17.7,132.80712389945984,66.70241926146836,3.287151385368237,0.5233333333333333,0.33632325968460697
9,736.8359375,19.3,152.57118439674377,63.87010982674612,3.215235289585462,0.395,0.275699733986014
10,737.40625,18.3,148.09524416923523,61.62867130665407,3.1407844733340275,0.2766666666666666,0.18554004893094622
11,735.6484375,19.7,165.75008034706116,59.3548935464036,3.1223227792765167,0.2791666666666667,0.18273161269380328
12,737.4453125,18.3,140.62256860733032,57.89345931029961,3.094751465777146,0.295,0.19196977247377553
13,737.5546875,19.4,148.00085854530334,56.75659164057498,3.1177715042149674,0.4133333333333333,0.272198195566445
14,737.55859375,18.4,173.36400890350342,55.73852508779372,3.1535277808869604,0.31066666666666665,0.19797242775679752
15,737.5625,17.8,145.2473647594452,54.48461353336192,3.1469217681737742,0.3696666666666667,0.25529417321545345
16,737.5859375,18.0,163.3111696243286,52.82128191177427,3.225505598654964,0.38915151515151514,0.2375913738632683
17,736.19921875,18.2,150.5226275920868,51.002692399653824,3.3113945252663086,0.38666666666666666,0.2626326779428584
18,737.5859375,18.7,183.86030173301697,48.79808837656175,3.3554411269184854,0.30333333333333334,0.18376256475345581
19,738.4140625,17.2,145.83444499969482,47.427829835234775,3.387643330155802,0.37,0.23148420126129202
20,738.9296875,19.4,183.61886143684387,45.72262154651207,3.464073674255651,0.3440000000000001,0.2502456174731226
21,737.40625,23.2,174.00107288360596,43.5805615218745,3.4734740030003883,0.28700000000000003,0.215827738023477
22,737.0234375,19.3,152.291166305542,41.44761533163268,3.435551534797237,0.30333333333333334,0.18486960985034032
23,739.07421875,20.0,153.92239022254944,39.311432915368854,3.2786248765170067,0.4346666666666667,0.28869726198963636
24,739.265625,20.6,141.64381575584412,37.153193963474564,3.0410934068398983,0.3583333333333333,0.1778697815354429
25,739.2734375,19.0,152.3464379310608,35.35130992405851,2.89358587053581,0.5233333333333333,0.3599586100292035
26,737.92578125,20.6,159.6841015815735,33.59181173571246,2.7525550496524955,0.31666666666666665,0.19389911591242082
27,738.5859375,18.8,140.27659511566162,31.631642511345817,2.6514620266630975,0.4933333333333333,0.2747206471452093
28,719.5390625,21.6,167.65124821662903,30.07140215533033,2.576347272577662,0.3733333333333333,0.2489198372724708
29,721.375,18.3,152.00968551635742,28.50522993041367,2.58598402952446,0.375,0.21518437364708481
30,721.578125,19.3,149.41162180900574,27.28206017136421,2.5392884294390967,0.33799999999999997,0.21969929275827405
31,720.6015625,18.4,147.22039484977722,26.141842494090298,2.5138261497496974,0.4333333333333333,0.25697449223788393
32,721.140625,19.2,155.3583927154541,25.162370200651708,2.510784276145456,0.43,0.25654685058098037
33,721.3359375,19.6,154.1185576915741,24.338348256793736,2.465151249313595,0.5199999999999999,0.2955564590661563
34,719.66796875,20.1,151.40191054344177,23.52978502681405,2.4773911536749784,0.32666666666666666,0.21384402290529664
35,721.0703125,19.3,161.94035577774048,22.9616352525777,2.469118190925541,0.44,0.2988163138147258
36,721.46484375,20.3,150.2141396999359,22.289488241706096,2.451884101023424,0.26166666666666666,0.19943070116119097
37,721.6875,18.5,177.95261025428772,21.943513010589168,2.4533409777747677,0.4066666666666666,0.25820706717221126
38,721.70703125,18.9,155.33430790901184,21.658185966188867,2.4577806042187813,0.32733333333333337,0.19838723410420622
39,721.7109375,22.7,166.97222805023193,21.2934743756674,2.4587915744355886,0.37,0.25076095083720124
40,662.04296875,24.0,163.60409307479858,20.98181585099419,2.4385908682874127,0.4302380952380952,0.26206947408984493
41,661.38671875,22.2,179.8497633934021,20.786500461886085,2.429662895751998,0.503,0.3213274688311498
42,656.7890625,19.6,157.7212634086609,20.535499074547605,2.443307450260941,0.4173809523809524,0.27513132643087373
43,657.12890625,19.7,162.03286290168762,20.434298235689326,2.4279878045550247,0.37666666666666665,0.24145450037877592
44,658.41796875,18.3,158.8187713623047,20.230489213091158,2.4370350043091213,0.44066666666666665,0.28767029155208856
45,655.76953125,21.8,178.63643074035645,20.09073989125739,2.4086656712730776,0.38,0.24318801852848446
46,658.4453125,18.3,170.07842469215393,19.970978261871924,2.4052398767210583,0.4216666666666667,0.26566327708920673
47,658.31640625,19.5,154.92995357513428,19.845238308289904,2.4241593637799563,0.38333333333333336,0.2189873366588165
48,658.375,18.3,177.77779030799866,19.786532962520663,2.405007888101327,0.3853333333333333,0.27303557872663087
49,657.76953125,18.0,179.9452781677246,19.679107016393683,2.4050768429179077,0.38,0.24759333122611524
