epoch,loss,recall,ndcg,rmse
1,0.49827483307886244,0.0814148229008648,0.22697535847517197,0.4882021543212348
2,0.4298457481101117,0.08757989084937214,0.23733026321722334,0.48033637315425104
3,0.39674022893366284,0.09655870151314232,0.25367058659420105,0.46894361812562035
4,0.37636881453825455,0.10244381791583217,0.26118909761677644,0.46305283915792594
5,0.3648008992249065,0.10616691360233951,0.2660835610012618,0.4568960328561207
6,0.3561244308565454,0.10964885918301998,0.2735579629998095,0.45371292963592524
7,0.3489379555293404,0.11283168399648699,0.2766098814823978,0.4474803635417175
8,0.34219968410874396,0.11439734032608337,0.27809523579387024,0.4442537590536059
9,0.3370668876983206,0.11599531629063957,0.2800996195278899,0.4355620559039933
10,0.3318946006442097,0.11805004144922802,0.28404684272407116,0.4330424850551414
11,0.32847728827312245,0.11913969823528557,0.2847562711646249,0.4322959266168727
12,0.32459036017598103,0.1218013473717342,0.28560487695763287,0.43073922066701514
13,0.32245600277170117,0.12272739869956405,0.288376153289012,0.42755767827401586
14,0.3204332214701145,0.12368613357428437,0.2895258845733718,0.4243417775491909
15,0.3183620337655428,0.12524458348535036,0.2909613212981263,0.42179073417664603
16,0.316039940538627,0.12545905368848462,0.2903273328579543,0.42549241362039125
17,0.3142661348866313,0.1274219359220697,0.29216887274944003,0.4237998092729288
18,0.3127844265080356,0.12704375655348527,0.2912720632689543,0.42788731040214617
19,0.31175207475003974,0.12733958672174406,0.2938108491017321,0.42290402197846194
20,0.3111282795820874,0.1282391290215866,0.2929133630530055,0.4205219198594332
21,0.30902348412799346,0.12825338638637498,0.29416572217853737,0.4198468295308733
22,0.3080718888874838,0.1280807908342097,0.29502003759670586,0.42038382878975117
23,0.3071896702740677,0.1299448255096929,0.2953682737347113,0.4185327947930191
24,0.30615346129878324,0.12882883750856652,0.29529375222110427,0.4174400451855534
25,0.3056718223658809,0.12963549937029312,0.2956511329865687,0.4174374629987149
26,0.3050397843658771,0.12983956801575589,0.29483891900264764,0.4146540019952397
27,0.30510515269552835,0.1302593505261522,0.29436452989242257,0.41836323586845353
28,0.3037775660311961,0.13025053639575304,0.29578269812077296,0.42530492175539175
29,0.30308382642146553,0.13107699687524232,0.2952348809762501,0.4149786087486446
30,0.30189494470704187,0.1314334678387117,0.2953521916772214,0.4119968882844298
31,0.301578802590505,0.13166160880285457,0.2960275086552991,0.414740317746923
32,0.3007984506516959,0.1308146126178639,0.2965283997364983,0.41539195320136496
33,0.3004936402361926,0.13150200565726547,0.29749642296309997,0.41339851959807167
34,0.3001875448732572,0.1322362570895574,0.296259701626636,0.40997925916891614
35,0.29967716311351195,0.13232862931726302,0.2963840175213831,0.4146089590277221
36,0.2991693133636735,0.1323579574748493,0.29772921978696937,0.4067772907534161
37,0.29890024336414045,0.13241104105237475,0.2961583146866703,0.4114434072923892
38,0.2982563944892589,0.13205936301760912,0.29691029824693194,0.4145209984994738
39,0.2980176574696612,0.1321317567034195,0.2958357062030833,0.4100579836720278
40,0.2979091130062976,0.13262439196329578,0.29584632436025005,0.40774866807380905
41,0.29739793560498784,0.13281983237077225,0.2951605133644518,0.4077017557184812
42,0.29783392431343736,0.1328340551098753,0.2961037690315305,0.410717529121276
43,0.2969605321289641,0.13326657564807567,0.29710553073727364,0.4086255181292793
44,0.2969418470687915,0.1337344584050168,0.2963312356373286,0.41072310101502046
45,0.2962873339040114,0.13377037554940172,0.29676593124804584,0.409650397049581
46,0.29618083095719083,0.13346214222782524,0.296206165558292,0.4075218361780147
47,0.2972094083736366,0.13372174221781435,0.29729385643506434,0.4091227430726053
48,0.2965451311942544,0.13339997874780482,0.2978327643192179,0.406215314539253
49,0.29600336006184164,0.13416735798586557,0.2982612410726337,0.4066552173681959
50,0.2961709289440459,0.13426581884092964,0.29795862125254513,0.4077852628016752
