epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
39,2.3252532162649386e-05,0.0009284171632470933,"tf.Tensor(0.5833351, shape=(), dtype=float32)","tf.Tensor(0.9638353, shape=(), dtype=float32)"
40,2.3618712705440783e-05,0.0009520358759525341,"tf.Tensor(0.5734195, shape=(), dtype=float32)","tf.Tensor(0.97154695, shape=(), dtype=float32)"
41,2.5423777513900523e-05,0.0009774596534664346,"tf.Tensor(0.5644011, shape=(), dtype=float32)","tf.Tensor(0.9791633, shape=(), dtype=float32)"
42,2.3659630083708707e-05,0.0010011192835501432,"tf.Tensor(0.5529054, shape=(), dtype=float32)","tf.Tensor(0.98942935, shape=(), dtype=float32)"
43,2.3373354734765276e-05,0.0010244926382849085,"tf.Tensor(0.5486133, shape=(), dtype=float32)","tf.Tensor(0.99027646, shape=(), dtype=float32)"
44,2.3466171307939065e-05,0.0010479588095928477,"tf.Tensor(0.5416518, shape=(), dtype=float32)","tf.Tensor(1.0015595, shape=(), dtype=float32)"
45,2.352889787728015e-05,0.001071487707470128,"tf.Tensor(0.53762275, shape=(), dtype=float32)","tf.Tensor(1.0048653, shape=(), dtype=float32)"
46,2.3421124479676693e-05,0.0010949088319498045,"tf.Tensor(0.53037465, shape=(), dtype=float32)","tf.Tensor(1.0102239, shape=(), dtype=float32)"
47,2.360495913160163e-05,0.0011185137910814061,"tf.Tensor(0.5254082, shape=(), dtype=float32)","tf.Tensor(1.0136055, shape=(), dtype=float32)"
48,2.338561543178818e-05,0.0011418994065131942,"tf.Tensor(0.52085084, shape=(), dtype=float32)","tf.Tensor(1.018179, shape=(), dtype=float32)"
49,2.3309544843283042e-05,0.0011652089513564774,"tf.Tensor(0.51731634, shape=(), dtype=float32)","tf.Tensor(1.022261, shape=(), dtype=float32)"
