epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,valid_rmse,recall_5,recall_10,ndcg_5,ndcg_10
0,455.78125,17.0,44.06980013847351,"tf.Tensor(0.9066359, shape=(), dtype=float32)","tf.Tensor(0.9138627, shape=(), dtype=float32)",0.03347252254602989,0.04699571279115892,0.04490960589157755,0.0443946557201414
1,521.16015625,23.9,43.90478754043579,"tf.Tensor(0.8966282, shape=(), dtype=float32)","tf.Tensor(0.90561324, shape=(), dtype=float32)",0.020932382377601595,0.05144705381117646,0.03486727819807142,0.04573967352068548
2,548.53515625,22.9,44.08460569381714,"tf.Tensor(0.8949553, shape=(), dtype=float32)","tf.Tensor(0.904168, shape=(), dtype=float32)",0.022766176689387626,0.038803589721574175,0.035937663155595496,0.03849728369305588
3,574.00390625,24.3,43.911073207855225,"tf.Tensor(0.8947938, shape=(), dtype=float32)","tf.Tensor(0.90387344, shape=(), dtype=float32)",0.02048215235555389,0.03239849688059407,0.024023894430162004,0.026813096902814523
4,598.5625,23.2,43.9513897895813,"tf.Tensor(0.89413565, shape=(), dtype=float32)","tf.Tensor(0.90349996, shape=(), dtype=float32)",0.03882478615650234,0.06188520399902429,0.03722292006955242,0.04595165652319331
5,623.12890625,22.7,44.8811719417572,"tf.Tensor(0.8941278, shape=(), dtype=float32)","tf.Tensor(0.9032678, shape=(), dtype=float32)",0.01207517254755579,0.026316560592135323,0.026508988851313073,0.02681573167626799
6,648.65234375,24.8,44.47712850570679,"tf.Tensor(0.8939508, shape=(), dtype=float32)","tf.Tensor(0.9030952, shape=(), dtype=float32)",0.01854096616457445,0.03522367686834408,0.03615410257228365,0.039685359697349175
7,673.359375,24.9,47.147891998291016,"tf.Tensor(0.8941068, shape=(), dtype=float32)","tf.Tensor(0.90374136, shape=(), dtype=float32)",0.015731992224245317,0.029143844412186436,0.030759430979756083,0.0327684018341544
8,698.0,29.8,44.0661678314209,"tf.Tensor(0.89434254, shape=(), dtype=float32)","tf.Tensor(0.9037199, shape=(), dtype=float32)",0.016512340756038232,0.026111941422120893,0.03319666796010939,0.030812466302197
9,722.59765625,23.4,43.82740020751953,"tf.Tensor(0.8940028, shape=(), dtype=float32)","tf.Tensor(0.9036676, shape=(), dtype=float32)",0.011789740050609619,0.022941577551772455,0.014242243607380255,0.02344946361952104
10,748.0859375,23.4,44.03188610076904,"tf.Tensor(0.89450765, shape=(), dtype=float32)","tf.Tensor(0.9044926, shape=(), dtype=float32)",0.02542605262302232,0.030660290887563613,0.038995147119080045,0.03478415373417753
11,772.69140625,23.3,44.03111433982849,"tf.Tensor(0.8949068, shape=(), dtype=float32)","tf.Tensor(0.90462494, shape=(), dtype=float32)",0.017466058433800367,0.02891207436789485,0.020933451298340768,0.024990407676118903
12,797.32421875,23.9,43.99736571311951,"tf.Tensor(0.8948068, shape=(), dtype=float32)","tf.Tensor(0.9042283, shape=(), dtype=float32)",0.03217068097387246,0.04299894845107611,0.031156608235025248,0.03394586956806362
13,821.94921875,24.6,44.16737365722656,"tf.Tensor(0.893929, shape=(), dtype=float32)","tf.Tensor(0.9034182, shape=(), dtype=float32)",0.015261308739569608,0.02581480755737699,0.022948500607194333,0.027516365566145604
