epoch,train_rmse,valid_rmse,recall@5,recall@10,recall@20,recall@50,ndcg@5,ndcg@10,ndcg@20,ndcg@50
24,"tf.Tensor(0.76377004, shape=(), dtype=float32)","tf.Tensor(0.8664535, shape=(), dtype=float32)",0.04093445535482456,0.06600886814826114,0.08731643498766052,0.13287364078422803,0.06305275152916988,0.06679373119697016,0.0729455796811666,0.08294687993472186
25,"tf.Tensor(0.7574892, shape=(), dtype=float32)","tf.Tensor(0.8687173, shape=(), dtype=float32)",0.03402371757984462,0.08962052110034732,0.11530765356167333,0.16422189093091918,0.05213840540674334,0.06579026840779874,0.07095060268892604,0.08648385054047399
26,"tf.Tensor(0.7504817, shape=(), dtype=float32)","tf.Tensor(0.871234, shape=(), dtype=float32)",0.04878340449278664,0.07207434016530126,0.10350560943243826,0.1253490569841238,0.09118718952927315,0.0880794713822247,0.09463296334549674,0.10239012392829641
27,"tf.Tensor(0.7423783, shape=(), dtype=float32)","tf.Tensor(0.8738857, shape=(), dtype=float32)",0.028004707473762006,0.04476837059352328,0.0700675758195987,0.11015806403508692,0.05017570472450497,0.050587135394109896,0.05729912864128813,0.06804778891223388
28,"tf.Tensor(0.73261356, shape=(), dtype=float32)","tf.Tensor(0.87611216, shape=(), dtype=float32)",0.038003232137251826,0.0578570364405419,0.09474377862710169,0.12894002355864073,0.05751952218544631,0.06015180889425319,0.0677162262537948,0.0790039090875482
29,"tf.Tensor(0.7243303, shape=(), dtype=float32)","tf.Tensor(0.8812049, shape=(), dtype=float32)",0.017735115596846495,0.03155709557836595,0.06682694626874626,0.12930547677775092,0.0312111535404752,0.03602205235722464,0.046718982327813574,0.06547508407295026
30,"tf.Tensor(0.72025377, shape=(), dtype=float32)","tf.Tensor(0.8845117, shape=(), dtype=float32)",0.014090105120216773,0.029888571118150853,0.06618781685814311,0.10133752365600383,0.03840853718782352,0.03950645340755215,0.051184725105779115,0.06153468065253397
31,"tf.Tensor(0.71719, shape=(), dtype=float32)","tf.Tensor(0.88708967, shape=(), dtype=float32)",0.03350358541685072,0.051704422750341116,0.09491894160261508,0.1314020507192776,0.04320786890282781,0.0456775491170521,0.058095432294564965,0.07182840898725694
32,"tf.Tensor(0.71466786, shape=(), dtype=float32)","tf.Tensor(0.88980484, shape=(), dtype=float32)",0.021634739388362575,0.040392538121697734,0.07301030162663862,0.1002558756464062,0.034020783102425074,0.04157874484221889,0.052368128563192624,0.05802853292646446
33,"tf.Tensor(0.7062432, shape=(), dtype=float32)","tf.Tensor(0.894828, shape=(), dtype=float32)",0.023028055963377266,0.03653383294571266,0.06363975798220169,0.10263398675053596,0.044109469203576626,0.04645470432065733,0.05396630410011518,0.06665952411608136
34,"tf.Tensor(0.697859, shape=(), dtype=float32)","tf.Tensor(0.89554745, shape=(), dtype=float32)",0.02289784904674812,0.03996913939528216,0.06071854043775322,0.09041174007210272,0.06474660719532109,0.061647118678795514,0.06453318036697536,0.06983623531504556
35,"tf.Tensor(0.690245, shape=(), dtype=float32)","tf.Tensor(0.900562, shape=(), dtype=float32)",0.04494157112016325,0.05502870620729834,0.07376023751226231,0.120204957347621,0.0684105589751163,0.06233924082105746,0.0673807270976462,0.08173085037208848
36,"tf.Tensor(0.68223435, shape=(), dtype=float32)","tf.Tensor(0.9056967, shape=(), dtype=float32)",0.016844252561164327,0.03714478536169712,0.07134289933922287,0.12348063002958512,0.039703148131591585,0.039621762920447105,0.05071123050985795,0.06663113612536484
37,"tf.Tensor(0.6754004, shape=(), dtype=float32)","tf.Tensor(0.912168, shape=(), dtype=float32)",0.03885914070177105,0.07709088070254508,0.09880825712661785,0.12096943520674368,0.04795841733648873,0.06288006995332222,0.07014815977881539,0.07762990190865517
38,"tf.Tensor(0.6712448, shape=(), dtype=float32)","tf.Tensor(0.9146333, shape=(), dtype=float32)",0.023185759797149035,0.037387189885625435,0.06986331218496424,0.11057187962225509,0.04709577393126459,0.044952015665135944,0.05258309469059563,0.06390347585661085
39,"tf.Tensor(0.6631503, shape=(), dtype=float32)","tf.Tensor(0.9197432, shape=(), dtype=float32)",0.032019915607803075,0.04299620945657384,0.07033981272596634,0.10658174317434146,0.05796799174897121,0.05655984054186946,0.06160308787033359,0.07124494671964732
40,"tf.Tensor(0.6555544, shape=(), dtype=float32)","tf.Tensor(0.9263717, shape=(), dtype=float32)",0.013656261367010475,0.045147415010603834,0.06884531918417393,0.09231732078686848,0.03623372021482181,0.043211056073083134,0.046693405431970085,0.05308213379417
41,"tf.Tensor(0.6487262, shape=(), dtype=float32)","tf.Tensor(0.9321846, shape=(), dtype=float32)",0.029750599946069437,0.049037731829160755,0.07427863633019036,0.11165226967210233,0.04428497109060782,0.04871272409304056,0.056109072122462716,0.06938785555236496
42,"tf.Tensor(0.64079916, shape=(), dtype=float32)","tf.Tensor(0.9385116, shape=(), dtype=float32)",0.03044123193553934,0.03769941580662643,0.07616042767445944,0.12234425954439936,0.05371824691262107,0.047431174659303924,0.05939938752700554,0.07219640337540431
43,"tf.Tensor(0.6336743, shape=(), dtype=float32)","tf.Tensor(0.94364375, shape=(), dtype=float32)",0.038480192403475284,0.05221136668555106,0.08040959603938692,0.10791399520310696,0.054929936643416034,0.055645882460331246,0.06450093265039315,0.0722906969436324
44,"tf.Tensor(0.62969077, shape=(), dtype=float32)","tf.Tensor(0.948781, shape=(), dtype=float32)",0.025240629924805066,0.044083948815188054,0.06478862092221829,0.09153267177098968,0.04968040160458141,0.05108834024645269,0.054794293197044874,0.06215887526313664
45,"tf.Tensor(0.62643516, shape=(), dtype=float32)","tf.Tensor(0.95382047, shape=(), dtype=float32)",0.022235543795191364,0.038359853911958376,0.09069676757699703,0.13913148237200595,0.043400079376883394,0.04500845809579723,0.06094855251484799,0.07727069262166988
46,"tf.Tensor(0.618637, shape=(), dtype=float32)","tf.Tensor(0.9589169, shape=(), dtype=float32)",0.03139776277386899,0.04293746492629786,0.06734104637803653,0.10784641100138548,0.0514205104003233,0.0508562513866611,0.05624609909539705,0.06745084213907511
47,"tf.Tensor(0.6133927, shape=(), dtype=float32)","tf.Tensor(0.9628922, shape=(), dtype=float32)",0.03155985930422472,0.05302845580079435,0.07653773874102358,0.13146484565921907,0.057045436447466645,0.05717968566342375,0.06018642713725447,0.0783614472373297
48,"tf.Tensor(0.60675555, shape=(), dtype=float32)","tf.Tensor(0.96920323, shape=(), dtype=float32)",0.01169531754507124,0.02004045236167259,0.0553324362881103,0.0838664667049787,0.0263334280713743,0.026043481380090522,0.036039775733279544,0.04680659025419709
49,"tf.Tensor(0.5969186, shape=(), dtype=float32)","tf.Tensor(0.9786637, shape=(), dtype=float32)",0.03997302516324255,0.04833091123851993,0.08095443204138857,0.12126754585993717,0.050506035868694545,0.04814525456088193,0.06060821043132251,0.07246738588775914
