epoch,train_loss,train_rmse,train_mae,test_rmse,test_mae
0,0.3246471555903554,0.4382942605537194,0.19641835025468793,0.4226184072773768,0.20168988988664885
1,0.30684641073457897,0.4030480008762478,0.19571024468611742,0.4223975497970685,0.20625557799742614
2,0.30159944319166243,0.3805973504475204,0.1919883905292628,0.42157552077514115,0.20858945595693829
3,0.29893447598442435,0.37865611763300083,0.18855249583767741,0.4231109621006223,0.20724507947653514
4,0.29510526778176427,0.37032688532959485,0.18877141289002022,0.423210419549762,0.21241755212073019
5,0.2900895862840116,0.3696254085597245,0.17978216236688388,0.4282791656211539,0.21056650371128735
6,0.2846704493276775,0.34411800340647897,0.18175245769375703,0.4361759876686087,0.22028742029941484
7,0.2822352619841695,0.35029532586697154,0.17581348188301837,0.4365754865415694,0.2179409497448563
8,0.27706157928332686,0.3423048921170674,0.17298254982175892,0.43526347882853905,0.2180000698823382
9,0.2743339533917606,0.33127367522106227,0.17263386626745725,0.4411637269925311,0.2226493930040558
10,0.2710699192248285,0.3191113673681796,0.17022414652405365,0.44479540605016105,0.2229815865651309
11,0.26847468595951796,0.31764550562396165,0.1660122211069748,0.4492615308830985,0.22540894128403682
12,0.26346766110509634,0.32125222845354473,0.16543591950099454,0.4537897904020995,0.2293472206618672
13,0.2614311065990478,0.3090450740916117,0.16507898409043437,0.4501238302646796,0.228622631058956
14,0.2594643367920071,0.306513200096637,0.16328338139327345,0.4566608233648127,0.23311721883073075
15,0.25732009881176054,0.2948496804433465,0.15903739827109747,0.45387424958635364,0.22898936533001382
16,0.2545867911539972,0.29153163360950524,0.15689768431617268,0.4570882970692455,0.22895309465390826
17,0.2537044729106128,0.289875914140533,0.15643451843032619,0.4564811309339318,0.23047882780529536
18,0.2513892254792154,0.2785420405818835,0.15344228680362992,0.458413666601701,0.23247674947687644
19,0.2495932055171579,0.28149684458858837,0.15090036122155684,0.45854178974304904,0.23237556580543017
20,0.24765925272367895,0.2838161832390321,0.15294335094029543,0.46253598964559106,0.23715101793273316
21,0.24654283188283443,0.27819867247473706,0.15010622920579994,0.4618564483264168,0.23509210517929624
22,0.24481477565132082,0.2777759923817762,0.1508727391787309,0.46757607480845437,0.2394460512196236
23,0.24429960222914815,0.2778699240827626,0.1468698453734242,0.46226154716494033,0.23685735255526408
24,0.24129330785945058,0.27293221618483055,0.14505902682937533,0.4673097977763686,0.23730918382171712
25,0.24071289622224867,0.26333827521583186,0.14540027427458743,0.4624011600871413,0.2377924681260126
26,0.2402707866858691,0.2671703446989749,0.14825434265891477,0.46674652889457735,0.24085692517009274
27,0.2389556576963514,0.2619141013051433,0.1459333695272475,0.46732552446952474,0.24322696043723532
28,0.23761522211134434,0.25405267419426203,0.1437414729289998,0.4691565369892593,0.2411535878507329
29,0.23705622437410057,0.2551405799283915,0.14531490832419525,0.46850043521714735,0.2422258299002445
30,0.2362488848157227,0.2528351358765596,0.14412248724615062,0.4692981679492927,0.24282016452930838
31,0.23623964190483093,0.25136630868791265,0.14357833091585448,0.46925868680594657,0.24315040121963083
32,0.23501394595950842,0.24733187030642909,0.1419731830673232,0.4697376676524663,0.24352207550074143
33,0.2351875714957714,0.24993615621914245,0.14257506285268157,0.4720213671154892,0.24512113966913163
34,0.23507200786843896,0.25248264016307465,0.14050918518636712,0.471458271641498,0.2437359382929457
35,0.23432198842056096,0.2544822052543095,0.14000785597415652,0.4744456943305136,0.24504653904609952
36,0.23335536918602884,0.2490857566529207,0.14024259978427167,0.47284158046694813,0.24637747207826755
37,0.23237217171117663,0.24732842046785392,0.13985640942548638,0.4772132896921357,0.24696013741658923
38,0.23320720111951232,0.24777665511785762,0.13998943424908813,0.47394020041818546,0.2466076007678203
39,0.23092487314715981,0.24671976265219467,0.13690889498419095,0.47492925682836584,0.2469459047864773
40,0.23009545472450554,0.2433982038532953,0.13965868355295374,0.4755523574610042,0.24950552128405418
41,0.23068617074750364,0.24600810460395614,0.1385440886076268,0.47821591911167627,0.24950181169412414
42,0.23133601807057858,0.2379540901090659,0.13880524017561718,0.47156618393508,0.24857242201649457
43,0.2302580615505576,0.2407695165649478,0.1374293054922479,0.4766013893244264,0.24817604698065354
44,0.22944015613757074,0.23846314865209717,0.1370606375915086,0.47632277451555904,0.24875680102510062
45,0.22981261415407062,0.2370169062123351,0.1359156177990305,0.4756830353099033,0.24864977408562675
46,0.22969123721122742,0.23460948928623213,0.13645480875304644,0.4798298816135396,0.2512951873278422
47,0.22880945354700089,0.23643279069683334,0.1381633281311231,0.4798021450726597,0.2518046083125089
48,0.22891482175327837,0.23407912333372222,0.13560546550791197,0.4767785550705788,0.25236332864235356
49,0.22857531835325062,0.2323869707309406,0.1347302188589648,0.47856681109194,0.2504308243927922
