epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse,recall@5,recall@10,recall@20,ndcg@5,ndcg@10,ndcg@20
0,682.078125,25.8,23.218182802200317,99.00076668088475,1.3055704452040153,0.06904761904761904,0.1414285714285714,0.27,0.06004221065670893,0.08858556046183824,0.1409774288067678
1,718.22265625,58.0,23.30671715736389,77.18278720772679,1.3357674471390635,0.15625,0.25,0.4375,0.1704776847112558,0.21232227510874566,0.2855509962133598
2,718.28515625,58.1,23.988463640213013,67.09956947942092,1.405388663560101,0.132183908045977,0.3390804597701149,0.4827586206896552,0.13919509405024394,0.2277400002146124,0.2946659019170363
3,721.68359375,59.0,22.928817749023438,64.28231247378068,1.4582101834753882,0.19476190476190475,0.2947619047619048,0.4614285714285714,0.17777883929564087,0.23033546406087332,0.2772727418229054
4,720.40625,57.0,23.004933834075928,63.21247740683269,1.4937997360708621,0.1951219512195122,0.24390243902439024,0.40650406504065045,0.19962973012035495,0.21437435702532118,0.26339657502911135
5,720.28125,57.8,23.15617847442627,62.492358663170656,1.4990817538683048,0.24786324786324784,0.34615384615384615,0.3675213675213675,0.1727364565415238,0.23417098241041245,0.24200209768391526
6,720.4921875,57.9,23.192936897277832,62.45714946654023,1.5128225869432852,0.0925925925925926,0.2152777777777778,0.3680555555555556,0.07453051338585474,0.11960137535472525,0.17502236587950964
7,721.1953125,57.8,24.04092240333557,62.209421199354104,1.5203478028132513,0.11428571428571428,0.20952380952380953,0.35238095238095235,0.09319598591836901,0.14372942962517285,0.18977383810347773
8,720.875,58.6,23.653011798858643,62.071637811795085,1.5203278373229319,0.18627450980392157,0.2598039215686274,0.42156862745098034,0.16247075894411728,0.20515891134757563,0.25755158993653415
9,720.4921875,57.2,24.798221349716187,62.220540074777055,1.5422315976435779,0.18333333333333332,0.24940476190476185,0.3279761904761905,0.1215086031361686,0.14810035870235874,0.185332234529389
10,720.4765625,60.2,23.94374132156372,61.85114382110088,1.52985983774602,0.1640625,0.203125,0.4375,0.14420349114150055,0.1569091452375729,0.2290708908797803
11,720.9453125,56.8,24.605121850967407,61.84643814536277,1.5413909106905272,0.26666666666666666,0.3952380952380952,0.4666666666666666,0.13586452532702167,0.1862123505241932,0.20889392241208068
12,720.21875,60.9,24.872332334518433,61.830380125937175,1.5436887204543208,0.07324561403508771,0.2100877192982456,0.30657894736842106,0.04354902280161876,0.09514036123384687,0.12880058906809325
13,720.63671875,61.8,22.81588053703308,61.635850293382944,1.5432018423232252,0.20238095238095238,0.31666666666666665,0.4309523809523809,0.18401607337049167,0.23689511209626138,0.28104327298147364
14,720.859375,58.1,22.518874883651733,61.529473821271246,1.539145609372763,0.17424242424242425,0.25,0.25,0.11704956904432762,0.14977766047398378,0.14977766047398378
15,722.1171875,56.5,24.549960613250732,61.54669725757555,1.5419206703917807,0.16754385964912283,0.2596491228070176,0.41535087719298247,0.17571709030786337,0.21842808755277318,0.26000141908651536
16,720.890625,59.3,22.797141075134277,61.403216626976885,1.5401426550419066,0.20270270270270271,0.31981981981981983,0.4909909909909909,0.21331862866795603,0.2609487431330281,0.3147263358155491
