epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse,recall_5,recall_10,ndcg_5,ndcg_10
0,2.414942196844082e-05,2.414942196844082e-05,"tf.Tensor(0.9066359, shape=(), dtype=float32)","tf.Tensor(0.9138627, shape=(), dtype=float32)",0.03347252254602989,0.04699571279115892,0.04490960589157755,0.0443946557201414
1,2.4044657603086343e-05,4.819407957152716e-05,"tf.Tensor(0.8966282, shape=(), dtype=float32)","tf.Tensor(0.90561324, shape=(), dtype=float32)",0.020932382377601595,0.05144705381117646,0.03486727819807142,0.04573967352068548
2,2.4178185011549515e-05,7.237226458307668e-05,"tf.Tensor(0.8949553, shape=(), dtype=float32)","tf.Tensor(0.904168, shape=(), dtype=float32)",0.022766176689387626,0.038803589721574175,0.035937663155595496,0.03849728369305588
3,2.4098268180887198e-05,9.647053276396389e-05,"tf.Tensor(0.8947938, shape=(), dtype=float32)","tf.Tensor(0.90387344, shape=(), dtype=float32)",0.02048215235555389,0.03239849688059407,0.024023894430162004,0.026813096902814523
4,2.4140246812314184e-05,0.00012061077957627807,"tf.Tensor(0.89413565, shape=(), dtype=float32)","tf.Tensor(0.90349996, shape=(), dtype=float32)",0.03882478615650234,0.06188520399902429,0.03722292006955242,0.04595165652319331
5,2.4713471920282368e-05,0.00014532425149656043,"tf.Tensor(0.8941278, shape=(), dtype=float32)","tf.Tensor(0.9032678, shape=(), dtype=float32)",0.01207517254755579,0.026316560592135323,0.026508988851313073,0.02681573167626799
6,2.4431831600913206e-05,0.00016975608309747364,"tf.Tensor(0.8939508, shape=(), dtype=float32)","tf.Tensor(0.9030952, shape=(), dtype=float32)",0.01854096616457445,0.03522367686834408,0.03615410257228365,0.039685359697349175
7,2.614936119503714e-05,0.00019590544429251078,"tf.Tensor(0.8941068, shape=(), dtype=float32)","tf.Tensor(0.90374136, shape=(), dtype=float32)",0.015731992224245317,0.029143844412186436,0.030759430979756083,0.0327684018341544
8,2.4271114822032672e-05,0.00022017655911454344,"tf.Tensor(0.89434254, shape=(), dtype=float32)","tf.Tensor(0.9037199, shape=(), dtype=float32)",0.016512340756038232,0.026111941422120893,0.03319666796010939,0.030812466302197
9,2.4090631481445878e-05,0.00024426719059598935,"tf.Tensor(0.8940028, shape=(), dtype=float32)","tf.Tensor(0.9036676, shape=(), dtype=float32)",0.011789740050609619,0.022941577551772455,0.014242243607380255,0.02344946361952104
10,2.4291386650683464e-05,0.0002685585772466728,"tf.Tensor(0.89450765, shape=(), dtype=float32)","tf.Tensor(0.9044926, shape=(), dtype=float32)",0.02542605262302232,0.030660290887563613,0.038995147119080045,0.03478415373417753
11,2.4289097080675263e-05,0.000292847674327348,"tf.Tensor(0.8949068, shape=(), dtype=float32)","tf.Tensor(0.90462494, shape=(), dtype=float32)",0.017466058433800367,0.02891207436789485,0.020933451298340768,0.024990407676118903
12,2.4243180454282547e-05,0.0003170908547816306,"tf.Tensor(0.8948068, shape=(), dtype=float32)","tf.Tensor(0.9042283, shape=(), dtype=float32)",0.03217068097387246,0.04299894845107611,0.031156608235025248,0.03394586956806362
13,2.4415154254153232e-05,0.00034150600903578383,"tf.Tensor(0.893929, shape=(), dtype=float32)","tf.Tensor(0.9034182, shape=(), dtype=float32)",0.015261308739569608,0.02581480755737699,0.022948500607194333,0.027516365566145604
14,2.4424174507496546e-05,0.0003659301835432804,"tf.Tensor(0.87603825, shape=(), dtype=float32)","tf.Tensor(0.8910464, shape=(), dtype=float32)",0.03806172126484626,0.04832131121193622,0.04891323492835956,0.04662255969976175
