epoch,train_loss,test_loss,test_rmse
0,203119.9765625,54349.977,2.210340716828719
1,74950.89453125,17708.887,1.2505998293423781
2,20602.74755859375,5336.217,0.6639476746221346
3,28353.28857421875,4247.7935,0.5841507456782276
4,30502.296875,4405.2285,0.5965314544206701
5,16286.1376953125,6497.1997,0.7389699785139345
6,10834.872314453125,8846.811,0.8713510872127614
7,12457.871337890625,8640.5,0.8604387851111116
8,10770.160400390625,6480.9614,0.7376588862449991
9,7655.718994140625,4547.5005,0.6068684656147941
10,7321.964111328125,3681.7551,0.5379247573200023
11,6375.2581787109375,3409.383,0.5142582814615513
12,5799.74169921875,3433.8733,0.5163408461916081
13,5175.2752685546875,3543.0583,0.525778384880185
14,5353.9951171875,3463.817,0.5187789917516654
15,4903.6861572265625,3213.0586,0.49620141764181347
16,4665.251220703125,2989.9583,0.4752039125358782
17,4672.0390625,2867.6619,0.4632787605068139
18,4547.986572265625,2823.37,0.4588957301319211
19,4499.084228515625,2822.9377,0.4588652850306591
20,4357.458740234375,2822.348,0.4588117801092162
21,4401.6199951171875,2793.228,0.4559087149634841
22,4340.2744140625,2749.908,0.45155162140990557
23,4298.5789794921875,2717.149,0.44823454973795823
24,4213.820617675781,2702.3318,0.44673850676288507
25,4232.8642578125,2699.1323,0.4464293831065066
26,4058.3192749023438,2698.0356,0.4463298502583651
27,4117.706604003906,2692.6162,0.44577600196996825
28,4041.4310913085938,2681.7708,0.4446625586683493
29,3908.94384765625,2673.041,0.4437616997630231
30,4040.9761352539062,2667.3638,0.4431685011244627
31,3920.3748779296875,2661.267,0.4425236114116778
32,3871.6060791015625,2656.7756,0.44203878130127255
33,3811.4183349609375,2647.5564,0.44106226344493776
34,3836.3350830078125,2641.2146,0.4403695021986864
35,3794.0296630859375,2643.6943,0.44058288295309134
36,3672.38037109375,2642.985,0.4404743856704578
37,3701.3381958007812,2632.8838,0.4393895497935541
38,3634.0956420898438,2624.8083,0.4385043399865988
39,3616.5469360351562,2620.942,0.4380462804791072
40,3602.131591796875,2621.1362,0.438008676680168
41,3487.692138671875,2619.6838,0.4378023282611903
42,3453.9641723632812,2615.3987,0.43729214124328575
43,3498.835693359375,2613.6467,0.43703574767478326
44,3419.7110595703125,2619.1733,0.4375330858165772
45,3400.1904296875,2615.8013,0.4371061812361921
46,3362.11962890625,2604.1416,0.4358120049826599
47,3357.2774047851562,2595.644,0.43483426934500957
48,3229.58544921875,2593.588,0.43452423580106553
49,3244.37744140625,2597.9705,0.4348879567365642
