epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse
1,1.8843947522859619e-06,1.8843947522859619e-06,1.6202392578125,0.2942127287387848,0.5424137936691439
2,1.0972856129871963e-06,2.9816803652731584e-06,0.4283480942249298,0.2879897356033325,0.536646742419483
3,9.125574056050782e-07,3.894237770878236e-06,0.36521977186203003,0.30143651366233826,0.5490323471506656
4,1.098781663343386e-06,4.993019434221622e-06,0.332629919052124,0.3410298824310303,0.5839776483031466
5,9.902111221680672e-07,5.983230556389689e-06,0.3107614517211914,0.35185375809669495,0.5931725784441324
6,8.846424840840938e-07,6.867873040473783e-06,0.2952028512954712,0.38756853342056274,0.6225500150384555
7,8.904354649817563e-07,7.758308505455539e-06,0.28308865427970886,0.43400639295578003,0.6587916128814533
8,9.642918010356148e-07,8.722600306491154e-06,0.2709018588066101,0.47657451033592224,0.6903437242337888
9,8.878161166476976e-07,9.610416423138852e-06,0.26130008697509766,0.4361007809638977,0.6603792581466912
10,8.712086151116733e-07,1.0481625038250525e-05,0.2531087100505829,0.42953768372535706,0.6553912278191067
11,8.649958732863491e-07,1.1346620911536875e-05,0.24417437613010406,0.4552307724952698,0.6747079117545086
12,1.467367257606997e-06,1.2813988169143872e-05,0.23774348199367523,0.43643712997436523,0.6606338208630708
13,1.0169819419834226e-06,1.3830970111127295e-05,0.23033860325813293,0.4538991451263428,0.6737203760931265
14,9.222568948754932e-07,1.4753227006002789e-05,0.22475871443748474,0.48353254795074463,0.6953650618640821
15,9.235145351478897e-07,1.567674154115068e-05,0.21829962730407715,0.4626840651035309,0.680208896564519
16,1.0560708474115462e-06,1.6732812388562225e-05,0.21450260281562805,0.4366413354873657,0.6607883799862179
17,8.686215206933676e-07,1.7601433909255592e-05,0.21052315831184387,0.39988550543785095,0.6323650150605487
18,9.468185413293172e-07,1.8548252450584908e-05,0.20753449201583862,0.4041687846183777,0.6357426841866824
19,9.362326753865312e-07,1.948448512597144e-05,0.20456324517726898,0.3567088544368744,0.5972510649093509
20,1.016825783593822e-06,2.0501310909565263e-05,0.20285068452358246,0.33391740918159485,0.5778558918873852
21,8.470131545244191e-07,2.1348324064089683e-05,0.200022891163826,0.3459398150444031,0.5881665023948389
22,8.583435842758859e-07,2.220666764836557e-05,0.19896946847438812,0.31657326221466064,0.5626484237702218
23,8.84416383313515e-07,2.3091084031679082e-05,0.19695158302783966,0.2838129997253418,0.5327410137689621
24,9.331968983366928e-07,2.4024280930015774e-05,0.19588862359523773,0.27294787764549255,0.5224441207212025
25,8.489846420305833e-07,2.4873265572046356e-05,0.19564957916736603,0.2889915108680725,0.5375793368830477
26,9.021286605830531e-07,2.577539423262941e-05,0.19469109177589417,0.26594969630241394,0.5157030839539222
27,8.450713762310261e-07,2.6620465608860436e-05,0.1939287930727005,0.24194839596748352,0.4918824878620181
28,1.0339438059990118e-06,2.7654409414859447e-05,0.1929575502872467,0.23265841603279114,0.482346760868995
29,8.508872249331429e-07,2.850529663979259e-05,0.1929710954427719,0.24190664291381836,0.4918400710973783
30,1.1691109953351946e-06,2.9674407635127785e-05,0.19243915379047394,0.24158793687820435,0.49151596258958813
31,9.030988254048302e-07,3.057750646053261e-05,0.19203606247901917,0.22318285703659058,0.47242232923781935
32,8.547558012405331e-07,3.1432262261773144e-05,0.1917961984872818,0.22758954763412476,0.47706347233011775
33,8.706294745428791e-07,3.2302891736316025e-05,0.19186770915985107,0.21871677041053772,0.46767163680884405
34,8.797811242445694e-07,3.318267286056059e-05,0.19149458408355713,0.21379701793193817,0.46238187862797847
35,9.435664003518677e-07,3.412623926091246e-05,0.19149094820022583,0.2156990021467209,0.4644340786255296
36,1.5511439863754763e-06,3.5677383247287933e-05,0.19140321016311646,0.21243979036808014,0.4609119113088691
37,9.64014378039418e-07,3.664139762532735e-05,0.1910029649734497,0.21367314457893372,0.4622479205576792
38,9.357452486563384e-07,3.7577142873983684e-05,0.19125394523143768,0.21000567078590393,0.4582637478002079
39,9.221890129418563e-07,3.849933188692554e-05,0.19085118174552917,0.20806096494197845,0.4561370187245928
40,1.0105353920869487e-06,3.9509867279012486e-05,0.19078971445560455,0.2061876505613327,0.4540788955401134
41,9.77337320549581e-07,4.0487204599562065e-05,0.1909455507993698,0.2053893506526947,0.4531990133809082
42,1.0288765660653358e-06,4.15160811656274e-05,0.1905449777841568,0.21076317131519318,0.4590895001780443
43,1.4661921656062794e-06,4.298227333123368e-05,0.19076617062091827,0.2034226655960083,0.45102401007630677
44,1.284102021975678e-06,4.4266375353209356e-05,0.19059936702251434,0.2057066112756729,0.4535489151035136
45,8.240502761634036e-07,4.509042562937276e-05,0.19082990288734436,0.2059556245803833,0.4538233381474303
46,8.777030911544774e-07,4.5968128720527236e-05,0.19072066247463226,0.20379893481731415,0.4514409577207964
47,8.589680616480545e-07,4.682709678217529e-05,0.19059526920318604,0.20484894514083862,0.45260242163238223
48,8.730832704291501e-07,4.770018005260444e-05,0.19059419631958008,0.20433826744556427,0.45203791307522545
49,9.080592902813732e-07,4.8608239342885815e-05,0.19044651091098785,0.2035447508096695,0.45115933231927613
50,9.348025451158487e-07,4.954304188800166e-05,0.1905646026134491,0.20247653126716614,0.44997393611824066
