epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
39,2.366121284816417e-05,0.0009489086924021553,"tf.Tensor(0.5924272, shape=(), dtype=float32)","tf.Tensor(0.9640755, shape=(), dtype=float32)"
40,2.3739247582860833e-05,0.0009726479399850161,"tf.Tensor(0.58834124, shape=(), dtype=float32)","tf.Tensor(0.96875244, shape=(), dtype=float32)"
41,2.382790751722457e-05,0.0009964758475022406,"tf.Tensor(0.58519745, shape=(), dtype=float32)","tf.Tensor(0.97775173, shape=(), dtype=float32)"
42,2.3934132771473145e-05,0.0010204099802737137,"tf.Tensor(0.58188576, shape=(), dtype=float32)","tf.Tensor(0.982903, shape=(), dtype=float32)"
43,2.4003652850628294e-05,0.001044413633124342,"tf.Tensor(0.5799329, shape=(), dtype=float32)","tf.Tensor(0.98455095, shape=(), dtype=float32)"
44,2.4078418240366794e-05,0.0010684920513647088,"tf.Tensor(0.5751037, shape=(), dtype=float32)","tf.Tensor(0.989288, shape=(), dtype=float32)"
45,2.3836082036418684e-05,0.0010923281334011274,"tf.Tensor(0.5706958, shape=(), dtype=float32)","tf.Tensor(0.99356294, shape=(), dtype=float32)"
46,2.3915712369316063e-05,0.0011162438457704435,"tf.Tensor(0.5666647, shape=(), dtype=float32)","tf.Tensor(1.002664, shape=(), dtype=float32)"
47,2.3835218867115734e-05,0.0011400790646375592,"tf.Tensor(0.55679655, shape=(), dtype=float32)","tf.Tensor(1.0026125, shape=(), dtype=float32)"
48,2.3861354967868336e-05,0.0011639404196054275,"tf.Tensor(0.55097055, shape=(), dtype=float32)","tf.Tensor(1.0069997, shape=(), dtype=float32)"
49,2.3915641652319664e-05,0.001187856061257747,"tf.Tensor(0.54467, shape=(), dtype=float32)","tf.Tensor(1.0105835, shape=(), dtype=float32)"
