epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse
0,407.85546875,35.1,5.173983335494995,1626806.125,2.9250871451358056
1,429.46484375,40.3,5.186493158340454,1127382.625,2.546018494705167
2,425.74609375,41.1,5.08467173576355,767856.0,2.2071145149535076
3,426.60546875,33.1,5.161362171173096,524635.34375,1.9221735143609975
4,426.5078125,37.5,5.255876064300537,401637.75,1.7054097146278175
5,426.68359375,33.8,5.0766565799713135,361723.359375,1.5605898669693063
6,426.3828125,32.4,5.092770338058472,350047.78125,1.4756915637286052
7,426.44921875,34.2,5.048483371734619,342498.15625,1.4321115041152992
8,427.265625,33.5,5.0277016162872314,340203.875,1.414438888208637
9,426.47265625,35.5,5.05480694770813,323241.484375,1.4118234583437224
10,427.421875,32.9,5.0445051193237305,313130.453125,1.4178996047143981
11,427.3359375,42.8,5.120336055755615,308414.640625,1.4275342205251234
12,427.3515625,33.6,5.1133973598480225,299688.421875,1.437278424089065
13,426.59375,34.0,5.121350526809692,292488.859375,1.4446481857290785
14,426.72265625,33.5,5.1105546951293945,285644.765625,1.4480680499431817
15,426.6484375,37.6,5.183702230453491,279800.578125,1.4463161951683743
16,426.54296875,31.6,5.125918865203857,276543.546875,1.4402940321527196
17,426.5859375,36.8,5.394243001937866,269292.3125,1.4323856345548294
18,427.4453125,56.7,5.187552452087402,267600.734375,1.4234390295856112
19,426.7578125,38.3,5.218883991241455,261207.4375,1.4152521725394926
20,427.546875,49.7,5.346570253372192,251707.90625,1.4075780479216107
21,427.6875,44.1,5.163154602050781,246708.078125,1.4010014440557366
22,426.94140625,38.7,5.25131368637085,246928.1328125,1.3958658083123148
23,427.546875,45.8,5.116276741027832,244598.25,1.3920297155654904
24,426.79296875,32.1,5.145582675933838,241491.328125,1.3889684952784183
25,427.46875,43.3,5.6021034717559814,236072.7734375,1.3863238548694823
26,426.73828125,44.1,5.204791069030762,235154.4921875,1.3845985325591743
27,427.515625,41.8,5.160843133926392,228919.046875,1.3830697184290437
28,426.80078125,39.4,5.101339101791382,228634.484375,1.3805980646790772
29,427.46484375,33.0,5.1309473514556885,223137.8203125,1.3770676078601645
30,427.51953125,41.5,5.310140609741211,225864.453125,1.3738596733692714
31,427.44921875,44.1,5.152631044387817,219204.9765625,1.37122482359235
32,427.8671875,46.8,5.170790910720825,220159.7265625,1.368391117899813
33,427.57421875,36.4,5.140772104263306,216899.140625,1.3652359164476902
34,427.828125,38.9,5.2175092697143555,214019.28125,1.3621434786636764
35,427.859375,43.0,5.188542127609253,210191.8671875,1.3595588623352357
36,427.78125,41.4,5.081331968307495,207921.9921875,1.35719535752345
37,427.8359375,45.7,5.25268292427063,207753.6640625,1.354393637739481
38,427.35546875,41.3,5.149094104766846,206747.0,1.3517228609939342
39,427.70703125,44.5,5.2229578495025635,203505.6015625,1.3494820379458434
40,427.703125,31.9,5.07073187828064,203304.6171875,1.3472997329424459
41,427.44140625,30.1,5.0481133460998535,197598.1875,1.3444517832188956
42,427.56640625,31.2,7.1425323486328125,196130.09375,1.342179560208632
43,428.6796875,30.3,5.1297547817230225,198516.734375,1.3407546905724863
44,428.3125,31.0,5.093108654022217,195770.6328125,1.3388649879383738
45,428.14453125,30.8,5.12422513961792,195571.0390625,1.3369866703961466
46,428.1796875,30.0,5.068882465362549,192169.609375,1.3353837951313754
47,427.7890625,36.8,5.117379665374756,190988.734375,1.3339632091397733
48,428.203125,29.3,5.07563591003418,190879.9296875,1.3327779585389334
49,427.82421875,28.0,5.038049697875977,189360.765625,1.3312855337893192
