epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
39,2.5455128201942047e-06,0.00010516946648390983,"tf.Tensor(0.38342458, shape=(), dtype=float32)","tf.Tensor(0.42358145, shape=(), dtype=float32)"
40,2.65726875730636e-06,0.0001078267352412162,"tf.Tensor(0.38299182, shape=(), dtype=float32)","tf.Tensor(0.4235898, shape=(), dtype=float32)"
41,2.8594099337254854e-06,0.00011068614517494168,"tf.Tensor(0.38294294, shape=(), dtype=float32)","tf.Tensor(0.42337766, shape=(), dtype=float32)"
42,2.76597534588604e-06,0.00011345212052082772,"tf.Tensor(0.38300395, shape=(), dtype=float32)","tf.Tensor(0.423612, shape=(), dtype=float32)"
43,2.5969703591921406e-06,0.00011604909088001986,"tf.Tensor(0.38283736, shape=(), dtype=float32)","tf.Tensor(0.42357507, shape=(), dtype=float32)"
44,2.717860058720264e-06,0.00011876695093874013,"tf.Tensor(0.38282454, shape=(), dtype=float32)","tf.Tensor(0.42353806, shape=(), dtype=float32)"
45,2.8033415305971946e-06,0.00012157029246933733,"tf.Tensor(0.38342473, shape=(), dtype=float32)","tf.Tensor(0.42392045, shape=(), dtype=float32)"
46,2.793496665564752e-06,0.00012436378913490207,"tf.Tensor(0.38293627, shape=(), dtype=float32)","tf.Tensor(0.4232088, shape=(), dtype=float32)"
47,2.8385862578171075e-06,0.00012720237539271917,"tf.Tensor(0.38393402, shape=(), dtype=float32)","tf.Tensor(0.42488623, shape=(), dtype=float32)"
48,2.7983424312432986e-06,0.00013000071782396248,"tf.Tensor(0.38315782, shape=(), dtype=float32)","tf.Tensor(0.4240828, shape=(), dtype=float32)"
49,2.849255513001125e-06,0.00013284997333696361,"tf.Tensor(0.3827531, shape=(), dtype=float32)","tf.Tensor(0.42307028, shape=(), dtype=float32)"
