epoch,train_loss,train_auc,train_f1,train_recall,test_auc,test_f1,test_recall,train_rmse,test_rmse
0,1.532656966838067,0.5015697562170007,0.5013730627586195,0.49514025499788156,0.4977757107193069,0.4984201133729928,0.492049837627313,0.4999943738967663,0.500000038557172
1,1.3864457535102228,0.5021131496636901,0.4997733146848451,0.48363919069918,0.4966773767751664,0.49476574741722024,0.4767892064393104,0.49999706209406664,0.4999999620303638
2,1.386433220497696,0.4999304285374813,0.5016256287739316,0.48403727839663063,0.4988256919522163,0.5035050724835676,0.4871678965897506,0.499998478159708,0.5000000039320475
3,1.386431400818675,0.5000436454623828,0.5082079423176128,0.46606087042816746,0.4984681595098529,0.5089492967290373,0.4660722426377834,0.4999994334514531,0.4999999942085738
4,1.3864314304873548,0.5003194155230037,0.6406473380541252,0.016258611246197523,0.5002879502517649,0.6412532779997692,0.016957893027265268,0.49999983819703747,0.5000000000808441
5,1.3864350880208036,0.5004769104399969,0.5683234366655129,0.25310740249716096,0.4997415227790452,0.5691990724428593,0.2514018921217982,0.49999998809718055,0.4999999996119505
6,1.3864371439801204,0.5000969531620987,0.5346669494250301,0.3180381692173605,0.49777705953245394,0.5338674397661591,0.3160152577865175,0.4999999764401273,0.5000000004365606
7,1.38644238223944,0.5007086384174454,0.5010652665180187,0.48146967672258756,0.49852899314708415,0.5011241080921127,0.4799539542338799,0.49999956839321463,0.5000000074774122
8,1.3864533029864188,0.5005140637298204,0.50721995772254,0.5097641130191208,0.5000248745962558,0.5084797505698617,0.5098916203165867,0.49999831244973575,0.4999998944411553
9,1.3865042278050308,0.5005674474485453,0.49928222982012904,0.4951998393371636,0.49698311875315104,0.4969436623184708,0.49131648636945074,0.49999039810081086,0.5000000814368566
10,1.3865211410907352,0.49975551589543477,0.5022804535723838,0.5030172139708532,0.4996163380579147,0.5031727161179551,0.5032752854866261,0.4999882426554097,0.5000003078897507
11,1.3865481935809012,0.5006886726757688,0.4979608746048263,0.4945011500483529,0.49800711700434297,0.49701436509633395,0.4929881753052047,0.49998333375317844,0.5000006833177079
12,1.3865910808601722,0.5005023937384241,0.49804258464079015,0.49421408666762945,0.49752389770709926,0.4965057855670729,0.49231007554984857,0.4999768386057402,0.4999997016612123
13,1.3864904211775604,0.5000699703778354,0.5076451126096759,0.5118581227406833,0.5010398441177722,0.5095195720035421,0.5122445907661383,0.49999541325311925,0.4999999276200422
14,1.3865360446574977,0.5002992582405266,0.5014650446593104,0.5005028043432014,0.4984064405298797,0.49960533037181015,0.49658174027895197,0.4999878160855631,0.49999990086020396
15,1.3865936283573441,0.5009964348394453,0.5011159121373419,0.5003634909438145,0.49795824584176684,0.4991818893196818,0.49765790642025665,0.4999767168852668,0.4999997461401122
16,1.386659788978474,0.5009585118123787,0.5051494751581125,0.507545736304839,0.4973216318827321,0.5046675766611023,0.5076294765777682,0.4999650644420782,0.4999998262499288
17,1.3865232986185048,0.5006335893122248,0.4989348714347359,0.49612478304792634,0.4972997911963066,0.49690513089378835,0.493405167048131,0.49998960338938253,0.5000000467986443
