epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse
0,311.328125,32.5,5.054666757583618,388022.25,6.568033179363281
1,327.57421875,32.7,5.142390489578247,348973.484375,6.049302356472786
2,329.39453125,32.5,4.988050222396851,277312.984375,5.522666186044923
3,330.140625,28.0,4.978126525878906,213119.3515625,4.983532242380889
4,330.23828125,33.6,5.053349018096924,150920.1015625,4.436950307097545
5,330.28515625,34.0,5.451822280883789,112019.4765625,3.892920662862716
6,330.3828125,28.8,5.072238445281982,69797.720703125,3.372507514867038
7,330.4453125,32.3,4.978445768356323,42268.22265625,2.9015400602438555
8,330.4453125,26.1,5.014715194702148,34562.5224609375,2.5018547034168157
9,330.69921875,27.4,5.058135509490967,27607.4951171875,2.188881223901962
10,330.640625,53.5,6.120684385299683,29013.7568359375,1.9660050047379518
11,330.8984375,94.9,5.9342546463012695,31185.2666015625,1.8270471860688802
12,330.8984375,97.0,6.5906031131744385,32568.0419921875,1.7589657042328477
13,330.90234375,97.3,5.201686143875122,30597.3955078125,1.748789112660154
14,330.90625,54.0,5.03906512260437,26000.1591796875,1.781894757466884
15,330.90625,39.7,4.991419553756714,26292.2099609375,1.848013453118185
16,330.90625,35.3,4.975253582000732,25097.166015625,1.933028691359828
17,330.91015625,28.2,5.008518934249878,23520.7841796875,2.026043750460235
18,330.91015625,30.9,5.017308235168457,21768.623046875,2.1205064184087123
19,330.91015625,33.7,4.933202743530273,20336.1162109375,2.2045760609781198
20,330.90625,27.8,4.982172250747681,21603.0537109375,2.2652069714065037
21,331.15625,30.0,5.050161361694336,20928.130859375,2.306584164653884
22,331.15625,31.2,4.9981653690338135,18994.1474609375,2.3346765806157164
23,331.1328125,32.6,5.007239580154419,18340.4609375,2.3513118192876625
24,331.1328125,30.3,5.047907829284668,17397.40869140625,2.359325757977956
25,331.13671875,32.0,4.92663049697876,18403.947265625,2.3573077210911983
26,331.13671875,38.6,5.098719835281372,18808.078125,2.344931898678467
27,331.15234375,47.5,7.084741830825806,16459.61767578125,2.3289495157250344
28,331.203125,25.6,5.0105462074279785,16910.7177734375,2.3119620757620227
29,331.203125,29.4,4.998646259307861,16364.72802734375,2.295108544322521
30,331.203125,33.3,5.513683080673218,16741.5703125,2.2852096771346155
31,331.203125,44.4,5.205029010772705,16527.12109375,2.2850827974777665
32,331.203125,37.0,5.802117347717285,14055.1484375,2.2838551799087643
33,331.203125,61.6,5.413203716278076,14493.36376953125,2.2855570988310943
34,331.203125,35.6,5.2879345417022705,14988.20751953125,2.2889202255892322
35,331.203125,34.3,5.002237796783447,14929.7900390625,2.2939802092302037
36,331.203125,27.6,4.990829944610596,14295.95654296875,2.3003453392814865
37,331.203125,27.2,5.075674295425415,13619.89794921875,2.309225362426308
38,331.203125,29.6,5.011457920074463,13130.34130859375,2.3236905487411526
39,331.203125,26.4,4.9473958015441895,12980.38134765625,2.332709978651299
40,331.203125,27.6,4.954979181289673,12825.3359375,2.3331505568850037
41,331.94921875,30.6,5.003414630889893,11978.9560546875,2.3277259532429793
42,331.953125,29.0,5.01477313041687,11504.10693359375,2.321040427610312
43,331.95703125,27.2,4.993478536605835,12033.673828125,2.3207010214834156
44,331.9609375,27.4,5.039167165756226,12009.4619140625,2.3213787378167527
45,332.0859375,28.7,5.028687953948975,10320.439453125,2.3208681840816774
46,332.21875,28.8,4.995765447616577,11690.7353515625,2.323735846879663
47,332.21875,25.9,4.9892754554748535,10911.0322265625,2.3205942297015887
48,332.21875,29.3,5.085611581802368,11251.5029296875,2.316601489975498
49,332.21484375,32.0,5.152886390686035,10658.869140625,2.313673806852951
