epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
24,1011.14453125,25.1,42.83836579322815,"tf.Tensor(0.79427105, shape=(), dtype=float32)","tf.Tensor(0.62518024, shape=(), dtype=float32)","tf.Tensor(0.8655169, shape=(), dtype=float32)","tf.Tensor(0.67809975, shape=(), dtype=float32)"
25,1035.00390625,24.9,45.42903113365173,"tf.Tensor(0.78051454, shape=(), dtype=float32)","tf.Tensor(0.61566156, shape=(), dtype=float32)","tf.Tensor(0.8646165, shape=(), dtype=float32)","tf.Tensor(0.6786322, shape=(), dtype=float32)"
26,1060.6015625,30.9,43.502570390701294,"tf.Tensor(0.7667075, shape=(), dtype=float32)","tf.Tensor(0.6005572, shape=(), dtype=float32)","tf.Tensor(0.8647267, shape=(), dtype=float32)","tf.Tensor(0.67316425, shape=(), dtype=float32)"
27,1084.46484375,27.5,45.061558961868286,"tf.Tensor(0.7557539, shape=(), dtype=float32)","tf.Tensor(0.59464896, shape=(), dtype=float32)","tf.Tensor(0.8668353, shape=(), dtype=float32)","tf.Tensor(0.6774416, shape=(), dtype=float32)"
28,1108.33984375,31.4,46.38326954841614,"tf.Tensor(0.7450116, shape=(), dtype=float32)","tf.Tensor(0.58349764, shape=(), dtype=float32)","tf.Tensor(0.8704456, shape=(), dtype=float32)","tf.Tensor(0.67655045, shape=(), dtype=float32)"
29,1132.23046875,34.1,48.222288370132446,"tf.Tensor(0.7293351, shape=(), dtype=float32)","tf.Tensor(0.5709928, shape=(), dtype=float32)","tf.Tensor(0.8743968, shape=(), dtype=float32)","tf.Tensor(0.6790638, shape=(), dtype=float32)"
30,1156.03515625,37.4,45.399513483047485,"tf.Tensor(0.71721375, shape=(), dtype=float32)","tf.Tensor(0.5637217, shape=(), dtype=float32)","tf.Tensor(0.88011324, shape=(), dtype=float32)","tf.Tensor(0.6853687, shape=(), dtype=float32)"
31,1180.7578125,29.6,42.44540572166443,"tf.Tensor(0.70714915, shape=(), dtype=float32)","tf.Tensor(0.55424297, shape=(), dtype=float32)","tf.Tensor(0.88432235, shape=(), dtype=float32)","tf.Tensor(0.686338, shape=(), dtype=float32)"
32,1204.703125,24.6,42.32522368431091,"tf.Tensor(0.6911636, shape=(), dtype=float32)","tf.Tensor(0.5399378, shape=(), dtype=float32)","tf.Tensor(0.8907833, shape=(), dtype=float32)","tf.Tensor(0.6887353, shape=(), dtype=float32)"
33,1228.51171875,24.8,42.42002749443054,"tf.Tensor(0.67038125, shape=(), dtype=float32)","tf.Tensor(0.52441955, shape=(), dtype=float32)","tf.Tensor(0.89934176, shape=(), dtype=float32)","tf.Tensor(0.69537675, shape=(), dtype=float32)"
34,1252.390625,25.1,43.20183801651001,"tf.Tensor(0.6539803, shape=(), dtype=float32)","tf.Tensor(0.51114833, shape=(), dtype=float32)","tf.Tensor(0.9092799, shape=(), dtype=float32)","tf.Tensor(0.7022481, shape=(), dtype=float32)"
35,1276.265625,26.8,42.99917244911194,"tf.Tensor(0.6418015, shape=(), dtype=float32)","tf.Tensor(0.501305, shape=(), dtype=float32)","tf.Tensor(0.916463, shape=(), dtype=float32)","tf.Tensor(0.70667803, shape=(), dtype=float32)"
36,1299.2265625,25.3,42.92997932434082,"tf.Tensor(0.63127446, shape=(), dtype=float32)","tf.Tensor(0.4917569, shape=(), dtype=float32)","tf.Tensor(0.9251959, shape=(), dtype=float32)","tf.Tensor(0.71134347, shape=(), dtype=float32)"
37,1324.8515625,25.0,42.876556396484375,"tf.Tensor(0.62215245, shape=(), dtype=float32)","tf.Tensor(0.48442534, shape=(), dtype=float32)","tf.Tensor(0.9317815, shape=(), dtype=float32)","tf.Tensor(0.71559334, shape=(), dtype=float32)"
38,1348.66015625,24.8,44.29341125488281,"tf.Tensor(0.61452746, shape=(), dtype=float32)","tf.Tensor(0.47937712, shape=(), dtype=float32)","tf.Tensor(0.93997276, shape=(), dtype=float32)","tf.Tensor(0.7219504, shape=(), dtype=float32)"
39,1370.75,27.2,44.108434438705444,"tf.Tensor(0.60563064, shape=(), dtype=float32)","tf.Tensor(0.47153383, shape=(), dtype=float32)","tf.Tensor(0.9456412, shape=(), dtype=float32)","tf.Tensor(0.7247041, shape=(), dtype=float32)"
40,1397.19140625,28.5,44.772595167160034,"tf.Tensor(0.5995027, shape=(), dtype=float32)","tf.Tensor(0.4652534, shape=(), dtype=float32)","tf.Tensor(0.95303774, shape=(), dtype=float32)","tf.Tensor(0.72819626, shape=(), dtype=float32)"
41,1418.7734375,28.8,43.61653208732605,"tf.Tensor(0.5966486, shape=(), dtype=float32)","tf.Tensor(0.4630365, shape=(), dtype=float32)","tf.Tensor(0.95751494, shape=(), dtype=float32)","tf.Tensor(0.73125255, shape=(), dtype=float32)"
42,1442.8359375,28.4,42.54626202583313,"tf.Tensor(0.59007335, shape=(), dtype=float32)","tf.Tensor(0.45796487, shape=(), dtype=float32)","tf.Tensor(0.9649825, shape=(), dtype=float32)","tf.Tensor(0.73611045, shape=(), dtype=float32)"
43,1469.2421875,24.2,44.93364763259888,"tf.Tensor(0.5829434, shape=(), dtype=float32)","tf.Tensor(0.45320082, shape=(), dtype=float32)","tf.Tensor(0.97192556, shape=(), dtype=float32)","tf.Tensor(0.7412422, shape=(), dtype=float32)"
44,1463.453125,30.9,42.51557540893555,"tf.Tensor(0.57739073, shape=(), dtype=float32)","tf.Tensor(0.44814983, shape=(), dtype=float32)","tf.Tensor(0.97813606, shape=(), dtype=float32)","tf.Tensor(0.74483025, shape=(), dtype=float32)"
45,1487.32421875,26.8,42.04626750946045,"tf.Tensor(0.57332474, shape=(), dtype=float32)","tf.Tensor(0.444148, shape=(), dtype=float32)","tf.Tensor(0.981244, shape=(), dtype=float32)","tf.Tensor(0.7453622, shape=(), dtype=float32)"
46,1511.20703125,25.6,46.15819263458252,"tf.Tensor(0.56414324, shape=(), dtype=float32)","tf.Tensor(0.4378705, shape=(), dtype=float32)","tf.Tensor(0.99108064, shape=(), dtype=float32)","tf.Tensor(0.7528985, shape=(), dtype=float32)"
47,1494.92578125,31.8,43.79952120780945,"tf.Tensor(0.55827236, shape=(), dtype=float32)","tf.Tensor(0.43136114, shape=(), dtype=float32)","tf.Tensor(1.0032846, shape=(), dtype=float32)","tf.Tensor(0.7592879, shape=(), dtype=float32)"
48,1518.73828125,28.5,45.814902782440186,"tf.Tensor(0.55411035, shape=(), dtype=float32)","tf.Tensor(0.4291291, shape=(), dtype=float32)","tf.Tensor(1.0035645, shape=(), dtype=float32)","tf.Tensor(0.76023144, shape=(), dtype=float32)"
49,1542.90234375,31.4,42.49025559425354,"tf.Tensor(0.54829025, shape=(), dtype=float32)","tf.Tensor(0.42392218, shape=(), dtype=float32)","tf.Tensor(1.0104226, shape=(), dtype=float32)","tf.Tensor(0.7639045, shape=(), dtype=float32)"
