epoch,train_rmse,train_mae,valid_rmse,valid_mae
28,"tf.Tensor(0.7450116, shape=(), dtype=float32)","tf.Tensor(0.58349764, shape=(), dtype=float32)","tf.Tensor(0.8704456, shape=(), dtype=float32)","tf.Tensor(0.67655045, shape=(), dtype=float32)"
29,"tf.Tensor(0.7293351, shape=(), dtype=float32)","tf.Tensor(0.5709928, shape=(), dtype=float32)","tf.Tensor(0.8743968, shape=(), dtype=float32)","tf.Tensor(0.6790638, shape=(), dtype=float32)"
30,"tf.Tensor(0.71721375, shape=(), dtype=float32)","tf.Tensor(0.5637217, shape=(), dtype=float32)","tf.Tensor(0.88011324, shape=(), dtype=float32)","tf.Tensor(0.6853687, shape=(), dtype=float32)"
31,"tf.Tensor(0.70714915, shape=(), dtype=float32)","tf.Tensor(0.55424297, shape=(), dtype=float32)","tf.Tensor(0.88432235, shape=(), dtype=float32)","tf.Tensor(0.686338, shape=(), dtype=float32)"
32,"tf.Tensor(0.6911636, shape=(), dtype=float32)","tf.Tensor(0.5399378, shape=(), dtype=float32)","tf.Tensor(0.8907833, shape=(), dtype=float32)","tf.Tensor(0.6887353, shape=(), dtype=float32)"
33,"tf.Tensor(0.67038125, shape=(), dtype=float32)","tf.Tensor(0.52441955, shape=(), dtype=float32)","tf.Tensor(0.89934176, shape=(), dtype=float32)","tf.Tensor(0.69537675, shape=(), dtype=float32)"
34,"tf.Tensor(0.6539803, shape=(), dtype=float32)","tf.Tensor(0.51114833, shape=(), dtype=float32)","tf.Tensor(0.9092799, shape=(), dtype=float32)","tf.Tensor(0.7022481, shape=(), dtype=float32)"
35,"tf.Tensor(0.6418015, shape=(), dtype=float32)","tf.Tensor(0.501305, shape=(), dtype=float32)","tf.Tensor(0.916463, shape=(), dtype=float32)","tf.Tensor(0.70667803, shape=(), dtype=float32)"
36,"tf.Tensor(0.63127446, shape=(), dtype=float32)","tf.Tensor(0.4917569, shape=(), dtype=float32)","tf.Tensor(0.9251959, shape=(), dtype=float32)","tf.Tensor(0.71134347, shape=(), dtype=float32)"
37,"tf.Tensor(0.62215245, shape=(), dtype=float32)","tf.Tensor(0.48442534, shape=(), dtype=float32)","tf.Tensor(0.9317815, shape=(), dtype=float32)","tf.Tensor(0.71559334, shape=(), dtype=float32)"
38,"tf.Tensor(0.61452746, shape=(), dtype=float32)","tf.Tensor(0.47937712, shape=(), dtype=float32)","tf.Tensor(0.93997276, shape=(), dtype=float32)","tf.Tensor(0.7219504, shape=(), dtype=float32)"
39,"tf.Tensor(0.60563064, shape=(), dtype=float32)","tf.Tensor(0.47153383, shape=(), dtype=float32)","tf.Tensor(0.9456412, shape=(), dtype=float32)","tf.Tensor(0.7247041, shape=(), dtype=float32)"
40,"tf.Tensor(0.5995027, shape=(), dtype=float32)","tf.Tensor(0.4652534, shape=(), dtype=float32)","tf.Tensor(0.95303774, shape=(), dtype=float32)","tf.Tensor(0.72819626, shape=(), dtype=float32)"
41,"tf.Tensor(0.5966486, shape=(), dtype=float32)","tf.Tensor(0.4630365, shape=(), dtype=float32)","tf.Tensor(0.95751494, shape=(), dtype=float32)","tf.Tensor(0.73125255, shape=(), dtype=float32)"
42,"tf.Tensor(0.59007335, shape=(), dtype=float32)","tf.Tensor(0.45796487, shape=(), dtype=float32)","tf.Tensor(0.9649825, shape=(), dtype=float32)","tf.Tensor(0.73611045, shape=(), dtype=float32)"
43,"tf.Tensor(0.5829434, shape=(), dtype=float32)","tf.Tensor(0.45320082, shape=(), dtype=float32)","tf.Tensor(0.97192556, shape=(), dtype=float32)","tf.Tensor(0.7412422, shape=(), dtype=float32)"
44,"tf.Tensor(0.57739073, shape=(), dtype=float32)","tf.Tensor(0.44814983, shape=(), dtype=float32)","tf.Tensor(0.97813606, shape=(), dtype=float32)","tf.Tensor(0.74483025, shape=(), dtype=float32)"
45,"tf.Tensor(0.57332474, shape=(), dtype=float32)","tf.Tensor(0.444148, shape=(), dtype=float32)","tf.Tensor(0.981244, shape=(), dtype=float32)","tf.Tensor(0.7453622, shape=(), dtype=float32)"
46,"tf.Tensor(0.56414324, shape=(), dtype=float32)","tf.Tensor(0.4378705, shape=(), dtype=float32)","tf.Tensor(0.99108064, shape=(), dtype=float32)","tf.Tensor(0.7528985, shape=(), dtype=float32)"
47,"tf.Tensor(0.55827236, shape=(), dtype=float32)","tf.Tensor(0.43136114, shape=(), dtype=float32)","tf.Tensor(1.0032846, shape=(), dtype=float32)","tf.Tensor(0.7592879, shape=(), dtype=float32)"
48,"tf.Tensor(0.55411035, shape=(), dtype=float32)","tf.Tensor(0.4291291, shape=(), dtype=float32)","tf.Tensor(1.0035645, shape=(), dtype=float32)","tf.Tensor(0.76023144, shape=(), dtype=float32)"
49,"tf.Tensor(0.54829025, shape=(), dtype=float32)","tf.Tensor(0.42392218, shape=(), dtype=float32)","tf.Tensor(1.0104226, shape=(), dtype=float32)","tf.Tensor(0.7639045, shape=(), dtype=float32)"
