epoch,epoch_emissions_kg,cumulative_emissions_kg,rmse,mae
0,0.0002861088178510248,0.0002861088178510248,1.7913731336593628,1.47859525680542
1,0.0002865961411270006,0.0005727049589780254,1.0708730220794678,0.8381433486938477
2,0.0002834800361135156,0.000856184995091541,0.9608303904533386,0.7558963298797607
3,0.0002857380092564645,0.0011419230043480054,0.9289690852165222,0.731702983379364
4,0.0002823352428469178,0.0014242582471949232,0.9166266322135925,0.7220704555511475
5,0.00028801368221392456,0.0017122719294088479,0.911429762840271,0.7178411483764648
6,0.0002802130599012316,0.0019924849893100793,0.9066627025604248,0.7140716314315796
7,0.00027577887573770735,0.0022682638650477864,0.9037083983421326,0.7138502597808838
8,0.0002778094154153027,0.002546073280463089,0.8992176055908203,0.7091848850250244
9,0.000275754096528951,0.0028218273769920403,0.8986812829971313,0.7095970511436462
10,0.00027686400211063104,0.0030986913791026713,0.8957712054252625,0.7079079747200012
11,0.0002806162274061141,0.0033793076065087853,0.8949784636497498,0.705596923828125
12,0.0002808221911742083,0.0036601297976829937,0.891573965549469,0.7037140130996704
13,0.00027771817609503454,0.003937847973778028,0.8893874287605286,0.7006903886795044
14,0.0002843658219042523,0.00422221379568228,0.8870729207992554,0.6992027163505554
15,0.00027672016434579033,0.004498933960028071,0.8851370811462402,0.6972243785858154
16,0.0002821263947644546,0.004781060354792525,0.8825401067733765,0.694670557975769
17,0.00027814786396268077,0.005059208218755206,0.8826014995574951,0.6945851445198059
18,0.00027713718275318433,0.00533634540150839,0.878847062587738,0.6907625198364258
19,0.00027566207237000233,0.005612007473878393,0.8754991888999939,0.6881510019302368
20,0.0002765887855087429,0.005888596259387135,0.8749108910560608,0.686782717704773
21,0.00028145061297588466,0.00617004687236302,0.8723329901695251,0.68557208776474
22,0.0002807397876508803,0.0064507866600139,0.8685879111289978,0.683607280254364
23,0.0002781311350146431,0.006728917795028543,0.8681544661521912,0.6815901398658752
24,0.0002750806331485444,0.0070039984281770875,0.8670105338096619,0.6818299293518066
25,0.0002816131009315485,0.007285611529108636,0.8625701665878296,0.6773946285247803
26,0.00027497106277159797,0.007560582591880234,0.8614699840545654,0.6764121055603027
27,0.0002897872159423065,0.007850369807822541,0.8613623380661011,0.6774911880493164
28,0.0003004445388597509,0.008150814346682292,0.859439492225647,0.6749719381332397
29,0.0002811682780524916,0.008431982624734782,0.8568117022514343,0.6717914342880249
30,0.00028013394913290385,0.008712116573867687,0.8553310632705688,0.670453667640686
31,0.00028646369766458917,0.008998580271532277,0.8555910587310791,0.6722875833511353
32,0.0002764662595621503,0.009275046531094427,0.8533307909965515,0.6698735356330872
33,0.00027645750546651784,0.009551504036560946,0.8512495756149292,0.6681686043739319
34,0.00028053453636642673,0.009832038572927372,0.8512557148933411,0.669387936592102
35,0.0002775710449333784,0.01010960961786075,0.8514246940612793,0.6677870154380798
36,0.0002821500431365784,0.010391759660997328,0.850727379322052,0.6674848794937134
37,0.00027659578421688233,0.01066835544521421,0.850676953792572,0.6677311062812805
38,0.0002772586151854701,0.010945614060399681,0.8531689047813416,0.6695260405540466
39,0.00027651398747788254,0.011222128047877564,0.8505790829658508,0.6671531200408936
40,0.0002754283719959877,0.011497556419873552,0.852676510810852,0.6682184338569641
41,0.00027805039784937357,0.011775606817722925,0.8508315682411194,0.6675033569335938
42,0.0002804783168538946,0.01205608513457682,0.8528385758399963,0.6679410934448242
43,0.00027778593295892546,0.012333871067535746,0.8533973693847656,0.6686091423034668
44,0.0002776973829494745,0.01261156845048522,0.8544328808784485,0.6700933575630188
45,0.0002791852000384076,0.012890753650523628,0.8555578589439392,0.6695320010185242
46,0.0002770058769629331,0.01316775952748656,0.8572636246681213,0.6718780398368835
47,0.0002787730161154577,0.013446532543602018,0.8586965203285217,0.6728338599205017
48,0.0002793313546730958,0.013725863898275114,0.8592590093612671,0.6729321479797363
49,0.00028070714717949157,0.014006571045454606,0.8614544868469238,0.6741081476211548
