epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse
0,8.98452826683789e-07,8.98452826683789e-07,203119.9765625,2.210340716828719
1,7.436748563435344e-07,1.6421276830273232e-06,74950.89453125,1.2505998293423781
2,7.1547908799927e-07,2.3576067710265932e-06,20602.74755859375,0.6639476746221346
3,7.192999121399325e-07,3.0769066831665258e-06,28353.28857421875,0.5841507456782276
4,8.344140287685726e-07,3.9113207119350985e-06,30502.296875,0.5965314544206701
5,7.241813713526894e-07,4.635502083287788e-06,16286.1376953125,0.7389699785139345
6,7.149093719917396e-07,5.350411455279527e-06,10834.872314453125,0.8713510872127614
7,7.369999296730921e-07,6.087411384952619e-06,12457.871337890625,0.8604387851111116
8,8.109056652609009e-07,6.89831705021352e-06,10770.160400390625,0.7376588862449991
9,7.482892798444641e-07,7.646606330057984e-06,7655.718994140625,0.6068684656147941
10,7.32818255311642e-07,8.379424585369627e-06,7321.964111328125,0.5379247573200023
11,7.991635100004954e-07,9.178588095370122e-06,6375.2581787109375,0.5142582814615513
12,8.052589740268669e-07,9.983847069396989e-06,5799.74169921875,0.5163408461916081
13,7.887600707318866e-07,1.0772607140128875e-05,5175.2752685546875,0.525778384880185
14,7.940636744067046e-07,1.156667081453558e-05,5353.9951171875,0.5187789917516654
15,7.998776535797604e-07,1.236654846811534e-05,4903.6861572265625,0.49620141764181347
16,7.767283282866791e-07,1.314327679640202e-05,4665.251220703125,0.4752039125358782
17,7.782552798754855e-07,1.3921532076277505e-05,4672.0390625,0.4632787605068139
18,7.909701286469086e-07,1.4712502204924415e-05,4547.986572265625,0.4588957301319211
19,7.803626099543157e-07,1.549286481487873e-05,4499.084228515625,0.4588652850306591
20,7.827410177369119e-07,1.627560583261564e-05,4357.458740234375,0.4588117801092162
21,9.149606879066041e-07,1.7190566520522246e-05,4401.6199951171875,0.4559087149634841
22,8.626433596532039e-07,1.805320988017545e-05,4340.2744140625,0.45155162140990557
23,7.84283461621801e-07,1.883749334179725e-05,4298.5789794921875,0.44823454973795823
24,7.710305827192339e-07,1.9608523924516485e-05,4213.820617675781,0.44673850676288507
25,7.648911049373888e-07,2.0373415029453875e-05,4232.8642578125,0.4464293831065066
26,8.566927208745766e-07,2.123010775032845e-05,4058.3192749023438,0.4463298502583651
27,8.065075032841564e-07,2.2036615253612607e-05,4117.706604003906,0.44577600196996825
28,7.648843987456101e-07,2.280149965235822e-05,4041.4310913085938,0.4446625586683493
29,7.816768375008194e-07,2.3583176489859037e-05,3908.94384765625,0.4437616997630231
30,8.711006584048029e-07,2.4454277148263842e-05,4040.9761352539062,0.4431685011244627
31,7.591822484696177e-07,2.521345939673346e-05,3920.3748779296875,0.4425236114116778
32,7.186724179831185e-07,2.593213181471658e-05,3871.6060791015625,0.44203878130127255
33,7.455215714611459e-07,2.6677653386177725e-05,3811.4183349609375,0.44106226344493776
34,6.994678414597618e-07,2.7377121227637485e-05,3836.3350830078125,0.4403695021986864
35,7.035540152950901e-07,2.8080675242932575e-05,3794.0296630859375,0.44058288295309134
36,7.165836948879564e-07,2.8797258937820532e-05,3672.38037109375,0.4404743856704578
37,7.095998790331025e-07,2.9506858816853633e-05,3701.3381958007812,0.4393895497935541
38,7.078593332101338e-07,3.021471815006377e-05,3634.0956420898438,0.4385043399865988
39,7.085452623909427e-07,3.092326341245471e-05,3616.5469360351562,0.4380462804791072
40,7.091628568824551e-07,3.163242626933717e-05,3602.131591796875,0.438008676680168
41,7.50464986943045e-07,3.238289125628021e-05,3487.692138671875,0.4378023282611903
42,7.119536713621775e-07,3.309484492764239e-05,3453.9641723632812,0.43729214124328575
43,7.106439279225004e-07,3.3805488855564894e-05,3498.835693359375,0.43703574767478326
44,7.385206309131504e-07,3.454400948647804e-05,3419.7110595703125,0.4375330858165772
45,7.018477239669852e-07,3.524585721044503e-05,3400.1904296875,0.4371061812361921
46,7.078522251946248e-07,3.5953709435639655e-05,3362.11962890625,0.4358120049826599
47,7.165937797118526e-07,3.667030321535151e-05,3357.2774047851562,0.43483426934500957
48,7.010654991012728e-07,3.737136871445278e-05,3229.58544921875,0.43452423580106553
49,6.996972553714457e-07,3.807106596982422e-05,3244.37744140625,0.4348879567365642
