epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
23,3.057386424126889e-06,6.757815126783473e-05,"tf.Tensor(1.1668994, shape=(), dtype=float32)","tf.Tensor(0.81764877, shape=(), dtype=float32)","tf.Tensor(1.3904327, shape=(), dtype=float32)","tf.Tensor(0.9630297, shape=(), dtype=float32)"
24,2.755706959557655e-06,7.033385822739238e-05,"tf.Tensor(1.1457261, shape=(), dtype=float32)","tf.Tensor(0.80286425, shape=(), dtype=float32)","tf.Tensor(1.38562, shape=(), dtype=float32)","tf.Tensor(0.9580264, shape=(), dtype=float32)"
25,2.729796275873582e-06,7.306365450326597e-05,"tf.Tensor(1.1242481, shape=(), dtype=float32)","tf.Tensor(0.78805494, shape=(), dtype=float32)","tf.Tensor(1.3819044, shape=(), dtype=float32)","tf.Tensor(0.95562947, shape=(), dtype=float32)"
26,2.727737906724914e-06,7.579139240999089e-05,"tf.Tensor(1.1019354, shape=(), dtype=float32)","tf.Tensor(0.7721603, shape=(), dtype=float32)","tf.Tensor(1.3789982, shape=(), dtype=float32)","tf.Tensor(0.95231783, shape=(), dtype=float32)"
27,2.7036021586824958e-06,7.849499456867339e-05,"tf.Tensor(1.0790895, shape=(), dtype=float32)","tf.Tensor(0.7559643, shape=(), dtype=float32)","tf.Tensor(1.3745295, shape=(), dtype=float32)","tf.Tensor(0.94920576, shape=(), dtype=float32)"
28,2.7962950163590343e-06,8.129128958503242e-05,"tf.Tensor(1.0554813, shape=(), dtype=float32)","tf.Tensor(0.73904186, shape=(), dtype=float32)","tf.Tensor(1.3719251, shape=(), dtype=float32)","tf.Tensor(0.948473, shape=(), dtype=float32)"
29,2.743421707189737e-06,8.403471129222216e-05,"tf.Tensor(1.0311645, shape=(), dtype=float32)","tf.Tensor(0.722081, shape=(), dtype=float32)","tf.Tensor(1.3669794, shape=(), dtype=float32)","tf.Tensor(0.94495314, shape=(), dtype=float32)"
30,2.7727104142660726e-06,8.680742170648824e-05,"tf.Tensor(1.0064479, shape=(), dtype=float32)","tf.Tensor(0.7047909, shape=(), dtype=float32)","tf.Tensor(1.364911, shape=(), dtype=float32)","tf.Tensor(0.94466966, shape=(), dtype=float32)"
31,2.7371856762990403e-06,8.954460738278728e-05,"tf.Tensor(0.9816854, shape=(), dtype=float32)","tf.Tensor(0.68729204, shape=(), dtype=float32)","tf.Tensor(1.3617518, shape=(), dtype=float32)","tf.Tensor(0.9428065, shape=(), dtype=float32)"
32,2.777839124917896e-06,9.232244650770517e-05,"tf.Tensor(0.9566526, shape=(), dtype=float32)","tf.Tensor(0.66968125, shape=(), dtype=float32)","tf.Tensor(1.3596929, shape=(), dtype=float32)","tf.Tensor(0.941711, shape=(), dtype=float32)"
