epoch,train_rmse,valid_rmse,recall@5,recall@10,recall@20,recall@50,ndcg@5,ndcg@10,ndcg@20,ndcg@50
0,"tf.Tensor(0.9072319, shape=(), dtype=float32)","tf.Tensor(0.9137993, shape=(), dtype=float32)",0.027917305796661396,0.035624014752214016,0.0690110118931563,0.13043301014243863,0.0443451307980041,0.03846649650388415,0.047758846017589084,0.06701119095075216
1,"tf.Tensor(0.89679813, shape=(), dtype=float32)","tf.Tensor(0.9057098, shape=(), dtype=float32)",0.01669056152927121,0.032441646366377544,0.08914422296142725,0.11888579701040168,0.025404436484307208,0.029216557669862715,0.04811316689864188,0.05921683820058918
2,"tf.Tensor(0.8950471, shape=(), dtype=float32)","tf.Tensor(0.9040272, shape=(), dtype=float32)",0.028647041664417148,0.04408423227587606,0.0519288214015523,0.1073426698054869,0.03729799407859156,0.04431012039366052,0.043702534447759595,0.05954287867868602
3,"tf.Tensor(0.894522, shape=(), dtype=float32)","tf.Tensor(0.90351427, shape=(), dtype=float32)",0.013270813988553416,0.029793642799711743,0.0548803669814805,0.11379660274960379,0.027895664218336596,0.029610531288409434,0.03443300114731286,0.054102249195801096
4,"tf.Tensor(0.89429295, shape=(), dtype=float32)","tf.Tensor(0.9035542, shape=(), dtype=float32)",0.01032016512676676,0.030275442692338447,0.04965844044220926,0.11314328258446406,0.025043952767168604,0.029329152342899335,0.03512084779089692,0.052545503701008196
5,"tf.Tensor(0.8940909, shape=(), dtype=float32)","tf.Tensor(0.9033638, shape=(), dtype=float32)",0.022409609017298965,0.04187509723278718,0.05656044564209392,0.09165435811805296,0.02970370255098582,0.03443104849726211,0.0382166142748054,0.04948887937657559
6,"tf.Tensor(0.8940511, shape=(), dtype=float32)","tf.Tensor(0.903584, shape=(), dtype=float32)",0.02121490900447844,0.03199156648216685,0.04473131714148116,0.08284294491805738,0.0393306212289487,0.04002544339619298,0.04108748482686753,0.05265526221375447
7,"tf.Tensor(0.89420176, shape=(), dtype=float32)","tf.Tensor(0.9036748, shape=(), dtype=float32)",0.016581277924195174,0.02559456797313887,0.04011645069277755,0.07538060667949421,0.02999306464340062,0.02940841062442895,0.033590813373556315,0.04633764262903272
8,"tf.Tensor(0.8941283, shape=(), dtype=float32)","tf.Tensor(0.9037263, shape=(), dtype=float32)",0.014842952754203312,0.021813988591218535,0.04127534458563735,0.10179858331607607,0.02860758731412344,0.025283179756800597,0.03196324750485316,0.05070434082607576
9,"tf.Tensor(0.8941564, shape=(), dtype=float32)","tf.Tensor(0.9035811, shape=(), dtype=float32)",0.014576158863175242,0.02192625557497408,0.06151527175973494,0.09397365632197216,0.012541464675247525,0.016122745885099245,0.02963245038938927,0.0418616047131838
10,"tf.Tensor(0.89411235, shape=(), dtype=float32)","tf.Tensor(0.9034007, shape=(), dtype=float32)",0.011841077010514352,0.05199808184143223,0.07176147665917487,0.11360318106162096,0.017238867387377222,0.03403404585122611,0.04154118615948425,0.0519414188574458
11,"tf.Tensor(0.8751805, shape=(), dtype=float32)","tf.Tensor(0.89019924, shape=(), dtype=float32)",0.009928260920065624,0.023869002795958712,0.04606422233245641,0.08940016480964605,0.016391038068724564,0.024976347224296154,0.03312079443850398,0.044762436489098494
12,"tf.Tensor(0.8665922, shape=(), dtype=float32)","tf.Tensor(0.8851193, shape=(), dtype=float32)",0.027381587452794884,0.048865416550734814,0.07982602583443327,0.12787983442694154,0.03798577350258216,0.046090479275302874,0.05511959923692776,0.06989345434763865
13,"tf.Tensor(0.86361206, shape=(), dtype=float32)","tf.Tensor(0.88357157, shape=(), dtype=float32)",0.02291521343491452,0.04842321130649598,0.07081192295924421,0.11242382676279887,0.03996669134826065,0.04567496940098772,0.05112315382549132,0.06351282269635361
14,"tf.Tensor(0.8630548, shape=(), dtype=float32)","tf.Tensor(0.8841247, shape=(), dtype=float32)",0.02841422911450168,0.0440328664760555,0.061380094496537196,0.08955973042159236,0.05666654147335002,0.053064595308288866,0.053143057973569253,0.0594562688243192
15,"tf.Tensor(0.86074364, shape=(), dtype=float32)","tf.Tensor(0.883401, shape=(), dtype=float32)",0.013433251739098817,0.028931054679577475,0.05709002309367955,0.08767688743651346,0.02518842532559957,0.02965493923496614,0.040045317106995666,0.05024182812883595
16,"tf.Tensor(0.84896, shape=(), dtype=float32)","tf.Tensor(0.8775341, shape=(), dtype=float32)",0.03437693968106511,0.045228098994917636,0.05766964236676792,0.11814027528506847,0.046086556496735556,0.048696791584791045,0.050770833773396126,0.0682997733157126
17,"tf.Tensor(0.8387248, shape=(), dtype=float32)","tf.Tensor(0.8750432, shape=(), dtype=float32)",0.05242268258330624,0.08872183589276884,0.10385150885134926,0.14236887906496282,0.0672750277425051,0.07233672599729443,0.07443635507698876,0.08730735014566883
18,"tf.Tensor(0.83137167, shape=(), dtype=float32)","tf.Tensor(0.87350184, shape=(), dtype=float32)",0.0337106357694593,0.07010862718293058,0.11659138770324662,0.1770486235132607,0.04261634613265873,0.057210742919466394,0.07329913154463852,0.09052256275050112
19,"tf.Tensor(0.81109715, shape=(), dtype=float32)","tf.Tensor(0.864732, shape=(), dtype=float32)",0.039232043375598734,0.0663545480500883,0.09209672031281821,0.11500454919890797,0.059028856497811075,0.0674084335270171,0.07265426121429665,0.08050224122601081
20,"tf.Tensor(0.80053496, shape=(), dtype=float32)","tf.Tensor(0.8626516, shape=(), dtype=float32)",0.028278674708561533,0.06090342419908958,0.09219217743822009,0.12932117288168263,0.058844219017964834,0.06687763003377575,0.07429115173482832,0.08471387712077261
21,"tf.Tensor(0.78871036, shape=(), dtype=float32)","tf.Tensor(0.8609342, shape=(), dtype=float32)",0.04821639202444156,0.07618296249101203,0.09751294966929641,0.16483693253197895,0.05156453734990424,0.05731406392164872,0.06387095979459953,0.08384830206837614
22,"tf.Tensor(0.77857643, shape=(), dtype=float32)","tf.Tensor(0.862407, shape=(), dtype=float32)",0.028055358430557512,0.04887122765203897,0.06512962789398954,0.14091200356224062,0.05076760005053069,0.05509088280585451,0.0599061979906427,0.08279473358312853
23,"tf.Tensor(0.7736659, shape=(), dtype=float32)","tf.Tensor(0.8657109, shape=(), dtype=float32)",0.0464205052055458,0.07897270846698647,0.09994237750141767,0.1323895760591094,0.08271190830154775,0.0817257216834375,0.08343784587945773,0.09259282477706
