epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,RMSE,Recall@5,NDCG@5,Recall@10,NDCG@10,Recall@20,NDCG@20,Recall@50,NDCG@50
0,0.00017992018203972647,0.00017992018203972647,0.528323689662399,1.9025257178727004,0.02592232744729942,0.13510255431654758,0.044834434673993305,0.1815604120986376,0.08198038577936247,0.225427512052848,0.1588817751817685,0.26700497994841216
1,0.0001781915376161013,0.0003581117196558278,0.4194334209118527,1.945088777431848,0.025958177043211718,0.13520299594183657,0.044911531618926026,0.1803528751128972,0.08126388802842724,0.2240769704420482,0.15763116180701436,0.2662565839051095
2,0.00017752827086980482,0.0005356399905256326,0.41083218896603524,1.919515731687945,0.02617168676784115,0.13640841966293885,0.04538459619682962,0.1829396239056044,0.08280876628315624,0.22705852397892218,0.16118890927632853,0.26828514411907456
3,0.00017855823652041897,0.0007141982270460515,0.3976593349310917,1.9321259350721898,0.026655620918144513,0.13827808785100515,0.046947222152773194,0.18678269774101908,0.08463748329971658,0.23109907931842644,0.16487272496107305,0.2716342815814904
4,0.00017899261931696324,0.0008931908463630148,0.3809119271435284,1.9630593176453714,0.027281862220525657,0.14263688123691173,0.048806444522770574,0.19260771303816648,0.08792851888733261,0.2368672131963469,0.1712413040526432,0.27781404635805107
5,0.00017881019170552142,0.0010720010380685361,0.36543421382156316,2.031385488596877,0.02917850616402059,0.1494169833023072,0.05076111932345507,0.19847856215105744,0.09237562466648,0.24354777165613642,0.1770710466831485,0.28374400549889817
6,0.00017831010243115882,0.0012503111404996948,0.3528267525155624,2.111935501381795,0.02885888545505455,0.1528228707795868,0.053353967476653996,0.2049819756248253,0.09497461103852274,0.24851637334113977,0.18457558304078464,0.28891010199915096
7,0.00017858596780796678,0.0014288971083076616,0.3421969103476076,2.1773807104526077,0.029785759504419182,0.16003040797789064,0.05632202097715445,0.21257179036582383,0.09829457616308612,0.25629078798749844,0.1911633590940125,0.2966119272524899
8,0.00018395080701161178,0.0016128479153192734,0.33167719266408513,2.2410136937185183,0.03192972377239914,0.16504146785964358,0.05836105165740482,0.21762847130311025,0.10226104156104085,0.2607937190585378,0.1978201144493994,0.30171849535783324
9,0.00018111990098429798,0.0017939678163035714,0.3231521730711037,2.30585762104037,0.032810279263581786,0.16684270113417754,0.05997632094755325,0.22077029368876167,0.10438875667949639,0.2648311755829863,0.20154875767946973,0.30568228500885175
10,0.00017847955360926235,0.001972447369912834,0.3166253236541405,2.353776171738705,0.03333288964108399,0.16789645021949792,0.06031544912913414,0.2213069737366194,0.1067082942529311,0.26758023711848833,0.20452728887880672,0.30788114266071087
11,0.00018892645733066744,0.0021613738272435014,0.31180535919562097,2.391695503537638,0.03425083430021853,0.16929997729079124,0.06131174562394667,0.22132853260625263,0.10760171878257409,0.2686786326979362,0.20726182860587591,0.3096073471273894
12,0.00017907271700577228,0.0023404465442492736,0.30612704357022186,2.4284588677747365,0.03449072184834325,0.17056562519878907,0.06141073527454246,0.223101001351763,0.10908552693273359,0.27243481574731304,0.21045049999813825,0.31175281454168696
13,0.00017885227936672386,0.0025192988236159976,0.30154873220044115,2.4679853810841514,0.03503172083654132,0.17126847264448605,0.06334693646163786,0.2264970705401116,0.11081932657966777,0.27425627655566787,0.21346925249754897,0.313888319667086
14,0.00018021672140772457,0.0026995155450237223,0.2964562235883698,2.4946420593243657,0.035212731044440095,0.17281409945227033,0.06405184577782044,0.22904518294073856,0.11308779351915933,0.2771811059142143,0.21658379679642847,0.31556321486999495
15,0.00017883485144313077,0.0028783503964668533,0.2916664104994894,2.5288029935310226,0.03575643157560498,0.17293949665618216,0.06458001626197332,0.22948687732061668,0.11325429030955154,0.27839080847093167,0.21968567130077013,0.31753723606119516
16,0.00018073245051432676,0.00305908284698118,0.2883148441584374,2.5575002522797488,0.036107691976564486,0.17341917155499068,0.06547277091476167,0.23069403041185862,0.11551499535830981,0.28039691228005187,0.22164698553970946,0.31857826326566874
17,0.00017885363783224433,0.003237936484813424,0.28509135869903857,2.585901463063066,0.03584057996082254,0.17253359458421302,0.06555501128104906,0.23105515324289447,0.1166973844867763,0.2812170565962395,0.22366795607632603,0.31996650047316016
18,0.00017847925800553414,0.003416415742818958,0.2813517035279605,2.6236518602863494,0.036258292863598676,0.17489316723917295,0.06592554030810875,0.23144985828013356,0.11752053019072092,0.28332164910698854,0.22704168409954617,0.3221658072267566
19,0.00017872713907188554,0.0035951428818908437,0.2779363828177317,2.6470465146476303,0.03649876477299919,0.17539879725306398,0.06653567486319918,0.2316719142004728,0.11873460562684506,0.2847176238689194,0.22907859787209936,0.3229656839728346
20,0.0001787187817216589,0.0037738616636125025,0.2749546036545599,2.6703453901315855,0.03682823543530796,0.17559539442452066,0.06738799810908423,0.23307894705639318,0.11940199431204203,0.28555219913720564,0.2313303490863903,0.32409782509445617
21,0.00018075712142725102,0.003954618785039754,0.27223358990907054,2.7045234562700977,0.03687031241849962,0.17589277669518302,0.06852757777263656,0.23497194784091713,0.12067710997407331,0.28662541178037965,0.23194355571689226,0.32473756354325967
22,0.00017919255136305615,0.0041338113364028095,0.2709295980268395,2.7179718843108582,0.03725179455299785,0.1760899708234917,0.06855493492109713,0.2350497929276441,0.12113683522434536,0.28658079840895545,0.23336424378501047,0.3251681599885759
23,0.00017862587445681004,0.004312437210859619,0.2678627383279923,2.7523483586424686,0.03766154056747381,0.17752406383763203,0.06848246339812213,0.23555342364241785,0.122061392950322,0.28749631519838775,0.23525909907246867,0.32609229026906195
24,0.0001789535149640036,0.004491390725823623,0.2660013827229527,2.7675426638673066,0.037929556437855054,0.17716643674884572,0.06929852200066276,0.23660487393245302,0.12219310425516329,0.2878429348962498,0.23717431193728566,0.3273144711892247
25,0.00017944233882627827,0.004670833064649901,0.26302422376249013,2.7952044625287487,0.03824425604062117,0.1791912854986332,0.0697526131270329,0.23782443712469192,0.12230705527646554,0.28798485731418655,0.2380235211944921,0.3281352312085671
