epoch,epoch_emissions_kg,cumulative_emissions_kg,rmse,mae
0,2.045971728061891e-06,2.045971728061891e-06,0.9504244327545166,0.9284546971321106
1,3.1432936261901136e-06,5.189265354252005e-06,0.9497729539871216,0.9278017282485962
2,3.0247112514950898e-06,8.213976605747095e-06,0.944420337677002,0.9224457144737244
3,3.037351852129397e-06,1.1251328457876492e-05,0.9182580709457397,0.8960099220275879
4,3.1499606126380426e-06,1.4401289070514534e-05,0.8486487865447998,0.8234462141990662
5,3.1975497728246823e-06,1.7598838843339215e-05,0.744432270526886,0.7095064520835876
6,3.6951718392722087e-06,2.1294010682611425e-05,0.6472011208534241,0.5970250964164734
7,3.1976154740318896e-06,2.4491626156643313e-05,0.5771792531013489,0.5112480521202087
8,3.36970811848593e-06,2.7861334275129244e-05,0.5316145420074463,0.4521942734718323
9,3.603513668605986e-06,3.146484794373523e-05,0.5023680329322815,0.4117276668548584
10,3.785904346146766e-06,3.5250752289881996e-05,0.4831540584564209,0.38367873430252075
11,3.4461314471874185e-06,3.8696883737069415e-05,0.4699670374393463,0.36352404952049255
12,3.504433298832905e-06,4.220131703590232e-05,0.4606132209300995,0.34863731265068054
13,4.187420609031421e-06,4.638873764493374e-05,0.4539492130279541,0.33771368861198425
14,3.350981514130435e-06,4.9739719159064174e-05,0.44908082485198975,0.32941603660583496
15,3.4419558478666603e-06,5.3181675006930835e-05,0.44531089067459106,0.3230249583721161
16,3.2272496288733492e-06,5.640892463580418e-05,0.4423676133155823,0.3178448975086212
17,3.3329666780186793e-06,5.974189131382286e-05,0.4401250183582306,0.3137713372707367
18,3.2327500094950044e-06,6.297464132331787e-05,0.4382901191711426,0.3103903830051422
19,3.4047981004333225e-06,6.63794394237512e-05,0.4370035231113434,0.3077930510044098
20,3.3445496528423883e-06,6.972398907659359e-05,0.43581652641296387,0.3054616153240204
21,3.2450440213694933e-06,7.296903309796308e-05,0.435106486082077,0.3037562072277069
22,3.2420712863303497e-06,7.621110438429342e-05,0.4345119893550873,0.3023149073123932
23,3.4991021821518334e-06,7.971020656644526e-05,0.43397223949432373,0.30090031027793884
24,3.239631863441038e-06,8.294983842988629e-05,0.4335048198699951,0.2997082769870758
25,4.5926005279122754e-06,8.754243895779857e-05,0.4333261251449585,0.2989540696144104
26,4.221008332595966e-06,9.176344729039454e-05,0.4331015348434448,0.2981027662754059
27,3.829455135521305e-06,9.559290242591584e-05,0.43300727009773254,0.2974286675453186
28,3.95456638538665e-06,9.95474688113025e-05,0.4328911602497101,0.29682493209838867
29,3.796942650754537e-06,0.00010334441146205703,0.43293383717536926,0.2964836657047272
30,4.08250348136344e-06,0.00010742691494342048,0.4330580234527588,0.29604336619377136
31,4.603941509876143e-06,0.00011203085645329663,0.43306028842926025,0.2955703139305115
32,3.990657122958661e-06,0.00011602151357625529,0.43312156200408936,0.2953450381755829
33,3.935681472720287e-06,0.00011995719504897558,0.43322184681892395,0.2950715720653534
34,4.049585031894596e-06,0.00012400678008087017,0.43331995606422424,0.2947438657283783
35,3.855612255922003e-06,0.00012786239233679217,0.4334445595741272,0.2945016324520111
36,5.3690923516363876e-06,0.00013323148468842857,0.43353569507598877,0.2943463921546936
37,4.1373475840867285e-06,0.0001373688322725153,0.4335956871509552,0.2940499186515808
38,3.89619855646103e-06,0.00014126503082897632,0.4338512718677521,0.29408103227615356
39,3.894348576965115e-06,0.00014515937940594144,0.4338952302932739,0.2938636243343353
40,3.655229777248986e-06,0.00014881460918319043,0.4340508282184601,0.29365408420562744
41,3.5763480774319777e-06,0.0001523909572606224,0.43419280648231506,0.293599396944046
42,3.832146792385437e-06,0.00015622310405300784,0.43431147933006287,0.2934208810329437
43,3.769177380762057e-06,0.0001599922814337699,0.43437114357948303,0.29329830408096313
44,3.646626816527589e-06,0.00016363890825029748,0.4345000982284546,0.2932599186897278
45,3.2507340235654114e-06,0.0001668896422738629,0.43461453914642334,0.29319116473197937
46,3.2059903310262695e-06,0.00017009563260488917,0.4347493350505829,0.29313987493515015
47,3.0694501382537594e-06,0.00017316508274314293,0.4348282516002655,0.29304763674736023
48,3.153879198006394e-06,0.00017631896194114934,0.4349833130836487,0.2931131422519684
49,3.005607752382116e-06,0.00017932456969353146,0.43501725792884827,0.29291585087776184
