epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse,mae
0,753.453125,26.1,289.9562728404999,0.5283158888853607,2.1099535312446984,1.7908680133086317
1,798.58203125,41.5,291.08424258232117,0.4202813516852175,2.056487030330684,1.5065448221984816
2,810.875,42.5,292.8010857105255,0.4135073198910544,1.985601108804388,1.6479117742798768
3,821.6953125,43.4,303.1496298313141,0.40461419603205584,1.8394794898075706,1.6428798652213552
4,832.4921875,45.0,307.73171734809875,0.38814353261018475,1.9050836318137663,1.5591826762191023
5,782.8828125,46.3,298.4663257598877,0.3666623984020596,1.786587231154355,1.5336226404909
6,621.16796875,43.4,306.0793569087982,0.3512091662706017,1.628619576317155,1.3229673708949936
7,744.796875,45.6,289.97216033935547,0.34053598080012365,1.6821439789895145,1.4069242885066298
8,732.328125,41.8,290.6698546409607,0.3311986344792236,1.7069975412083762,1.3019855286108284
9,726.62890625,42.8,307.7651619911194,0.32464161959589294,1.7039941738167408,1.28549013973807
10,733.05859375,46.6,299.12476229667664,0.31837906583109365,1.5747525014060393,1.2382089583301956
11,726.90625,43.6,289.46290254592896,0.312131682291129,1.500221670631664,1.2445531881347913
12,710.74609375,42.0,305.02400159835815,0.30747612613638753,1.5034228377772816,1.3521670250754272
13,561.12890625,45.6,296.57946586608887,0.3027030471664468,1.5794369943408622,1.2537887165445862
14,560.63671875,43.4,292.1986289024353,0.29825818891083977,1.6524335280014135,1.4353021392925331
15,563.546875,42.4,288.56346559524536,0.29304943446328524,1.519132485120342,1.2821824924825733
16,564.60546875,41.6,289.74146914482117,0.2889212180685568,1.5644863089780212,1.3425285089146959
17,567.30078125,42.1,293.9046001434326,0.28572984273452073,1.7501249000068926,1.2981402515762983
18,556.73828125,43.2,294.09999561309814,0.282222252195476,1.6381184894625362,1.4190878654827892
19,560.32421875,42.7,295.2831609249115,0.27866115070553854,1.467661840149135,1.1464909319546324
20,562.01171875,42.6,286.870414018631,0.27689786577132797,1.6785097721412978,1.2238205179572106
21,564.33203125,41.5,283.1039526462555,0.27292012865714976,1.6301695890611303,1.2360573610022276
22,560.38671875,40.8,285.2343397140503,0.2710908350647262,1.7031648460463213,1.2418087696686815
23,572.9453125,41.0,285.0739505290985,0.2684664377669749,1.451962635563027,1.3259345606286872
24,571.4140625,40.8,283.86943459510803,0.26684818774998037,1.41655476734741,1.2874623825899916
25,572.28125,41.2,285.93500781059265,0.2649739263220128,1.5267043076745304,1.272071489861401
26,583.0,41.4,288.4985671043396,0.26253807874142665,1.5629780302658176,1.284196065014059
27,583.375,42.4,283.8040609359741,0.2604329444295643,1.4624607780773942,1.2603925608125666
28,769.125,40.9,282.93280363082886,0.25925181495806243,1.6352593109944917,1.423652360190043
29,780.0,40.9,282.7593972682953,0.2575070816630876,1.362740230633132,1.2969739866552885
30,790.921875,40.6,285.0701587200165,0.25546434613610297,1.5448840401640875,1.411882132153655
31,801.53125,40.7,286.4583125114441,0.25471086313608066,1.559935236019771,1.299002012527751
32,811.51171875,41.5,286.7300148010254,0.25281632291320666,1.4600355201674344,1.2318460473241848
33,811.99609375,41.2,284.0059118270874,0.2526142863427459,1.4930005440029226,1.3010562113503206
34,805.40234375,40.7,283.1627416610718,0.2514564744304569,1.4209209984758238,1.1850287128380532
35,808.0078125,40.8,282.61477851867676,0.24957826741250438,1.3592171906233794,1.230124205941752
36,819.0625,40.5,283.47556924819946,0.2488320610057419,1.4144059988420137,1.3005516845383245
37,829.7265625,40.8,283.28412437438965,0.24689324265274107,1.6013183970536606,1.2987143980960052
38,841.1484375,41.1,283.0289602279663,0.24594749349401665,1.549608604772508,1.21295297651086
39,851.4453125,41.0,285.59243845939636,0.24537420824438258,1.6309548997715262,1.409068531077472
40,861.75,42.1,282.9552948474884,0.24480187352794608,1.5568212529596568,1.3014111480861903
41,872.671875,40.9,286.6432890892029,0.24344555393895637,1.3991932274901309,1.2533027815506046
42,884.0234375,41.7,285.4513039588928,0.24306313919530737,1.5764054126621327,1.2935119955936103
43,870.18359375,41.5,285.9416854381561,0.2428613336503046,1.392893557832187,1.3037586767078921
44,714.3828125,41.2,286.22059869766235,0.24130369129095103,1.6528457518940483,1.1422868586064856
45,661.390625,41.3,283.2840328216553,0.24031190581830425,1.5914471453325203,1.2341966422067747
46,666.3828125,41.3,292.7944965362549,0.24027368721281656,1.4568070112169673,1.2304164641308335
47,676.9609375,43.7,289.6624228954315,0.239527005156392,1.5059249085312452,1.2427670231059573
48,670.5234375,41.8,287.0944278240204,0.2388705159980411,1.5276939919382273,1.2296484372290697
49,604.76171875,41.3,286.5981664657593,0.2379848608474192,1.5103268607834608,1.1583396960259678
