epoch,loss,rmse,mae
1,0.5283158888853607,2.1099535312446984,1.7908680133086317
2,0.4202813516852175,2.056487030330684,1.5065448221984816
3,0.4135073198910544,1.985601108804388,1.6479117742798768
4,0.40461419603205584,1.8394794898075706,1.6428798652213552
5,0.38814353261018475,1.9050836318137663,1.5591826762191023
6,0.3666623984020596,1.786587231154355,1.5336226404909
7,0.3512091662706017,1.628619576317155,1.3229673708949936
8,0.34053598080012365,1.6821439789895145,1.4069242885066298
9,0.3311986344792236,1.7069975412083762,1.3019855286108284
10,0.32464161959589294,1.7039941738167408,1.28549013973807
11,0.31837906583109365,1.5747525014060393,1.2382089583301956
12,0.312131682291129,1.500221670631664,1.2445531881347913
13,0.30747612613638753,1.5034228377772816,1.3521670250754272
14,0.3027030471664468,1.5794369943408622,1.2537887165445862
15,0.29825818891083977,1.6524335280014135,1.4353021392925331
16,0.29304943446328524,1.519132485120342,1.2821824924825733
17,0.2889212180685568,1.5644863089780212,1.3425285089146959
18,0.28572984273452073,1.7501249000068926,1.2981402515762983
19,0.282222252195476,1.6381184894625362,1.4190878654827892
20,0.27866115070553854,1.467661840149135,1.1464909319546324
21,0.27689786577132797,1.6785097721412978,1.2238205179572106
22,0.27292012865714976,1.6301695890611303,1.2360573610022276
23,0.2710908350647262,1.7031648460463213,1.2418087696686815
24,0.2684664377669749,1.451962635563027,1.3259345606286872
25,0.26684818774998037,1.41655476734741,1.2874623825899916
26,0.2649739263220128,1.5267043076745304,1.272071489861401
27,0.26253807874142665,1.5629780302658176,1.284196065014059
28,0.2604329444295643,1.4624607780773942,1.2603925608125666
29,0.25925181495806243,1.6352593109944917,1.423652360190043
30,0.2575070816630876,1.362740230633132,1.2969739866552885
31,0.25546434613610297,1.5448840401640875,1.411882132153655
32,0.25471086313608066,1.559935236019771,1.299002012527751
33,0.25281632291320666,1.4600355201674344,1.2318460473241848
34,0.2526142863427459,1.4930005440029226,1.3010562113503206
35,0.2514564744304569,1.4209209984758238,1.1850287128380532
36,0.24957826741250438,1.3592171906233794,1.230124205941752
37,0.2488320610057419,1.4144059988420137,1.3005516845383245
38,0.24689324265274107,1.6013183970536606,1.2987143980960052
39,0.24594749349401665,1.549608604772508,1.21295297651086
40,0.24537420824438258,1.6309548997715262,1.409068531077472
41,0.24480187352794608,1.5568212529596568,1.3014111480861903
42,0.24344555393895637,1.3991932274901309,1.2533027815506046
43,0.24306313919530737,1.5764054126621327,1.2935119955936103
44,0.2428613336503046,1.392893557832187,1.3037586767078921
45,0.24130369129095103,1.6528457518940483,1.1422868586064856
46,0.24031190581830425,1.5914471453325203,1.2341966422067747
47,0.24027368721281656,1.4568070112169673,1.2304164641308335
48,0.239527005156392,1.5059249085312452,1.2427670231059573
49,0.2388705159980411,1.5276939919382273,1.2296484372290697
50,0.2379848608474192,1.5103268607834608,1.1583396960259678
