epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,auc,f1,rmse,recall
0,707.38671875,15.5,65.73165893554688,1.5363326102094266,0.49514583785423455,0.4951319832020314,0.4999938784129654,0.489974524573116
1,985.01953125,74.5,67.57106018066406,1.3864491771689444,0.4946155675478527,0.49137622815466386,0.4999967072594673,0.48489875746011724
2,985.2890625,77.8,70.835946559906,1.386433563157582,0.499138130155219,0.5042528912625607,0.4999984266897061,0.48372327173892243
3,985.171875,81.6,68.45944118499756,1.3864310974497431,0.4995732846425248,0.5163054027574169,0.4999994846885624,0.4684776549367346
4,985.65625,79.1,67.5295090675354,1.386431207571329,0.4996497246529456,0.5879462349953611,0.4999998685901318,0.15365959965796394
5,985.0546875,78.0,68.51077651977539,1.386435054342843,0.49849785599021523,0.5685260714044754,0.4999999886627652,0.23312174640599145
6,985.66015625,78.4,68.80991339683533,1.3864371672339504,0.49932447605564195,0.5955555041553843,0.49999998683504454,0.1403765112506659
7,985.6796875,78.3,66.93194580078125,1.3864403308239752,0.4999759827801332,0.5218432106328476,0.4999999390242497,0.3647703609796775
8,985.66796875,78.1,70.0036346912384,1.3864501450093871,0.49764169216416737,0.4988805398204354,0.4999989466151013,0.4947021881887808
9,986.48046875,79.1,65.98206996917725,1.3865173143656264,0.49914154840101993,0.5046304048301355,0.49998779353804473,0.5085301637808531
10,986.44921875,77.0,64.3848705291748,1.3865287902643861,0.49821299875360797,0.5000010264297021,0.49998708297439315,0.5003901993455236
11,985.66796875,76.0,64.46613788604736,1.3865435476260335,0.4978482113918604,0.49264023281413255,0.49998425177867534,0.4870871579677744
12,985.66796875,76.1,64.33425807952881,1.3865922708147844,0.5015719666719203,0.5003516973306406,0.49997696645212747,0.49327680144187586
13,985.66796875,75.0,64.59024739265442,1.3864759049073463,0.4983024114473326,0.5015732212872474,0.49999784019744814,0.49855641626389646
14,985.671875,75.9,65.46914601325989,1.3865106733925139,0.4997646439677055,0.5039279555469263,0.49999220897254903,0.5031275889946956
15,929.48046875,76.4,64.3888897895813,1.3866552625001813,0.49697923886989326,0.49660600106829433,0.4999649246172625,0.5013726860140549
16,929.32421875,75.5,64.41322302818298,1.3868259720738159,0.49806962060217425,0.5092812199266195,0.49993332326692097,0.5225651250298022
17,929.328125,76.0,64.3617057800293,1.3865395535802627,0.49808228794097104,0.4956842397847352,0.49998638054253575,0.49323572881425737
18,929.328125,75.8,64.46369171142578,1.386611219211544,0.4985949891223587,0.4956009596478412,0.49997330731042305,0.4909565182827538
19,929.43359375,75.1,65.057626247406,1.3867100752522592,0.49958645988315664,0.49227410083768836,0.49995599269637875,0.4796929260356905
20,929.46875,76.3,64.07432961463928,1.386575549439999,0.49775944303328673,0.5012543794275072,0.4999793905644045,0.5025508376024909
21,929.3203125,76.1,63.03942537307739,1.386650564959231,0.49742546311877067,0.5039825977291305,0.4999651698450338,0.5082066125179939
22,929.3203125,74.3,63.03089189529419,1.3865468240104983,0.4980368872283241,0.5037963191121005,0.49998653513707825,0.4904605834078569
23,929.31640625,74.7,63.02203941345215,1.3864706997914165,0.4948683817884027,0.4875878133157072,0.4999991608177938,0.4657161262116445
24,929.3125,74.3,63.649399757385254,1.3867034936165061,0.49836100384440446,0.5028876262179134,0.4999543247661673,0.5082645658539561
25,814.375,76.2,62.933943033218384,1.3866050131117817,0.49660547841739056,0.485527802361943,0.4999745590381376,0.47748334670875753
