epoch,train_loss,train_rmse,train_mae,test_rmse,test_mae
0,7.78489901469304,1.9605230460606002,1.236442711128476,1.8435129143311657,1.2521426125625486
1,7.155484791291066,1.8156398023636495,1.1991582616922554,1.819674861350775,1.2223439057221372
2,7.0911750108767775,1.7814199974635763,1.1729712341564626,1.8071615255720945,1.2104959962924065
3,7.038050896082169,1.7591637268261087,1.1486484660879834,1.7909092769256212,1.187839061627892
4,6.997466642428667,1.756785102662689,1.1278548038852034,1.7848289233065084,1.1796377670033067
5,6.9640994096413635,1.7376785056168849,1.1163373111658286,1.7808198933626893,1.1715396551376283
6,6.943948342249944,1.7523499335769601,1.1012084802181996,1.7784357191072624,1.1675098127329306
7,6.923309199015299,1.724836441966342,1.0911945062929944,1.773528464789022,1.160549557200556
8,6.90917292374831,1.729888731605456,1.0812872403817682,1.7754167874980047,1.1605787798860798
9,6.901057404738206,1.7301151351672515,1.0778899185273119,1.7773566089678383,1.1622304114848403
10,6.889560357118264,1.7012978733457578,1.0714816736887303,1.7714273673993235,1.1549895161015011
11,6.880906523191012,1.7060090468594422,1.0629353428640895,1.7697154586140331,1.1547242101785333
12,6.871502091334416,1.7018595076428444,1.0592061412266895,1.7688525259935448,1.155372217932101
13,6.862087518740923,1.6913142974616,1.0478540507294287,1.7686603871459077,1.1500957507624525
14,6.853828579340226,1.6990090529222783,1.0427451902000344,1.767504005401578,1.1505420659916203
15,6.844294247260461,1.6669064356398395,1.0386451552250644,1.7665788754138079,1.1500971075646547
16,6.838770211048615,1.6850206799046445,1.0351164457680897,1.7667684318220838,1.1492678500515694
17,6.834462229410807,1.6930920248567192,1.029824500290189,1.7674427358401779,1.1499155181485132
18,6.827073058103903,1.6883939166924995,1.0256233154600571,1.7672381687387675,1.1505174087489274
19,6.820823236612173,1.6656644794593427,1.0215567433954367,1.764948858627986,1.1453156518429501
20,6.816245047251384,1.6746885820299486,1.0184400475999782,1.76524587348018,1.1475090313106213
21,6.812722837007962,1.6880073577651513,1.0157914867778919,1.7678680937944637,1.151118340194448
22,6.810819620963855,1.6750245540629862,1.0116878724427774,1.7676939768658353,1.149498033020633
23,6.806275497338711,1.6378917650272857,1.008673406711749,1.7675687622168428,1.1498807643562365
24,6.804223358936799,1.6742185057484227,1.0066290341149882,1.7667997259121162,1.1485240541552413
25,6.802553186661158,1.692897234411869,1.0037610946910835,1.7695884341948487,1.156177740772139
26,6.798155701466095,1.6646882725620578,1.003267275201255,1.7664585765307,1.1481869026325393
27,6.79379498408391,1.6681391994626769,0.9994970200755029,1.769172755074837,1.1512966760303502
28,6.793892990014492,1.6766442444346745,1.0002589893804401,1.7663289654118668,1.1498280239780247
29,6.790072969289926,1.6544749669736205,0.9948697007756963,1.7668989322540292,1.1496426922968501
30,6.788617014273619,1.6655048618976436,0.9962596068320537,1.7672721760061103,1.1493934357418807
31,6.786914135859563,1.6630794256852097,0.9923336223247528,1.7656721966880913,1.148362447335452
32,6.780994955698649,1.6529578590433096,0.9922735827059133,1.768727820051346,1.1509151539156859
33,6.781166477692433,1.6691066846024494,0.9911490604183011,1.7672670935145351,1.1524296603802948
34,6.780716959635416,1.6733650574479777,0.9874542833193601,1.764448631246368,1.1482133364458889
35,6.780969169812325,1.6612500474913043,0.9858018003856303,1.7667151365510414,1.1488715325983532
36,6.776996145492945,1.664499986593014,0.9863356975203954,1.76500118414084,1.1477226643859597
37,6.776735486739721,1.6438878610584173,0.9834004634233704,1.7674100989827817,1.1497109227018265
38,6.77614744137495,1.658733563219941,0.9831879214214455,1.7681132037246934,1.150775682444484
39,6.772871719262539,1.6691398984444292,0.9820814031903299,1.7659571334904076,1.1487822723395071
40,6.772992366399521,1.6642041050962506,0.9808190993501733,1.7667433634614027,1.1466608788322796
41,6.772923352168156,1.6625726811593602,0.9790538755252468,1.7683583585938425,1.152852534652715
42,6.769904897151849,1.666969567564824,0.9783669447015434,1.7678617014161155,1.1506523140615632
43,6.768682291568854,1.657735784320236,0.9798869280004159,1.7672414425134344,1.1514941676241042
44,6.767388194646591,1.645399432589603,0.9759922697867616,1.7684462666706366,1.151300795421371
45,6.766198598421537,1.6572980363005076,0.9764475311781952,1.7665614278077826,1.1482670941883533
46,6.767434129959498,1.6548985611920035,0.977360991535775,1.7692166091996362,1.15182547393395
47,6.765537528502636,1.6466322255742687,0.9764757717936495,1.7701369301255745,1.1543090004951118
48,6.7660443036984175,1.6550701400860983,0.9753517038321107,1.7690809463556176,1.1515649573556506
49,6.763666113829001,1.6597796146146544,0.9735549870216806,1.7669708879508614,1.1521240589359971
