epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
24,572.3046875,23.3,18.45878505706787,"tf.Tensor(0.58134496, shape=(), dtype=float32)","tf.Tensor(0.44065908, shape=(), dtype=float32)","tf.Tensor(0.893402, shape=(), dtype=float32)","tf.Tensor(0.65939057, shape=(), dtype=float32)"
25,580.32421875,32.1,19.396191835403442,"tf.Tensor(0.5759905, shape=(), dtype=float32)","tf.Tensor(0.4377526, shape=(), dtype=float32)","tf.Tensor(0.89680624, shape=(), dtype=float32)","tf.Tensor(0.6620287, shape=(), dtype=float32)"
26,588.3203125,46.1,22.261054754257202,"tf.Tensor(0.57102716, shape=(), dtype=float32)","tf.Tensor(0.4336241, shape=(), dtype=float32)","tf.Tensor(0.8980519, shape=(), dtype=float32)","tf.Tensor(0.6624824, shape=(), dtype=float32)"
27,596.31640625,55.0,24.055766820907593,"tf.Tensor(0.56638783, shape=(), dtype=float32)","tf.Tensor(0.42999145, shape=(), dtype=float32)","tf.Tensor(0.90070987, shape=(), dtype=float32)","tf.Tensor(0.66355836, shape=(), dtype=float32)"
28,604.25390625,59.9,21.416669607162476,"tf.Tensor(0.56175613, shape=(), dtype=float32)","tf.Tensor(0.42763135, shape=(), dtype=float32)","tf.Tensor(0.90258473, shape=(), dtype=float32)","tf.Tensor(0.6662287, shape=(), dtype=float32)"
29,612.2109375,43.7,19.115534782409668,"tf.Tensor(0.5589088, shape=(), dtype=float32)","tf.Tensor(0.42489707, shape=(), dtype=float32)","tf.Tensor(0.90540487, shape=(), dtype=float32)","tf.Tensor(0.66721946, shape=(), dtype=float32)"
30,620.2109375,34.3,18.76770830154419,"tf.Tensor(0.55615354, shape=(), dtype=float32)","tf.Tensor(0.4237115, shape=(), dtype=float32)","tf.Tensor(0.9085711, shape=(), dtype=float32)","tf.Tensor(0.66964436, shape=(), dtype=float32)"
31,628.2421875,28.7,18.60390830039978,"tf.Tensor(0.55426735, shape=(), dtype=float32)","tf.Tensor(0.42214486, shape=(), dtype=float32)","tf.Tensor(0.91053075, shape=(), dtype=float32)","tf.Tensor(0.67007476, shape=(), dtype=float32)"
32,636.2109375,27.4,18.832972049713135,"tf.Tensor(0.55498725, shape=(), dtype=float32)","tf.Tensor(0.42391658, shape=(), dtype=float32)","tf.Tensor(0.91216785, shape=(), dtype=float32)","tf.Tensor(0.6723009, shape=(), dtype=float32)"
33,644.1953125,28.2,18.64290690422058,"tf.Tensor(0.55138594, shape=(), dtype=float32)","tf.Tensor(0.42080802, shape=(), dtype=float32)","tf.Tensor(0.91352856, shape=(), dtype=float32)","tf.Tensor(0.67229813, shape=(), dtype=float32)"
34,652.203125,28.1,18.896441221237183,"tf.Tensor(0.54964346, shape=(), dtype=float32)","tf.Tensor(0.41937435, shape=(), dtype=float32)","tf.Tensor(0.91570914, shape=(), dtype=float32)","tf.Tensor(0.6734427, shape=(), dtype=float32)"
35,660.12890625,30.1,18.549362897872925,"tf.Tensor(0.5492253, shape=(), dtype=float32)","tf.Tensor(0.41969696, shape=(), dtype=float32)","tf.Tensor(0.91818595, shape=(), dtype=float32)","tf.Tensor(0.6755851, shape=(), dtype=float32)"
36,668.078125,28.7,18.435309886932373,"tf.Tensor(0.5482472, shape=(), dtype=float32)","tf.Tensor(0.41787305, shape=(), dtype=float32)","tf.Tensor(0.91889983, shape=(), dtype=float32)","tf.Tensor(0.67463225, shape=(), dtype=float32)"
37,676.078125,24.6,19.092045545578003,"tf.Tensor(0.5474018, shape=(), dtype=float32)","tf.Tensor(0.41756773, shape=(), dtype=float32)","tf.Tensor(0.9191068, shape=(), dtype=float32)","tf.Tensor(0.67428124, shape=(), dtype=float32)"
38,684.078125,29.4,19.498289346694946,"tf.Tensor(0.5449401, shape=(), dtype=float32)","tf.Tensor(0.4162645, shape=(), dtype=float32)","tf.Tensor(0.92071307, shape=(), dtype=float32)","tf.Tensor(0.6759805, shape=(), dtype=float32)"
39,692.015625,35.1,19.085219144821167,"tf.Tensor(0.5443532, shape=(), dtype=float32)","tf.Tensor(0.41589102, shape=(), dtype=float32)","tf.Tensor(0.9222052, shape=(), dtype=float32)","tf.Tensor(0.6765145, shape=(), dtype=float32)"
40,699.984375,30.7,19.308091402053833,"tf.Tensor(0.5425089, shape=(), dtype=float32)","tf.Tensor(0.41385266, shape=(), dtype=float32)","tf.Tensor(0.92380273, shape=(), dtype=float32)","tf.Tensor(0.67666566, shape=(), dtype=float32)"
41,707.98046875,32.2,17.729577779769897,"tf.Tensor(0.5413374, shape=(), dtype=float32)","tf.Tensor(0.41349116, shape=(), dtype=float32)","tf.Tensor(0.92579377, shape=(), dtype=float32)","tf.Tensor(0.67805964, shape=(), dtype=float32)"
42,716.7734375,24.3,18.925897121429443,"tf.Tensor(0.53909135, shape=(), dtype=float32)","tf.Tensor(0.41170067, shape=(), dtype=float32)","tf.Tensor(0.926518, shape=(), dtype=float32)","tf.Tensor(0.67789537, shape=(), dtype=float32)"
43,724.7734375,28.4,19.16683840751648,"tf.Tensor(0.5378756, shape=(), dtype=float32)","tf.Tensor(0.41053855, shape=(), dtype=float32)","tf.Tensor(0.9273221, shape=(), dtype=float32)","tf.Tensor(0.6779663, shape=(), dtype=float32)"
44,732.7734375,43.1,18.897847890853882,"tf.Tensor(0.5366678, shape=(), dtype=float32)","tf.Tensor(0.40999457, shape=(), dtype=float32)","tf.Tensor(0.9289846, shape=(), dtype=float32)","tf.Tensor(0.6790774, shape=(), dtype=float32)"
45,740.70703125,39.1,19.307838439941406,"tf.Tensor(0.53422487, shape=(), dtype=float32)","tf.Tensor(0.40848836, shape=(), dtype=float32)","tf.Tensor(0.929339, shape=(), dtype=float32)","tf.Tensor(0.6794471, shape=(), dtype=float32)"
46,748.6796875,31.1,18.734270811080933,"tf.Tensor(0.53202426, shape=(), dtype=float32)","tf.Tensor(0.40632653, shape=(), dtype=float32)","tf.Tensor(0.9320419, shape=(), dtype=float32)","tf.Tensor(0.6802502, shape=(), dtype=float32)"
47,756.64453125,29.5,18.696966648101807,"tf.Tensor(0.5306135, shape=(), dtype=float32)","tf.Tensor(0.40606755, shape=(), dtype=float32)","tf.Tensor(0.9338952, shape=(), dtype=float32)","tf.Tensor(0.68157417, shape=(), dtype=float32)"
48,764.64453125,27.1,18.890831232070923,"tf.Tensor(0.5319271, shape=(), dtype=float32)","tf.Tensor(0.4075333, shape=(), dtype=float32)","tf.Tensor(0.93664503, shape=(), dtype=float32)","tf.Tensor(0.6834528, shape=(), dtype=float32)"
49,772.6484375,25.9,18.086224794387817,"tf.Tensor(0.53490895, shape=(), dtype=float32)","tf.Tensor(0.4105278, shape=(), dtype=float32)","tf.Tensor(0.9379366, shape=(), dtype=float32)","tf.Tensor(0.6853474, shape=(), dtype=float32)"
