epoch,train_rmse,valid_rmse
0,"tf.Tensor(1.8385377, shape=(), dtype=float32)","tf.Tensor(1.8395737, shape=(), dtype=float32)"
1,"tf.Tensor(1.2817026, shape=(), dtype=float32)","tf.Tensor(1.2834272, shape=(), dtype=float32)"
2,"tf.Tensor(1.1393088, shape=(), dtype=float32)","tf.Tensor(1.1528294, shape=(), dtype=float32)"
3,"tf.Tensor(1.0664665, shape=(), dtype=float32)","tf.Tensor(1.0928967, shape=(), dtype=float32)"
4,"tf.Tensor(1.0015856, shape=(), dtype=float32)","tf.Tensor(1.0401866, shape=(), dtype=float32)"
5,"tf.Tensor(0.9498038, shape=(), dtype=float32)","tf.Tensor(1.0021408, shape=(), dtype=float32)"
6,"tf.Tensor(0.9071959, shape=(), dtype=float32)","tf.Tensor(0.9737449, shape=(), dtype=float32)"
7,"tf.Tensor(0.8676964, shape=(), dtype=float32)","tf.Tensor(0.9510524, shape=(), dtype=float32)"
8,"tf.Tensor(0.83041793, shape=(), dtype=float32)","tf.Tensor(0.93071634, shape=(), dtype=float32)"
9,"tf.Tensor(0.79737085, shape=(), dtype=float32)","tf.Tensor(0.91447747, shape=(), dtype=float32)"
10,"tf.Tensor(0.76899815, shape=(), dtype=float32)","tf.Tensor(0.9034787, shape=(), dtype=float32)"
11,"tf.Tensor(0.7441512, shape=(), dtype=float32)","tf.Tensor(0.89536923, shape=(), dtype=float32)"
12,"tf.Tensor(0.7187027, shape=(), dtype=float32)","tf.Tensor(0.88895196, shape=(), dtype=float32)"
13,"tf.Tensor(0.6955021, shape=(), dtype=float32)","tf.Tensor(0.88342917, shape=(), dtype=float32)"
14,"tf.Tensor(0.6762975, shape=(), dtype=float32)","tf.Tensor(0.87987393, shape=(), dtype=float32)"
15,"tf.Tensor(0.65790343, shape=(), dtype=float32)","tf.Tensor(0.8777532, shape=(), dtype=float32)"
16,"tf.Tensor(0.641608, shape=(), dtype=float32)","tf.Tensor(0.8777584, shape=(), dtype=float32)"
17,"tf.Tensor(0.6285287, shape=(), dtype=float32)","tf.Tensor(0.87938505, shape=(), dtype=float32)"
18,"tf.Tensor(0.61216396, shape=(), dtype=float32)","tf.Tensor(0.8766163, shape=(), dtype=float32)"
19,"tf.Tensor(0.6027453, shape=(), dtype=float32)","tf.Tensor(0.87882245, shape=(), dtype=float32)"
20,"tf.Tensor(0.59686285, shape=(), dtype=float32)","tf.Tensor(0.88388944, shape=(), dtype=float32)"
21,"tf.Tensor(0.5853903, shape=(), dtype=float32)","tf.Tensor(0.88407165, shape=(), dtype=float32)"
22,"tf.Tensor(0.58411247, shape=(), dtype=float32)","tf.Tensor(0.8907833, shape=(), dtype=float32)"
23,"tf.Tensor(0.5771771, shape=(), dtype=float32)","tf.Tensor(0.89235616, shape=(), dtype=float32)"
24,"tf.Tensor(0.5735677, shape=(), dtype=float32)","tf.Tensor(0.8960353, shape=(), dtype=float32)"
25,"tf.Tensor(0.56590915, shape=(), dtype=float32)","tf.Tensor(0.8954814, shape=(), dtype=float32)"
26,"tf.Tensor(0.5634695, shape=(), dtype=float32)","tf.Tensor(0.90046203, shape=(), dtype=float32)"
27,"tf.Tensor(0.5613013, shape=(), dtype=float32)","tf.Tensor(0.90110373, shape=(), dtype=float32)"
28,"tf.Tensor(0.55676323, shape=(), dtype=float32)","tf.Tensor(0.90294594, shape=(), dtype=float32)"
29,"tf.Tensor(0.5553702, shape=(), dtype=float32)","tf.Tensor(0.90721846, shape=(), dtype=float32)"
30,"tf.Tensor(0.5536672, shape=(), dtype=float32)","tf.Tensor(0.9091638, shape=(), dtype=float32)"
