epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,recall,ndcg,rmse
0,0.0006073829996365659,0.0006073829996365659,0.49729694540978703,0.08135973130872552,0.2272267842946781,0.48546549538894784
1,0.0005982524946974541,0.00120563549433402,0.4244574769986626,0.08888241748312177,0.23908774017478993,0.4777912914558671
2,0.0006092636592379223,0.001814899153571942,0.3971724862228016,0.09606438194236874,0.25083111555856397,0.46928581180980494
3,0.0006009681603758481,0.00241586731394779,0.37917779918501493,0.1017951980200517,0.2596651353022034,0.46096299360669835
4,0.0006030373886094819,0.003018904702557272,0.3658423452879898,0.10542286175198493,0.2651399755801087,0.4582761976359961
5,0.000601758579694384,0.003620663282251656,0.35624075008695105,0.1095495734666297,0.2710469737917136,0.45330703789505594
6,0.0005980924854900642,0.00421875576774172,0.34862337175249136,0.1116784941999935,0.27423300148610097,0.4462841160150819
7,0.0006014396912860083,0.004820195459027728,0.34204557986216555,0.11463692500311912,0.27865109169397806,0.43956501402779663
8,0.0005994368219712112,0.00541963228099894,0.33600679292776897,0.11722813670157069,0.28093680273895366,0.4369561452372931
9,0.0005953710583304619,0.006015003339329402,0.3321323353404558,0.11927726337982601,0.28456386343629525,0.43858435235310955
10,0.0005940154129545037,0.006609018752283906,0.32827517585613425,0.12117298192418313,0.2857367448609569,0.43517625816676275
11,0.0005924994704136614,0.0072015182226975675,0.3256026804447174,0.12187432872748856,0.2880297520588454,0.4324083607165872
12,0.0005887714153810903,0.007790289638078658,0.322347761081546,0.12312203532188289,0.289087166258972,0.42923696092004177
13,0.0005842285254109675,0.008374518163489626,0.3195499486282736,0.12344253208826454,0.28940188441325254,0.42505264757419775
14,0.000584261951068639,0.008958780114558265,0.3175393610349964,0.12486927266534549,0.2893424616122844,0.42589376945696233
15,0.0005846717748470214,0.009543451889405287,0.3155135405094274,0.12582420388446766,0.29168090002091307,0.4246563743264975
16,0.0005850876183914515,0.010128539507796738,0.31515699885498283,0.12745433585986846,0.2912294902996463,0.42074328482068357
17,0.0005907643419683777,0.010719303849765115,0.3128787768683887,0.12772421750189195,0.2926511474953015,0.4249165261911315
18,0.0005867439710491115,0.011306047820814227,0.3124152097113641,0.12733295649341073,0.29277758535689297,0.42104464167363714
19,0.0005878913728627049,0.011893939193676931,0.3103150831856274,0.1283899148615154,0.2938167630507731,0.4158171828328307
20,0.0005921189089630512,0.012486058102639983,0.3097156897608603,0.12818082765374114,0.29333327979662716,0.41992038280517324
21,0.0005938959091657444,0.013079954011805728,0.30804988895100005,0.12936366006718122,0.29446377648524313,0.416449385985891
22,0.0005984205699887401,0.013678374581794469,0.3070787050423708,0.12953841558451423,0.29515288264183603,0.4188894945696668
23,0.0005911850687963785,0.014269559650590846,0.3059190494465644,0.12886215860259784,0.29399044145282416,0.4176132844314356
24,0.012431359673194605,0.026700919323785453,0.30589256682708516,0.13121055093205045,0.2945147285232715,0.41863647397320575
25,0.0005802538504642572,0.02728117317424971,0.30480627669620025,0.13104657932242617,0.2952790354155045,0.4175503872115417
26,0.0005832408406228556,0.027864414014872566,0.3042078249558692,0.13079747328583172,0.2942409142499004,0.4159857192612985
27,0.0005802842511620302,0.028444698266034595,0.30322418275713003,0.1305917206379673,0.2954504543938938,0.41584600596137056
28,0.0005788081816224234,0.029023506447657017,0.3035643120274752,0.13063253174554776,0.2960909909035593,0.41322692771186237
29,0.0005807373201392409,0.029604243767796256,0.3025401870511798,0.13126505624663776,0.2954288700736541,0.41753573935124366
30,0.0005920948223330615,0.030196338590129317,0.3015340288531198,0.13036199067011617,0.2950958185146189,0.40911166964091816
31,0.0006851859901757672,0.030881524580305082,0.3016350925888071,0.13180468164855214,0.29511814531646857,0.412160193387062
32,0.0006852215502895304,0.03156674613059461,0.3006447308474151,0.13170217648697027,0.2954373835500209,0.4104590949864759
33,0.0006236695794301638,0.032190415710024775,0.29941091577314166,0.13163973475456722,0.2952062073654865,0.4098782915036083
34,0.0006089458232461913,0.03279936153327097,0.29988623676692305,0.13138280453625367,0.29489112155441904,0.4127649973187305
35,0.0019511329907242775,0.03475049452399524,0.2995669152252472,0.13174701596838154,0.2959402400158903,0.4141637979002118
36,0.0006484595222909159,0.03539895404628616,0.29981899069942974,0.1318231296930178,0.29539465925190195,0.4098768397903614
37,0.043855882909640154,0.0792548369559263,0.2994120935777772,0.13265267168421344,0.2967155931751243,0.4132904581510531
38,8.253199736984306e-06,0.0792630901556633,0.29935870884623195,0.13250392707245698,0.2959109903368734,0.4109360852174199
39,8.194195267549295e-06,0.07927128435093085,0.29762491480397074,0.13280316413737572,0.296255313672767,0.4126394318923451
40,8.052722856562517e-06,0.07927933707378741,0.29764998158329864,0.13271308181258581,0.29638010494364536,0.41332252203250286
41,8.117445625774165e-06,0.07928745451941319,0.2971074819411594,0.13327833575190573,0.29741074185753935,0.4155525227610783
42,8.413201540181283e-06,0.07929586772095337,0.29768375083229537,0.13295590871396296,0.29692862521829483,0.41207721938756714
43,8.12523709507711e-06,0.07930399295804845,0.2968290301092486,0.13281203007176173,0.2970071083511375,0.4112783763558649
