epoch,epoch_emissions_kg,cumulative_emissions_kg,rmse,mae
0,3.561884294966844e-05,3.561884294966844e-05,2.013523817062378,1.5897186994552612
1,3.648421642565486e-05,7.21030593753233e-05,1.3556530475616455,0.9990448951721191
2,3.6816570997011746e-05,0.00010891963037233505,1.2686481475830078,0.9346131086349487
3,3.759841606500138e-05,0.00014651804643733645,1.19796884059906,0.8843284249305725
4,3.69063627660218e-05,0.00018342440920335825,1.1608471870422363,0.8571687340736389
5,3.656672065414916e-05,0.0002199911298575074,1.1335334777832031,0.8362902402877808
6,3.6636749106598685e-05,0.0002566278789641061,1.109911561012268,0.8178716897964478
7,3.680254029354472e-05,0.0002934304192576508,1.0893688201904297,0.8018332719802856
8,3.688327038568053e-05,0.0003303136896433313,1.071750283241272,0.788732647895813
9,3.9900864666015756e-05,0.00037021455430934707,1.053741693496704,0.7746750712394714
10,3.6931051924547564e-05,0.0004071456062338946,1.0370190143585205,0.7614077925682068
11,3.5879019491408175e-05,0.00044302462572530277,1.0195354223251343,0.7493066191673279
12,3.916404713496945e-05,0.0004821886728602722,1.0027188062667847,0.7377110719680786
13,3.8643992276935257e-05,0.0005208326651372075,0.9879711270332336,0.7270869016647339
14,3.603516536387411e-05,0.0005568678305010816,0.9729369878768921,0.7165923714637756
15,3.6562168085410784e-05,0.0005934299985864924,0.9605165123939514,0.7076517343521118
16,3.720104610162961e-05,0.000630631044688122,0.9493847489356995,0.6996079683303833
17,3.766187631660521e-05,0.0006682929210047273,0.9392685294151306,0.6922800540924072
18,3.724434638381252e-05,0.0007055372673885398,0.9307180047035217,0.6865418553352356
19,3.650481954239815e-05,0.000742042086930938,0.9233972430229187,0.6812676787376404
20,3.7302679313066874e-05,0.0007793447662440048,0.9170787930488586,0.6767852306365967
21,3.745811421725865e-05,0.0008168028804612635,0.9118068814277649,0.6731534600257874
22,3.700655740997257e-05,0.0008538094378712361,0.9077165126800537,0.6710111498832703
23,3.7478738883051324e-05,0.0008912881767542874,0.9039050936698914,0.6681546568870544
24,3.643175627611422e-05,0.0009277199330304016,0.9020025134086609,0.6671314835548401
25,3.6546104081414025e-05,0.0009642660371118155,0.8993578553199768,0.6654052734375
26,3.725072014013914e-05,0.0010015167572519548,0.8981178402900696,0.6647484302520752
27,3.7109013519593167e-05,0.001038625770771548,0.8968400359153748,0.6641103029251099
28,3.881131178090923e-05,0.0010774370825524572,0.8954653739929199,0.6632117033004761
29,4.314170486478225e-05,0.0011205787874172394,0.8951311111450195,0.6625933051109314
30,4.308385958427526e-05,0.0011636626470015146,0.895257830619812,0.6624534726142883
31,4.387936517670533e-05,0.00120754201217822,0.8949235081672668,0.6620322465896606
32,3.782581078781984e-05,0.00124536782296604,0.8945178389549255,0.6614214181900024
33,3.6855146936446705e-05,0.0012822229699024866,0.8944962620735168,0.6611815690994263
34,3.649896195497419e-05,0.001318721931857461,0.8944504261016846,0.6611723899841309
35,3.718345193894051e-05,0.0013559053837964015,0.8945211172103882,0.6611776351928711
36,3.723457220632505e-05,0.0013931399560027265,0.8945522904396057,0.6612043380737305
37,3.6830989662413324e-05,0.0014299709456651398,0.8948305249214172,0.6608102321624756
38,4.019343896273622e-05,0.001470164384627876,0.8951077461242676,0.6607816219329834
39,3.814323033709877e-05,0.0015083076149649747,0.8951700329780579,0.6610273718833923
40,3.736601704547036e-05,0.001545673632010445,0.8951011896133423,0.6609262824058533
41,3.7726725148024396e-05,0.0015834003571584695,0.8949444890022278,0.6605624556541443
42,3.779399407374401e-05,0.0016211943512322135,0.8950066566467285,0.6605229377746582
43,3.786637153820656e-05,0.00165906072277042,0.8951747417449951,0.6605597138404846
44,3.8143586475122e-05,0.001697204309245542,0.8955777883529663,0.6607127785682678
45,3.7849050739231186e-05,0.0017350533599847732,0.895398736000061,0.6605435609817505
46,3.855922293455714e-05,0.0017736125829193304,0.8955119252204895,0.6604377627372742
47,3.8651327479395475e-05,0.0018122639103987257,0.8957839608192444,0.6601355671882629
48,3.9412437294976205e-05,0.001851676347693702,0.8958144783973694,0.6602548360824585
49,3.951964936631388e-05,0.0018911959970600157,0.8958794474601746,0.6603308916091919
