epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,recall,ndcg
1,4.446108276465762e-06,4.446108276465762e-06,284.9891129713792,1.1280168508324175,0.05698809523809524,0.03518239256966304
2,4.34707862526417e-06,8.793186901729931e-06,278.61122178297774,1.1304733226494963,0.04448571428571428,0.028339621002673218
3,4.2665770230064825e-06,1.3059763924736415e-05,274.74012603759763,1.173020217483222,0.04546507936507936,0.026341694689367694
4,4.180826209247022e-06,1.7240590133983436e-05,272.25535935621997,1.2323620191708733,0.046922222222222226,0.029394619170603504
5,4.311762625348848e-06,2.1552352759332283e-05,271.18909125694864,1.3015708507268455,0.06003809523809524,0.03502991232000161
6,4.619769509180011e-06,2.6172122268512294e-05,270.06321892371545,1.3256066756266263,0.05205555555555555,0.031062206041951222
7,4.1801016147637266e-06,3.035222388327602e-05,269.42705207237833,1.3611015635527135,0.04063809523809523,0.02584274248211053
8,4.1500350496422615e-06,3.450225893291828e-05,268.9780398442195,1.3962502926346008,0.037166666666666674,0.0253122501357693
9,4.176437553388944e-06,3.8678696486307224e-05,268.1987494835487,1.4169360106495283,0.03593333333333334,0.01820914872472409
10,4.550677183655109e-06,4.322937366996233e-05,267.13596162062424,1.4434125428060112,0.04763333333333333,0.026064046638171356
11,8.702231234334809e-08,4.331639598230568e-05,266.76872529249925,1.48007836668951,0.035185714285714285,0.019291037423152378
12,1.1285697818089588e-07,4.3429252960486576e-05,266.7174471928523,1.502592571330281,0.03467142857142857,0.019390223623006127
13,5.7435150881921354e-08,4.34866881113685e-05,265.96195326585035,1.523380825421765,0.025866666666666666,0.014199214433650808
14,4.201249822799375e-06,4.768793793416787e-05,264.2387086721567,1.5417938645405842,0.044,0.026921102772439216
15,4.323639321322795e-06,5.201157725549067e-05,256.03525150005635,1.5226933711411132,0.02650238095238095,0.015378721671742908
16,4.269341875975381e-06,5.628091913146605e-05,227.67905126718375,1.4861058855139246,0.019419047619047617,0.011585401698238297
17,4.175847282363179e-06,6.045676641382923e-05,115.80766607431265,1.3753547977135903,0.014222222222222221,0.007865570083751964
18,4.180907750840759e-06,6.463767416466998e-05,87.00069811894343,1.2578689281342803,0.015433333333333334,0.007493046244832655
19,4.1431422500729515e-06,6.878081641474294e-05,80.95736189622146,1.1683323081162231,0.014049999999999997,0.007158690559657593
20,4.629161814835488e-06,7.340997822957842e-05,78.29383040208083,1.1059550900733508,0.0181,0.011267828197957214
21,4.197708946478736e-06,7.760768717605716e-05,70.90798686100887,0.9892241215676245,0.024066666666666667,0.01601262138169523
22,4.186491730462065e-06,8.179417890651923e-05,64.60002057002141,0.8883712973614355,0.02951904761904762,0.016118469437871187
23,4.147780996263466e-06,8.59419599027827e-05,58.28237401522123,0.7481067518520514,0.03370238095238095,0.020871852556711368
24,4.456642080650641e-06,9.039860198343334e-05,51.74152242220365,0.6769104385466012,0.02433333333333333,0.014557322652651155
25,4.2981974659023605e-06,9.46967994493357e-05,50.025578748262845,0.6680514160138133,0.03864126984126984,0.02219621636304455
26,4.40065081949585e-06,9.909745026883156e-05,49.58434749016395,0.6593752121244657,0.026966666666666667,0.016556971926602916
27,4.544828638966581e-06,0.00010364227890779814,49.389504344646745,0.6610755123199288,0.024985714285714288,0.014536500648415036
28,4.404180123287865e-06,0.000108046459031086,49.1358005963839,0.6626014213747351,0.02012222222222222,0.012421068186263009
29,4.262016405652743e-06,0.00011230847543673873,49.6359529201801,0.6633636925487605,0.022204761904761904,0.014134089941275543
30,4.204456924139888e-06,0.00011651293236087862,48.42700887826773,0.6679539673307974,0.034852380952380954,0.020230993962601238
31,4.136908576294343e-06,0.00012064984093717297,48.60342818040114,0.6716034317422205,0.029952380952380953,0.017715292460213194
32,4.444022173569152e-06,0.00012509386311074211,48.29070436037504,0.675373269059153,0.029319047619047616,0.0165796658998327
33,4.519315629834141e-06,0.00012961317874057626,47.7633147753202,0.6870033067789999,0.02663809523809524,0.014860534237375727
34,4.5820407063880076e-06,0.00013419521944696427,46.35318737030029,0.6956061375360749,0.034935714285714285,0.021218128159308323
35,4.660933707171729e-06,0.000138856153154136,44.94321673466609,0.7141198848048943,0.03145238095238095,0.020154169239316944
36,4.6494766956998635e-06,0.00014350562984983585,43.773869998638446,0.7185254119332534,0.0225,0.014924950892210395
37,4.570852746327164e-06,0.000148076482596163,41.41277524507963,0.7229149327755814,0.039265079365079364,0.02238134131416863
38,4.527099428003569e-06,0.00015260358202416656,38.2800134071937,0.7413161188979841,0.04145555555555556,0.023606372793382346
39,4.512523789038573e-06,0.00015711610581320513,33.99558939566979,0.7646071015333932,0.0401047619047619,0.024278349169478027
40,4.754155278779661e-06,0.00016187026109198478,30.364790945786694,0.7706206418920077,0.03464285714285714,0.02140549637661142
41,4.5269716680153924e-06,0.00016639723276000017,27.596113696465125,0.749450902073209,0.04296666666666667,0.025540836467878122
42,4.547944716359134e-06,0.0001709451774763593,24.345055763538067,0.7224225148706789,0.041685714285714284,0.02662392189580005
43,4.5395871655700765e-06,0.00017548476464192937,22.148512620192307,0.7052996942665468,0.03425,0.020932309341083432
44,4.48587285365758e-06,0.00017997063749558695,21.043489126058724,0.6886455068933228,0.0469515873015873,0.028648819115880204
45,4.562811126194827e-06,0.00018453344862178178,20.227569741469164,0.6782781486743859,0.03511666666666666,0.021286707161010717
46,4.621721635428207e-06,0.00018915517025720998,19.374973509861874,0.6644926176394466,0.04145476190476191,0.027236290902015358
47,4.484619824619337e-06,0.0001936397900818293,18.779797473320595,0.6571850542074772,0.029852380952380946,0.01867916421307649
48,4.518955621876167e-06,0.00019815874570370547,18.302819002591647,0.6510851500465206,0.03253333333333333,0.01936974814602724
49,4.768940884984106e-06,0.00020292768658868957,18.046276983847985,0.6429759410538304,0.03525238095238095,0.02253738621471746
50,4.610330914297206e-06,0.00020753801750298678,17.637916774016162,0.6394859572768368,0.04282222222222222,0.026290105722801438
