epoch,train_loss,test_loss,test_rmse
0,9930561.0,1680185.9,12.459228961747957
1,8897304.5,1530127.1,11.889750783978423
2,7830010.0,1372508.5,11.260610612878777
3,6673763.25,1207701.0,10.562771474786661
4,5506795.0,1040491.9,9.804130185084084
5,4406477.75,877160.8,9.001559939407514
6,3451599.75,723621.2,8.1755680567666
7,2628595.375,584388.9,7.34668405646736
8,1947968.0625,462310.9,6.533968192543931
9,1416189.0,358666.78,5.754567480722155
10,986469.75,273556.1,5.0249310011114305
11,680881.0,205967.45,4.3593514377110285
12,473952.609375,154131.6,3.770094022638151
13,340171.296875,115692.69,3.265156369914669
14,267689.9140625,88223.984,2.8500221106729886
15,235742.703125,69338.336,2.5253064700386876
16,227522.5703125,56894.625,2.286272870308573
17,228189.09375,49069.832,2.1222122895316637
18,238328.0234375,44454.63,2.0191990746204596
19,239851.8046875,42019.145,1.962655118141959
20,248229.7265625,41076.582,1.9403261614483422
21,252584.875,41190.23,1.9430274034561923
22,240024.1875,42111.145,1.9648087458004657
23,233904.015625,43668.582,2.0011080693185623
24,223768.8984375,45758.363,2.0488051741199165
25,212536.6015625,48235.484,2.1039426159249364
26,203986.6171875,50982.133,2.163436074555545
27,190001.78125,53868.98,2.2242509613431776
28,186289.4375,56705.586,2.282428880893415
29,177909.0625,59338.2,2.3351259661836443
30,175988.7109375,61701.215,2.3814332553332846
31,172264.7421875,63636.805,2.4187037347321154
32,173174.703125,65113.098,2.4467489769450808
33,169119.921875,66122.266,2.465736818929055
34,173992.8828125,66660.27,2.4758003174461627
35,171933.8125,66785.61,2.4781394563040657
36,168656.3984375,66545.41,2.47365712694377
37,173540.4140625,66091.47,2.46516286388685
38,174024.1015625,65455.074,2.453204298241357
39,170951.34375,64727.91,2.4394684154230384
40,173533.2421875,63985.05,2.4253555031593343
41,170275.484375,63229.047,2.4109079177494177
42,172504.8203125,62517.84,2.3972367855598056
43,170642.65625,61902.645,2.3853479114191103
44,172041.8515625,61380.64,2.375213246293088
45,172063.7109375,60971.16,2.367232826051682
46,171056.03125,60673.35,2.3614116945341554
47,166753.21875,60507.22,2.3581580306896224
48,168434.703125,60418.805,2.3564245122055745
49,170039.6875,60408.86,2.3562292848267923
