epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse,mae,time_sec,memory_mb,cpu_percent
1,2.9378810653867642e-06,2.9378810653867642e-06,7.072620868682861,6.716616630554199,2.5916436699604577,2.0380285444589,8.0906343460083,547.67578125,17.6
2,2.0283184668777315e-06,4.966199532264496e-06,6.785681247711182,6.726373672485352,2.5935252206460375,2.0489925539293457,7.1328911781311035,551.94140625,22.4
3,2.044578202759961e-06,7.010777735024457e-06,6.770674705505371,6.725453853607178,2.5933478449492022,2.0478878671976353,7.168375015258789,555.11328125,27.8
4,2.075235813365241e-06,9.086013548389699e-06,6.756015300750732,6.724624156951904,2.59318821059875,2.0450883982688457,7.163783311843872,556.46875,27.2
5,2.1632813951826686e-06,1.1249294943572368e-05,6.755929470062256,6.73290491104126,2.5947841187612117,2.046570021661749,7.286099195480347,559.08984375,29.6
6,1.9847922794504234e-06,1.3234087223022791e-05,6.7440643310546875,6.743494033813477,2.5968238607275587,2.0560451650340625,7.05855917930603,560.4140625,28.6
7,1.9902477569022557e-06,1.5224334979925046e-05,6.736274719238281,6.729072570800781,2.5940454943263047,2.0482063826914487,7.044098854064941,562.86328125,25.0
8,2.234595917994794e-06,1.745893089791984e-05,6.734950065612793,6.699049949645996,2.58825232090187,2.030428247545156,7.318434238433838,564.24609375,30.1
9,2.016285668140459e-06,1.9475216566060297e-05,6.732614040374756,6.698276042938232,2.588102770692418,2.029634596330735,7.12476658821106,565.5703125,23.2
10,1.906544454006439e-06,2.1381761020066735e-05,6.731047630310059,6.696960926055908,2.5878486182031066,2.0205847417099303,6.971050500869751,567.09765625,24.7
11,2.626777420977084e-06,2.4008538441043818e-05,6.729422569274902,6.697010040283203,2.587858193107049,2.028727559261615,7.7538511753082275,569.16796875,30.3
12,2.4161092339337043e-06,2.6424647674977523e-05,6.725903034210205,6.6920881271362305,2.586907152285163,2.016588600245033,7.569038152694702,570.83203125,36.4
13,2.2660710620837517e-06,2.8690718737061273e-05,6.725831508636475,6.694028854370117,2.587282209481605,2.0231346701373343,7.3974220752716064,572.96875,31.3
14,2.9191086584147967e-06,3.160982739547607e-05,6.724428176879883,6.700071334838867,2.5884497486028444,2.033035951257901,8.15874981880188,574.28125,39.0
15,2.298969582745207e-06,3.390879697822127e-05,6.725072860717773,6.6914215087890625,2.5867781074555953,2.022568591328913,7.507416248321533,575.66796875,33.0
16,2.2457147508476266e-06,3.61545117290689e-05,6.723803520202637,6.691010475158691,2.5866986019724743,2.0193285647899084,7.364227294921875,577.76953125,27.2
17,2.370912644959966e-06,3.8525424374028866e-05,6.72379732131958,6.69094181060791,2.586685495324377,2.021265048926834,7.480587482452393,579.10546875,28.6
18,2.504387489212541e-06,4.1029811863241405e-05,6.724055767059326,6.691004753112793,2.5866975381736492,2.022271139846303,7.628108263015747,580.49609375,32.2
19,1.9872380272116026e-06,4.301704989045301e-05,6.7234110832214355,6.691660404205322,2.5868244811067544,2.0234521791342734,7.1275763511657715,582.9609375,30.5
20,2.0162083307342164e-06,4.5033258221187224e-05,6.723062038421631,6.69026517868042,2.5865547957654162,2.0211809117615105,7.138654708862305,584.359375,30.0
21,2.1226308569996995e-06,4.7155889078186925e-05,6.724237442016602,6.692079067230225,2.586905261769363,2.0242263757959105,7.169719219207764,586.4296875,28.0
22,2.528439269761064e-06,4.968432834794799e-05,6.723623275756836,6.6905517578125,2.5866101943372644,2.0198421308322554,7.663516998291016,573.25390625,34.9
23,2.0213921393731203e-06,5.1705720487321104e-05,6.723447322845459,6.691192150115967,2.5867338565268465,2.0214785016085237,7.13741397857666,575.609375,26.7
24,2.0488947183417127e-06,5.3754615205662815e-05,6.723159313201904,6.6908464431762695,2.5866671438359172,2.0211221297590845,7.162967681884766,576.76171875,31.4
25,1.934625233088032e-06,5.568924043875085e-05,6.72319221496582,6.690577983856201,2.586615134694736,2.022428160662903,7.035205364227295,578.57421875,28.9
26,2.1032007284453976e-06,5.7792441167196245e-05,6.723140239715576,6.691342830657959,2.5867628816388644,2.021395637089249,7.175653457641602,579.7734375,33.1
27,1.917590752977078e-06,5.971003192017332e-05,6.723089218139648,6.690674304962158,2.586633599950081,2.0174276314240376,7.002646446228027,581.04296875,24.5
28,1.9783420504361987e-06,6.168837397060952e-05,6.722682952880859,6.6912336349487305,2.5867420783475192,2.0219467158973936,7.063086986541748,582.046875,24.8
29,1.952445106866454e-06,6.364081907747598e-05,6.722838401794434,6.6901469230651855,2.5865316269296157,2.019475441234999,7.052717208862305,583.16796875,22.0
30,1.97248701497582e-06,6.56133060924518e-05,6.723202705383301,6.691033840179443,2.586703164505984,2.018679339616763,7.0396928787231445,584.671875,27.6
31,1.9613845944747795e-06,6.757469068692657e-05,6.723318576812744,6.690859317779541,2.586669531378967,2.0226770426171483,7.019111394882202,585.91015625,30.6
32,1.948437870273265e-06,6.952312855719983e-05,6.722934722900391,6.690375328063965,2.5865760278479106,2.019354062816703,7.020268201828003,587.23828125,23.2
33,1.9366109952882114e-06,7.145973955248804e-05,6.722933292388916,6.690265655517578,2.586554731817566,2.02048467656463,7.006371974945068,588.921875,21.1
34,1.930946811372167e-06,7.33906863638602e-05,6.72305154800415,6.691822528839111,2.5868556303271735,2.0244592483050248,7.0121214389801025,589.52734375,23.7
35,1.9327828254069585e-06,7.532346918926716e-05,6.722667217254639,6.690938472747803,2.586684809152606,2.017750691726742,7.022475481033325,591.5625,24.5
36,1.97976829203261e-06,7.730323748129978e-05,6.7232160568237305,6.6912760734558105,2.5867499818801702,2.023367445212446,7.037884473800659,594.06640625,24.1
37,2.210205542558063e-06,7.951344302385784e-05,6.7231574058532715,6.690309047698975,2.5865631830741442,2.0181931377602917,7.342161417007446,595.171875,34.8
38,2.8744111307037377e-06,8.238785415456158e-05,6.7228169441223145,6.692011833190918,2.586892230558054,2.024411949877359,8.060757637023926,596.2890625,42.5
39,2.0535282592594297e-06,8.444138241382101e-05,6.723128795623779,6.691136360168457,2.5867230721716266,2.023265707555671,7.093029975891113,598.7265625,21.2
40,2.045649091681629e-06,8.648703150550265e-05,6.723116874694824,6.691189289093018,2.586733147767039,2.022815829871799,7.069056034088135,600.61328125,23.7
41,2.1532158368909137e-06,8.864024734239356e-05,6.722839832305908,6.690647125244141,2.5866282611688938,2.0228612646789714,7.204259872436523,602.35546875,23.0
42,2.0325301215716133e-06,9.067277746396517e-05,6.723039627075195,6.6901044845581055,2.586523682760995,2.0203383756026327,7.083075284957886,603.734375,23.9
43,2.2428318952375742e-06,9.291560935920275e-05,6.72289514541626,6.691351413726807,2.586764592172691,2.0238352460988147,7.3170342445373535,606.15625,26.6
44,2.106584040892938e-06,9.502219340009569e-05,6.72260856628418,6.693141460418701,2.5871105547045485,2.027078346879754,7.219029426574707,607.55078125,19.7
45,2.0407506153416072e-06,9.70629440154373e-05,6.722668170928955,6.690377712249756,2.586576415688907,2.0171786874965205,7.115326642990112,609.6796875,20.6
46,2.04484896202104e-06,9.910779297745834e-05,6.722753524780273,6.6908369064331055,2.5866653945662748,2.0228910176300197,7.121833562850952,611.19921875,22.7
47,2.1271538102185964e-06,0.00010123494678767693,6.723259925842285,6.690482139587402,2.5865967632350553,2.0185569532224314,7.1914989948272705,613.12890625,19.4
48,2.1426055685520185e-06,0.00010337755235622895,6.721960544586182,6.6918559074401855,2.586862013535008,2.0256172840239137,7.189167261123657,615.20703125,21.6
49,2.235786106042992e-06,0.00010561333846227194,6.722700595855713,6.690638065338135,2.58662693132506,2.0231552364863306,7.327600717544556,614.82421875,24.3
50,2.073073546326014e-06,0.00010768641200859796,6.72275972366333,6.690594673156738,2.586618242838456,2.0182603265437704,7.168307542800903,614.3671875,23.8
