epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,recall,ndcg
1,1.6150045489879976e-05,1.6150045489879976e-05,191.90261465700274,1.161291414102042,0.03956666666666666,0.02302532829379972
2,1.6897676571284414e-05,3.304772206116439e-05,154.6720538853683,1.2994805470070134,0.03223809523809523,0.01901844067690033
3,1.6334662695453407e-05,4.93823847566178e-05,144.89224356481574,1.39590593306474,0.0415,0.02242736287650689
4,1.6387635219107743e-05,6.577001997572554e-05,141.74008526478474,1.4525902609404477,0.0389,0.01745254628452818
5,1.625416193260081e-05,8.202418190832636e-05,138.80554230478754,1.4960296319691861,0.03478571428571429,0.018238154611586316
6,1.6471258511862794e-05,9.849544042018915e-05,115.64742752837158,1.4394515803697479,0.016566666666666667,0.009298333604509199
7,1.6668437981048605e-05,0.00011516387840123776,79.40223229831983,1.3163341720983224,0.029,0.01599826486443098
8,1.6073294344934938e-05,0.0001312371727461727,69.6363920145853,1.2303690722992306,0.02425,0.012969252911907724
9,1.6221369126850508e-05,0.0001474585418730232,65.34686129834985,1.1726548459033173,0.0303,0.014390716636224361
10,1.885382444075169e-05,0.0001663123663137749,62.778094869264415,1.1392451704851398,0.014166666666666666,0.006578575728238929
11,2.3052430321806585e-05,0.00018936479663558147,60.824414281320024,1.111921368278382,0.023666666666666666,0.014324246206369576
12,1.9229417315077783e-05,0.00020859421395065926,59.25738707577831,1.1214930654324327,0.023971428571428567,0.01601863388117747
13,1.9186700701502594e-05,0.00022778091465216186,57.66910754703224,1.10466673875839,0.0184,0.00891248014079389
14,1.8481632361476078e-05,0.00024626254701363797,56.404184221763465,1.1068182929823738,0.026666666666666665,0.013805677875916843
15,1.8329882250084204e-05,0.0002645924292637222,55.75679895300871,1.1107015422728963,0.023,0.014886428960716739
16,1.831512782568042e-05,0.0002829075570894026,54.44379043090664,1.1228566909216124,0.011666666666666665,0.006486193809877006
17,1.8456144755632087e-05,0.0003013637018450347,52.40346373730219,1.125834554242051,0.0176,0.00907770271961882
18,1.8810167145917652e-05,0.00032017386899095237,49.7826347399918,1.130953449926642,0.021019047619047618,0.011867991550521423
19,1.847122826598295e-05,0.0003386450972569353,45.1418337999019,1.1234383002025727,0.013785714285714285,0.006953653179344808
20,1.8214707445526123e-05,0.0003568598047024614,40.80492637526821,1.1006328045451113,0.015333333333333332,0.010067150826791736
21,1.9712367547777008e-05,0.0003765721722502384,37.79730271255161,1.0437191682302018,0.0094,0.00525321401720544
22,1.9432433976087034e-05,0.00039600460622632547,35.29230285087712,0.9919319558223301,0.007333333333333332,0.0035160094487741837
23,1.9540156218936142e-05,0.0004155447624452616,33.12564297919084,0.9297995299556487,0.017019047619047618,0.010760732246271673
24,1.8870268208748187e-05,0.0004344150306540098,31.163748373600647,0.9136456723858248,0.008333333333333333,0.0037041779551070285
25,1.923595266208566e-05,0.00045365098331609543,29.803785981045184,0.8804701128808973,0.013166666666666667,0.006811987321193801
26,1.8565697231352127e-05,0.00047221668054744757,29.023103521056427,0.8724926201397821,0.008019047619047618,0.005702355397828308
27,1.831286029953616e-05,0.0004905295408469837,28.181442194803118,0.8595665391246851,0.009666666666666665,0.004616421041809965
28,1.9276023487538628e-05,0.0005098055643345224,27.527046438063305,0.8542678070011827,0.007535714285714285,0.0037944525839756745
29,1.8288552929551305e-05,0.0005280941172640737,27.14106270842607,0.8510712775836619,0.010399999999999998,0.005745173348431052
30,1.9765446432573077e-05,0.0005478595636966468,26.7268808635951,0.8483941150467068,0.004066666666666666,0.002076247037554516
31,1.843318783747818e-05,0.000566292751534125,26.394090767248645,0.8459676334875545,0.0047333333333333324,0.0022702590524617105
32,1.866025090286068e-05,0.0005849530024369857,26.054396611017086,0.8429923263947491,0.007833333333333333,0.004738824167799377
33,1.953907974290752e-05,0.0006044920821798932,25.88748138173747,0.8416180139089842,0.0025666666666666663,0.0012796001132616653
34,1.9507967587667227e-05,0.0006240000497675604,25.541320358745267,0.8332150686841314,0.008666666666666666,0.005472579147265231
35,1.590790058236107e-05,0.0006399079503499215,25.45694138481736,0.8416365378144426,0.004666666666666666,0.002576717901978972
36,1.6035379159380354e-05,0.0006559433295093019,25.139241581231776,0.8392015318427202,0.010166666666666666,0.00574318222816211
37,1.614604204404898e-05,0.0006720893715533509,24.963939659421484,0.8359123485532809,0.008833333333333332,0.005333255642225362
38,1.8621897501043065e-05,0.0006907112690543939,24.900543950431327,0.835687101405545,0.004166666666666667,0.002825583449810674
39,1.8186426602242225e-05,0.0007088976956566361,24.745905305908828,0.83810937068305,0.006066666666666666,0.003200706632681463
40,1.7238425797276364e-05,0.0007261361214539125,24.582083305231894,0.8363579932352498,0.004619047619047619,0.0022806910105094306
41,1.605851051113384e-05,0.0007421946319650463,24.400240916448734,0.831616877205386,0.005,0.0031652180307567774
42,1.6091864810325744e-05,0.0007582864967753721,24.383661441094745,0.8399790465609221,0.0,0.0
43,1.5888738442619618e-05,0.0007741752352179917,24.246782823042437,0.8385592936011224,0.0027333333333333333,0.002369522649748926
44,1.598342856572628e-05,0.000790158663783718,24.087614586960797,0.8387734913362169,0.004333333333333333,0.0020805682344787898
45,1.5818186182741577e-05,0.0008059768499664595,24.061755381839376,0.8317511968919014,0.0064,0.0026141973840771806
46,1.6265136052837197e-05,0.0008222419860192967,24.07604967769374,0.8323798276310003,0.0075,0.0033512630551828728
47,1.607522976392096e-05,0.0008383172157832177,23.895143645673645,0.8345851666442758,0.004,0.00310130108543929
48,1.5937935585811518e-05,0.0008542551513690292,23.98320513101302,0.8307117720677248,0.0021666666666666666,0.0009497746922322709
49,1.596925089661136e-05,0.0008702244022656406,23.936721584403102,0.8362733921517292,0.005066666666666666,0.002671290962297093
50,1.600730243967935e-05,0.0008862317047053199,23.892272429032758,0.8336643064817594,0.005333333333333333,0.002304054711184084
