epoch,train_loss,val_rmse,recall@5,recall@10,recall@20,recall@50,ndcg@5,ndcg@10,ndcg@20,ndcg@50
0,0.6880462299119557,3.472804608773713,0.015251844717085988,0.020688380218680965,0.029155623299806574,0.05003876229583929,0.04536429843856562,0.0383392289910905,0.0364578380895624,0.04154950405074778
1,0.6710412111503399,3.4497732885595433,0.02366637239737852,0.030208052584999003,0.040934772447959164,0.06878623130228163,0.07052625912154496,0.05778482490395969,0.05315235747938336,0.05963965230614349
2,0.6571405795236297,3.4208075244556557,0.026160597152434423,0.03529356835399616,0.04835895565782868,0.07724931558600118,0.0743533789325714,0.06273657785744802,0.05858038995776471,0.0650597543411591
3,0.6421265692900349,3.3833802444047327,0.02658549289081478,0.03917511304067271,0.05350976982223545,0.08470763565487768,0.07402250898263277,0.06622975696105272,0.06255506735191846,0.06926969561790151
4,0.6285859932173167,3.338720189165758,0.027211337751261756,0.04024715648171806,0.05493591829333665,0.08901267111435186,0.07510031318935093,0.06698574662139822,0.06323447183973673,0.07133826256128302
5,0.6163107782010211,3.289116619443284,0.02791760974583469,0.039872302075089266,0.05477058138573758,0.0905328323056971,0.07595838637549429,0.06668469249464516,0.06315164686175324,0.07210572387154753
6,0.6101176174271186,3.235665227618357,0.02718158355803071,0.039104048020270815,0.056960788572632946,0.09557691769504609,0.07493294389231414,0.06591241939302432,0.06443095622393917,0.07435447185450432
7,0.5986173083450621,3.1851839213312982,0.026838670358269066,0.038359765090093416,0.0609030680478846,0.1021361052188812,0.07398676815783733,0.0654002214831248,0.06666498531540554,0.07771495436669484
8,0.5959020191470519,3.1462309026531816,0.027464346105577176,0.043371844864655285,0.06379422841536755,0.10836682645903513,0.07573165600706445,0.07058120368254507,0.06973527106320059,0.08209158416962882
9,0.573435163813711,3.112366348717307,0.028719277144103654,0.046156675608161515,0.06550031129056773,0.11501691082735424,0.07768963468675726,0.07394614864381788,0.07184290099812535,0.08612233051723964
10,0.5600981592342553,3.0733003638604353,0.0289834536970491,0.04760201937296547,0.06798162614666813,0.12231871628043914,0.07916230280193055,0.07614109839316852,0.0743563526559579,0.09013078001236366
11,0.5543064665320693,3.0277614712305443,0.028720447653689658,0.048000368543109476,0.07300993571160516,0.12942096821868707,0.07935307163204273,0.07724535109009349,0.07789844702170091,0.09413919992585698
12,0.5359216075069857,2.9819620611166004,0.028662723536259357,0.04862362513203076,0.07761106268191056,0.13917802176637453,0.07829422905632386,0.07731375907941668,0.08027488977821763,0.09867420359629611
13,0.5355620696055179,2.9445509957405354,0.028612771350286323,0.04937411698456617,0.08095434063346556,0.14523308175012015,0.07671872888868071,0.07698397396152269,0.08213400242295239,0.101273761558144
14,0.5162290363911761,2.9049511742910767,0.028220117732206326,0.050283190030332436,0.08294962552688008,0.15205442090372928,0.07535363892837421,0.07764061640560235,0.0834257300575845,0.10474032379318363
15,0.5038501348716534,2.856733932075512,0.02798726368601398,0.051461598345611884,0.0846615929472263,0.15857200095947435,0.07477210053804818,0.07807670787127029,0.08436373899099703,0.10781019989503507
16,0.48919434571108283,2.8073483994783683,0.028387563101895663,0.05088674471334859,0.0868420125367951,0.16419687378610764,0.07543485664741341,0.0778921376716091,0.08557622434835242,0.1106087367694648
17,0.4965452395527568,2.7678015837038323,0.02839868683338932,0.04963550859162475,0.08835826857112723,0.17104471818595607,0.07660355985789083,0.07732448527884174,0.08645087011104707,0.1138148991320164
18,0.4780254495854409,2.7328703851770833,0.02872110941880966,0.050261253242746946,0.09003127112005738,0.17941197716710267,0.07811514098402683,0.07859883613769456,0.08751526749877796,0.1178678180839657
19,0.46064222226079726,2.6951344795339915,0.02853840850851726,0.05108393387458009,0.09110266036392588,0.1821775267151238,0.07943131581941205,0.08021140164435514,0.08897867022136485,0.11983837364781827
20,0.4526892813230982,2.662761110397599,0.02822437869067497,0.05111277134020551,0.09226575510950923,0.1817144196965531,0.07994551451498007,0.08048003002263486,0.08989814122279444,0.12015867025958643
21,0.4453782807912258,2.627487627590627,0.02854115165737923,0.05135206293982138,0.09222756633625202,0.1806699445042722,0.07982132252890141,0.08085390669311635,0.09030550639302688,0.1202088542011613
22,0.44117375549101673,2.58783763254181,0.028730967684632215,0.051894741186899095,0.09340800253293591,0.18291312354538708,0.07956943886987107,0.08109252222653361,0.09124275707112929,0.12158283125704983
