epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse
0,740.90234375,19.2,37.46152877807617,0.6897391099803495,3.6005697431106216
1,789.91015625,46.2,37.565881967544556,0.6759990282406081,3.5850249926943842
2,792.79296875,46.2,37.52312088012695,0.6636952463364759,3.566682430856875
3,793.58984375,45.7,37.09662365913391,0.6471484016898452,3.54331899340421
4,793.703125,46.2,37.484017848968506,0.6371388812728276,3.5121115839277657
5,793.8515625,46.5,39.39528131484985,0.6304011537539248,3.479804357165868
6,794.546875,52.4,39.385417461395264,0.6192652710226197,3.455178552535821
7,783.42578125,49.8,37.85022950172424,0.6022705523383538,3.42692009288399
8,783.81640625,46.7,38.220698595047,0.5951937534951216,3.395516191050563
9,784.14453125,46.0,37.51898646354675,0.5919916418214507,3.3638542215346683
10,784.58203125,46.1,36.872843742370605,0.5580809222151901,3.3207222914995964
11,785.0078125,46.3,37.516353130340576,0.5538445548505972,3.2791726829270496
12,785.265625,47.1,37.46306562423706,0.544537791511081,3.2425713978722106
13,785.265625,46.9,37.45653820037842,0.5157661479829952,3.2068115107865562
14,785.3203125,46.6,37.41031289100647,0.5198098308992701,3.1694418554723605
15,785.32421875,45.4,37.18185377120972,0.5058949149602296,3.1334935770527648
16,785.3515625,45.9,37.46130728721619,0.4951951932828158,3.0950435430621503
17,785.3515625,46.6,35.44567108154297,0.4798117206191385,3.0609013662831637
18,785.3515625,44.3,35.288477659225464,0.47410225390598476,3.0261068090957166
19,785.34765625,43.6,37.43533945083618,0.4664927258791513,2.9884364050502383
20,785.45703125,46.5,37.21385049819946,0.4690876220235761,2.95884148315575
21,785.61328125,45.6,37.649970293045044,0.4363376800982368,2.929083141128833
22,785.6171875,46.6,50.30466318130493,0.43721335735542094,2.8980514682374823
23,785.6171875,63.4,37.38052845001221,0.43947558572750217,2.8774292365336143
24,785.6171875,45.8,38.396111726760864,0.43117594789985,2.862600291881863
25,785.61328125,48.4,37.75020408630371,0.4165000706318988,2.849195694496564
26,785.62109375,47.3,37.757317304611206,0.41471368074417114,2.835687681672345
27,785.74609375,47.0,35.815666913986206,0.41398343443870544,2.815998598352136
28,785.80859375,43.8,35.88533926010132,0.39486940704434126,2.7926268308902724
29,785.81640625,43.6,35.95789980888367,0.40567504522816233,2.7745128533990537
30,785.92578125,44.9,37.88527226448059,0.39420022036855584,2.7564645728081225
31,785.92578125,46.7,37.81090235710144,0.39119334540619755,2.7375399484040503
32,785.9296875,46.0,37.61550498008728,0.39279678361305337,2.7283826925799555
33,785.94140625,46.4,37.55603241920471,0.3958502962099795,2.7141759853315475
34,785.9921875,46.5,40.762980699539185,0.3884791525783918,2.706969540208053
35,785.97265625,56.2,37.79585552215576,0.371472140811137,2.7016286721200165
36,785.99609375,46.4,37.761515378952026,0.36926858156722114,2.692043747742728
37,783.66796875,47.0,37.06466722488403,0.36972059631189763,2.6775401467058946
38,785.2734375,46.4,35.75691628456116,0.3717795255168384,2.673466349850454
39,785.53515625,43.5,35.464526414871216,0.36704891181939486,2.679008046573521
40,785.54296875,43.6,35.91679763793945,0.3678067207731159,2.6848296487647225
41,785.5859375,44.2,35.753957748413086,0.36122949719429015,2.691045348524228
42,785.64453125,44.1,35.54110527038574,0.3494242719467113,2.6889710909142126
43,785.6640625,43.4,36.013036251068115,0.35062806369453076,2.677815776615637
44,785.66796875,44.6,35.52615976333618,0.354206362820619,2.667221084293553
45,785.78515625,44.0,35.79356026649475,0.35863132468911985,2.6567965651905467
46,785.84765625,44.4,35.32560634613037,0.35368747344080187,2.6417986845742134
47,785.87109375,43.5,35.628942012786865,0.34703375203719994,2.631098779330674
48,785.875,43.7,35.52523326873779,0.35677521568260445,2.6298090603940802
49,785.87109375,43.8,35.884676694869995,0.3570942363202177,2.627135987608375
