epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,mae
0,2.4400241607046724e-05,2.4400241607046724e-05,1387764.8229166667,2.1754362737839905,1.9266584162518017
1,2.025005722368546e-05,4.465029883073219e-05,278775.7552083333,1.1768029792642052,0.9623500352963178
2,2.0458047066707244e-05,6.510834589743944e-05,307919.34375,1.1577605165058502,0.9347044264535701
3,2.0248303617985096e-05,8.535664951542453e-05,206269.1796875,1.3336579103539767,1.1053610455010023
4,2.16957756198748e-05,0.00010705242513529934,171336.578125,1.4487899179710166,1.2251024547394447
5,2.0392526487228445e-05,0.0001274449516225278,168513.9296875,1.3465019380671233,1.1266136359484815
6,2.0097304289375663e-05,0.00014754225591190345,154949.93229166666,1.23942039328392,1.0236261729088252
7,1.9507831353765138e-05,0.0001670500872656686,154341.81510416666,1.2339076845549597,1.0176474624692895
8,1.9531817469076544e-05,0.00018658190473474514,149162.89583333334,1.2652782285164526,1.048934406129044
9,1.9619025718909285e-05,0.00020620093045365442,152678.59895833334,1.27269833701035,1.0574850591150973
10,1.9580917695858157e-05,0.00022578184814951258,146518.31510416666,1.247275205283906,1.0337651244643244
11,1.9563345576810612e-05,0.0002453451937263232,148754.37760416666,1.230423033599621,1.0175321836430606
12,1.9633265112775415e-05,0.0002649784588390986,143626.4140625,1.2325077824313504,1.0191359660637638
13,2.452363364484496e-05,0.00028950209248394354,148277.05729166666,1.2265322711247637,1.014316230159283
14,2.356608015866526e-05,0.0003130681726426088,146292.27864583334,1.2161177721093797,1.0049634318346214
15,1.9946701531501763e-05,0.00033301487417411056,147468.21614583334,1.221506823253576,1.0099806023477618
16,1.997917209969698e-05,0.0003529940462738075,141294.13802083334,1.2179517970092255,1.0066801414390252
17,2.0600876963053082e-05,0.0003735949232368606,141130.36458333334,1.1987832989406824,0.9886950273938853
18,1.9754917672650875e-05,0.0003933498409095115,144715.5078125,1.2024364453211103,0.9923522419874966
19,1.959524575691216e-05,0.00041294508666642367,147892.97135416666,1.2097747107540417,0.9993220535410272
20,1.9907866578229908e-05,0.0004328529532446536,146455.09114583334,1.1965209238257306,0.9869296335795958
21,1.9588931851454787e-05,0.00045244188509610837,143528.06770833334,1.1920475352456237,0.9829260528435038
22,1.9590372292522345e-05,0.0004720322573886307,144835.55598958334,1.1883906765267003,0.9800394296644926
23,1.955425344049422e-05,0.0004915865108291249,140030.02864583334,1.1901717202409259,0.9816295329452572
24,1.9477756278497184e-05,0.000511064267107622,143287.66145833334,1.1846513344058587,0.9758850290719259
25,1.970498646471869e-05,0.0005307692535723407,144086.03385416666,1.1790275651115762,0.9711157166201393
26,1.9724022759756658e-05,0.0005504932763320974,140602.61979166666,1.1739005492816188,0.9666435820349532
27,1.952367307014414e-05,0.0005700169494022415,140977.359375,1.1754478732890277,0.9680502179832905
28,1.9536744955360908e-05,0.0005895536943576024,137329.92578125,1.167204503220044,0.9607749867260017
29,1.9933035370197226e-05,0.0006094867297277996,142405.55989583334,1.1655725871739746,0.9593845855285
30,1.9592627351256547e-05,0.0006290793570790562,139686.828125,1.1643848782179693,0.9578453123571277
31,1.9656921547238838e-05,0.000648736278626295,137188.8515625,1.1630766302030409,0.9574373359848035
32,1.9617824529122664e-05,0.0006683541031554177,137074.58203125,1.1564259230858134,0.9509789677616206
33,1.95763049419143e-05,0.000687930408097332,137006.89453125,1.1545246069247233,0.9493644042032285
34,1.9652642819126688e-05,0.0007075830509164587,134267.5546875,1.158820020673577,0.9537118585259334
35,1.9501321443636003e-05,0.0007270843723600947,131865.41015625,1.1525230805940865,0.9480385097670864
36,1.959935852378729e-05,0.000746683730883882,138571.70963541666,1.1512222721548693,0.9471829313759473
37,1.9550462481990368e-05,0.0007662341933658723,130320.20442708333,1.1472920126237516,0.9432199565613976
38,2.0121635619260712e-05,0.000786355828985133,131694.34765625,1.1447650743506452,0.9409349220400994
39,1.9677078832492758e-05,0.0008060329078176258,129855.84635416667,1.1429693481221914,0.9394765834224775
40,1.9616656140395153e-05,0.0008256495639580209,131777.01302083334,1.142307637114552,0.9393292238658892
41,1.9648475061913556e-05,0.0008452980390199345,130111.15234375,1.140573915366971,0.9378258638847683
42,1.9544252190415226e-05,0.0008648422912103497,128072.19661458333,1.1376777792264157,0.9349855478582625
43,1.954485498833817e-05,0.0008843871461986879,133167.14973958334,1.1373554573359046,0.934993533581554
44,1.9517320135724207e-05,0.000903904466334412,128011.12239583333,1.135157354118836,0.9327805131220018
45,1.962304489173629e-05,0.0009235275112261483,127552.75911458333,1.129033390594662,0.9273026293827766
46,1.9677412094419656e-05,0.0009432049233205679,127774.83984375,1.1308103379498327,0.9289533662200814
47,1.967318322206423e-05,0.0009628781065426322,125708.09114583333,1.1283484999202953,0.9270986096440713
48,1.9608609691188367e-05,0.0009824867162338206,126393.90625,1.1256575078368523,0.9247153543305394
49,1.95183090206354e-05,0.001002005025254456,125636.13802083333,1.1244922952775664,0.923319240797081
