epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
24,430.21875,29.6,9.265804529190063,"tf.Tensor(1.1457261, shape=(), dtype=float32)","tf.Tensor(0.80286425, shape=(), dtype=float32)","tf.Tensor(1.38562, shape=(), dtype=float32)","tf.Tensor(0.9580264, shape=(), dtype=float32)"
25,432.87890625,22.1,9.216090202331543,"tf.Tensor(1.1242481, shape=(), dtype=float32)","tf.Tensor(0.78805494, shape=(), dtype=float32)","tf.Tensor(1.3819044, shape=(), dtype=float32)","tf.Tensor(0.95562947, shape=(), dtype=float32)"
26,435.47265625,19.8,9.235622644424438,"tf.Tensor(1.1019354, shape=(), dtype=float32)","tf.Tensor(0.7721603, shape=(), dtype=float32)","tf.Tensor(1.3789982, shape=(), dtype=float32)","tf.Tensor(0.95231783, shape=(), dtype=float32)"
27,438.1328125,21.6,9.220813751220703,"tf.Tensor(1.0790895, shape=(), dtype=float32)","tf.Tensor(0.7559643, shape=(), dtype=float32)","tf.Tensor(1.3745295, shape=(), dtype=float32)","tf.Tensor(0.94920576, shape=(), dtype=float32)"
28,440.78125,22.2,9.363224267959595,"tf.Tensor(1.0554813, shape=(), dtype=float32)","tf.Tensor(0.73904186, shape=(), dtype=float32)","tf.Tensor(1.3719251, shape=(), dtype=float32)","tf.Tensor(0.948473, shape=(), dtype=float32)"
29,444.390625,26.9,9.26909327507019,"tf.Tensor(1.0311645, shape=(), dtype=float32)","tf.Tensor(0.722081, shape=(), dtype=float32)","tf.Tensor(1.3669794, shape=(), dtype=float32)","tf.Tensor(0.94495314, shape=(), dtype=float32)"
30,446.98828125,25.2,9.303003549575806,"tf.Tensor(1.0064479, shape=(), dtype=float32)","tf.Tensor(0.7047909, shape=(), dtype=float32)","tf.Tensor(1.364911, shape=(), dtype=float32)","tf.Tensor(0.94466966, shape=(), dtype=float32)"
31,449.7421875,26.3,9.254448890686035,"tf.Tensor(0.9816854, shape=(), dtype=float32)","tf.Tensor(0.68729204, shape=(), dtype=float32)","tf.Tensor(1.3617518, shape=(), dtype=float32)","tf.Tensor(0.9428065, shape=(), dtype=float32)"
32,452.37109375,23.4,9.281686544418335,"tf.Tensor(0.9566526, shape=(), dtype=float32)","tf.Tensor(0.66968125, shape=(), dtype=float32)","tf.Tensor(1.3596929, shape=(), dtype=float32)","tf.Tensor(0.941711, shape=(), dtype=float32)"
33,454.99609375,26.1,9.312523603439331,"tf.Tensor(0.93216586, shape=(), dtype=float32)","tf.Tensor(0.652352, shape=(), dtype=float32)","tf.Tensor(1.3601264, shape=(), dtype=float32)","tf.Tensor(0.9426114, shape=(), dtype=float32)"
34,457.6796875,23.2,9.43245244026184,"tf.Tensor(0.9082212, shape=(), dtype=float32)","tf.Tensor(0.6347623, shape=(), dtype=float32)","tf.Tensor(1.3581297, shape=(), dtype=float32)","tf.Tensor(0.9407364, shape=(), dtype=float32)"
35,460.25,20.4,9.258234024047852,"tf.Tensor(0.88545424, shape=(), dtype=float32)","tf.Tensor(0.6186736, shape=(), dtype=float32)","tf.Tensor(1.3592733, shape=(), dtype=float32)","tf.Tensor(0.9419537, shape=(), dtype=float32)"
36,462.9296875,27.4,9.376654863357544,"tf.Tensor(0.86296326, shape=(), dtype=float32)","tf.Tensor(0.60311043, shape=(), dtype=float32)","tf.Tensor(1.3608272, shape=(), dtype=float32)","tf.Tensor(0.94379735, shape=(), dtype=float32)"
37,465.4921875,27.7,9.037884950637817,"tf.Tensor(0.8413218, shape=(), dtype=float32)","tf.Tensor(0.58767897, shape=(), dtype=float32)","tf.Tensor(1.3621416, shape=(), dtype=float32)","tf.Tensor(0.9461617, shape=(), dtype=float32)"
38,468.1796875,20.4,8.883713245391846,"tf.Tensor(0.82053006, shape=(), dtype=float32)","tf.Tensor(0.57259905, shape=(), dtype=float32)","tf.Tensor(1.3641968, shape=(), dtype=float32)","tf.Tensor(0.9480263, shape=(), dtype=float32)"
39,470.7734375,17.3,8.82416558265686,"tf.Tensor(0.80104303, shape=(), dtype=float32)","tf.Tensor(0.5587552, shape=(), dtype=float32)","tf.Tensor(1.3667006, shape=(), dtype=float32)","tf.Tensor(0.95101196, shape=(), dtype=float32)"
40,473.4296875,16.4,8.953457832336426,"tf.Tensor(0.7823164, shape=(), dtype=float32)","tf.Tensor(0.54493093, shape=(), dtype=float32)","tf.Tensor(1.3696877, shape=(), dtype=float32)","tf.Tensor(0.9535493, shape=(), dtype=float32)"
41,476.046875,19.1,8.90162467956543,"tf.Tensor(0.764296, shape=(), dtype=float32)","tf.Tensor(0.53164244, shape=(), dtype=float32)","tf.Tensor(1.3727559, shape=(), dtype=float32)","tf.Tensor(0.9575006, shape=(), dtype=float32)"
42,478.70703125,15.5,8.824897527694702,"tf.Tensor(0.7468919, shape=(), dtype=float32)","tf.Tensor(0.5187135, shape=(), dtype=float32)","tf.Tensor(1.3772237, shape=(), dtype=float32)","tf.Tensor(0.9617233, shape=(), dtype=float32)"
43,481.33203125,15.5,8.996952295303345,"tf.Tensor(0.73046017, shape=(), dtype=float32)","tf.Tensor(0.5066712, shape=(), dtype=float32)","tf.Tensor(1.3802758, shape=(), dtype=float32)","tf.Tensor(0.96474475, shape=(), dtype=float32)"
44,483.97265625,19.1,9.415066719055176,"tf.Tensor(0.7144666, shape=(), dtype=float32)","tf.Tensor(0.4949091, shape=(), dtype=float32)","tf.Tensor(1.3823586, shape=(), dtype=float32)","tf.Tensor(0.9673601, shape=(), dtype=float32)"
45,486.59765625,28.7,9.477023363113403,"tf.Tensor(0.6991897, shape=(), dtype=float32)","tf.Tensor(0.4836066, shape=(), dtype=float32)","tf.Tensor(1.386684, shape=(), dtype=float32)","tf.Tensor(0.97078705, shape=(), dtype=float32)"
46,489.22265625,24.2,9.115131855010986,"tf.Tensor(0.68484896, shape=(), dtype=float32)","tf.Tensor(0.4729972, shape=(), dtype=float32)","tf.Tensor(1.3918145, shape=(), dtype=float32)","tf.Tensor(0.976877, shape=(), dtype=float32)"
47,491.8515625,15.6,9.1906156539917,"tf.Tensor(0.6710614, shape=(), dtype=float32)","tf.Tensor(0.4626214, shape=(), dtype=float32)","tf.Tensor(1.3948588, shape=(), dtype=float32)","tf.Tensor(0.9784658, shape=(), dtype=float32)"
48,494.4765625,18.6,9.049319505691528,"tf.Tensor(0.65721595, shape=(), dtype=float32)","tf.Tensor(0.4523403, shape=(), dtype=float32)","tf.Tensor(1.3995179, shape=(), dtype=float32)","tf.Tensor(0.983751, shape=(), dtype=float32)"
49,497.1015625,20.7,9.21602201461792,"tf.Tensor(0.64420795, shape=(), dtype=float32)","tf.Tensor(0.4427412, shape=(), dtype=float32)","tf.Tensor(1.4047829, shape=(), dtype=float32)","tf.Tensor(0.9896686, shape=(), dtype=float32)"
