epoch,train_rmse,valid_rmse
0,"tf.Tensor(8.36839, shape=(), dtype=float32)","tf.Tensor(8.404436, shape=(), dtype=float32)"
1,"tf.Tensor(5.637304, shape=(), dtype=float32)","tf.Tensor(5.6750712, shape=(), dtype=float32)"
2,"tf.Tensor(3.93546, shape=(), dtype=float32)","tf.Tensor(3.9735806, shape=(), dtype=float32)"
3,"tf.Tensor(2.9852502, shape=(), dtype=float32)","tf.Tensor(3.0210485, shape=(), dtype=float32)"
4,"tf.Tensor(2.4056382, shape=(), dtype=float32)","tf.Tensor(2.439277, shape=(), dtype=float32)"
5,"tf.Tensor(2.069643, shape=(), dtype=float32)","tf.Tensor(2.097433, shape=(), dtype=float32)"
6,"tf.Tensor(1.8700563, shape=(), dtype=float32)","tf.Tensor(1.8950284, shape=(), dtype=float32)"
7,"tf.Tensor(1.7242151, shape=(), dtype=float32)","tf.Tensor(1.7547129, shape=(), dtype=float32)"
8,"tf.Tensor(1.6339457, shape=(), dtype=float32)","tf.Tensor(1.6694254, shape=(), dtype=float32)"
9,"tf.Tensor(1.5683945, shape=(), dtype=float32)","tf.Tensor(1.608325, shape=(), dtype=float32)"
10,"tf.Tensor(1.5165869, shape=(), dtype=float32)","tf.Tensor(1.5632179, shape=(), dtype=float32)"
11,"tf.Tensor(1.4679519, shape=(), dtype=float32)","tf.Tensor(1.5248555, shape=(), dtype=float32)"
12,"tf.Tensor(1.4281133, shape=(), dtype=float32)","tf.Tensor(1.493407, shape=(), dtype=float32)"
13,"tf.Tensor(1.3952092, shape=(), dtype=float32)","tf.Tensor(1.4725634, shape=(), dtype=float32)"
14,"tf.Tensor(1.3672895, shape=(), dtype=float32)","tf.Tensor(1.4567127, shape=(), dtype=float32)"
15,"tf.Tensor(1.3415664, shape=(), dtype=float32)","tf.Tensor(1.4450243, shape=(), dtype=float32)"
16,"tf.Tensor(1.317918, shape=(), dtype=float32)","tf.Tensor(1.4354687, shape=(), dtype=float32)"
17,"tf.Tensor(1.295466, shape=(), dtype=float32)","tf.Tensor(1.4268405, shape=(), dtype=float32)"
18,"tf.Tensor(1.2734731, shape=(), dtype=float32)","tf.Tensor(1.4198669, shape=(), dtype=float32)"
19,"tf.Tensor(1.2514838, shape=(), dtype=float32)","tf.Tensor(1.4130476, shape=(), dtype=float32)"
20,"tf.Tensor(1.2301573, shape=(), dtype=float32)","tf.Tensor(1.4069504, shape=(), dtype=float32)"
21,"tf.Tensor(1.2090833, shape=(), dtype=float32)","tf.Tensor(1.4009398, shape=(), dtype=float32)"
22,"tf.Tensor(1.1883111, shape=(), dtype=float32)","tf.Tensor(1.3954364, shape=(), dtype=float32)"
23,"tf.Tensor(1.1668994, shape=(), dtype=float32)","tf.Tensor(1.3904327, shape=(), dtype=float32)"
24,"tf.Tensor(1.1457261, shape=(), dtype=float32)","tf.Tensor(1.38562, shape=(), dtype=float32)"
25,"tf.Tensor(1.1242481, shape=(), dtype=float32)","tf.Tensor(1.3819044, shape=(), dtype=float32)"
26,"tf.Tensor(1.1019354, shape=(), dtype=float32)","tf.Tensor(1.3789982, shape=(), dtype=float32)"
27,"tf.Tensor(1.0790895, shape=(), dtype=float32)","tf.Tensor(1.3745295, shape=(), dtype=float32)"
28,"tf.Tensor(1.0554813, shape=(), dtype=float32)","tf.Tensor(1.3719251, shape=(), dtype=float32)"
29,"tf.Tensor(1.0311645, shape=(), dtype=float32)","tf.Tensor(1.3669794, shape=(), dtype=float32)"
30,"tf.Tensor(1.0064479, shape=(), dtype=float32)","tf.Tensor(1.364911, shape=(), dtype=float32)"
31,"tf.Tensor(0.9816854, shape=(), dtype=float32)","tf.Tensor(1.3617518, shape=(), dtype=float32)"
32,"tf.Tensor(0.9566526, shape=(), dtype=float32)","tf.Tensor(1.3596929, shape=(), dtype=float32)"
33,"tf.Tensor(0.93216586, shape=(), dtype=float32)","tf.Tensor(1.3601264, shape=(), dtype=float32)"
34,"tf.Tensor(0.9082212, shape=(), dtype=float32)","tf.Tensor(1.3581297, shape=(), dtype=float32)"
35,"tf.Tensor(0.88545424, shape=(), dtype=float32)","tf.Tensor(1.3592733, shape=(), dtype=float32)"
36,"tf.Tensor(0.86296326, shape=(), dtype=float32)","tf.Tensor(1.3608272, shape=(), dtype=float32)"
37,"tf.Tensor(0.8413218, shape=(), dtype=float32)","tf.Tensor(1.3621416, shape=(), dtype=float32)"
38,"tf.Tensor(0.82053006, shape=(), dtype=float32)","tf.Tensor(1.3641968, shape=(), dtype=float32)"
39,"tf.Tensor(0.80104303, shape=(), dtype=float32)","tf.Tensor(1.3667006, shape=(), dtype=float32)"
40,"tf.Tensor(0.7823164, shape=(), dtype=float32)","tf.Tensor(1.3696877, shape=(), dtype=float32)"
41,"tf.Tensor(0.764296, shape=(), dtype=float32)","tf.Tensor(1.3727559, shape=(), dtype=float32)"
42,"tf.Tensor(0.7468919, shape=(), dtype=float32)","tf.Tensor(1.3772237, shape=(), dtype=float32)"
43,"tf.Tensor(0.73046017, shape=(), dtype=float32)","tf.Tensor(1.3802758, shape=(), dtype=float32)"
44,"tf.Tensor(0.7144666, shape=(), dtype=float32)","tf.Tensor(1.3823586, shape=(), dtype=float32)"
45,"tf.Tensor(0.6991897, shape=(), dtype=float32)","tf.Tensor(1.386684, shape=(), dtype=float32)"
46,"tf.Tensor(0.68484896, shape=(), dtype=float32)","tf.Tensor(1.3918145, shape=(), dtype=float32)"
47,"tf.Tensor(0.6710614, shape=(), dtype=float32)","tf.Tensor(1.3948588, shape=(), dtype=float32)"
48,"tf.Tensor(0.65721595, shape=(), dtype=float32)","tf.Tensor(1.3995179, shape=(), dtype=float32)"
49,"tf.Tensor(0.64420795, shape=(), dtype=float32)","tf.Tensor(1.4047829, shape=(), dtype=float32)"
