epoch,train_loss,val_loss,val_rmse,val_mae
0,94.32591000975088,23.830176931034476,4.8816162212672385,3.939145603122654
1,10.998006771832355,5.405501589749751,2.324973460000284,1.762402332470692
2,3.752822644670969,3.137936243533978,1.7714220965545817,1.2860308116014902
3,2.713276903997124,2.710077144962504,1.6462311943928432,1.1776375470741927
4,2.4790383376032508,2.5827929056167163,1.607106998622652,1.1466491184600316
5,2.3824381636177634,2.5278532381337517,1.5899223999174437,1.1335541631531623
6,2.3259320718285244,2.491924988124739,1.5785832218169062,1.125455795432602
7,2.2863393574679423,2.48172865436049,1.5753503275019465,1.1229103150062623
8,2.2535813526493755,2.4624093885591383,1.5692066113446808,1.1194153480591469
9,2.2221789205862854,2.4527753311812837,1.5661338804769604,1.1163324882593681
10,2.196834075943684,2.4444993625366815,1.5634894825312815,1.1139561770115969
11,2.1685104048834942,2.443410737477596,1.563141304149946,1.1120307398932887
12,2.146396697950616,2.429002350443476,1.5585256974799855,1.1124832248489476
13,2.123458518295584,2.4340446382396133,1.5601425059697447,1.1132837652857184
14,2.098199168662508,2.412780075112896,1.5533126134461364,1.10776725939995
15,2.0747198345223894,2.4067152181600253,1.5513591518035568,1.10758594875111
16,2.0525426418334427,2.401118844396442,1.549554401730639,1.1060818628781275
17,2.0279027815385793,2.3973789660201996,1.5483471724835816,1.1058048198062846
18,2.0030009153899084,2.3831222845792603,1.543736468698121,1.1015687868043824
19,1.9780961738959353,2.378855215018879,1.5423537905942146,1.1029442603661355
20,1.9521193691906482,2.372551604962894,1.5403089316136178,1.102350783353591
21,1.926740541529067,2.359211896148227,1.5359726220100522,1.0976723483925632
22,1.899275249133389,2.3466599781536894,1.5318811893612747,1.094400897150531
23,1.8749557838798592,2.342052125523233,1.5303764653651506,1.0950567297033362
24,1.847964128930614,2.3317574616474266,1.5270093194586327,1.0907353045841814
25,1.8181978785023305,2.319904977417785,1.5231234280866641,1.090037379063258
26,1.7901358169445778,2.3178826852989243,1.522459420168221,1.09082119792569
27,1.7625726732877085,2.3024742975497143,1.5173906214691362,1.0861339164622856
28,1.7306664801129685,2.2911372321779386,1.5136503002513335,1.0822405114794031
29,1.7029302707518856,2.28468018232413,1.5115158559640773,1.081632773191611
30,1.6743026315827898,2.2733142291020787,1.5077513815086299,1.0795902187869961
31,1.6419332655817884,2.2817949579229637,1.51056114022689,1.0827387100610977
32,1.617842127513783,2.2525270419738725,1.5008421108089067,1.0757581809949974
33,1.5879155855835112,2.255340479108141,1.501779104558271,1.0768034803038464
34,1.5611241233892854,2.2563280366424823,1.502107864267232,1.0761944033031678
35,1.5346482535046562,2.2542755098534557,1.5014244933297607,1.075769629492774
36,1.5097268808683733,2.252260667486316,1.5007533668214936,1.076319559211405
37,1.4794813493021293,2.2562757846196053,1.5020904714758165,1.0764978223321728
38,1.459856122329768,2.2515244358157034,1.5005080590102828,1.0752476780980198
39,1.4369747211358728,2.2434326657854564,1.4978092886360932,1.0753528823200453
40,1.4120934953626678,2.2558430080189114,1.5019464062721926,1.0788986928635367
41,1.39060616551605,2.249811793320943,1.4999372631760761,1.07584471091246
42,1.364349140723707,2.2595782315987147,1.5031893533365108,1.081084175841256
43,1.3426262517994794,2.268666502894637,1.506209315968891,1.0847651385798358
44,1.3253495474915507,2.2657489472929173,1.5052404947075382,1.0823946291261966
45,1.2973858767134407,2.2762888213012475,1.5087374926364,1.08685833566815
46,1.2829337256877174,2.2812872814619944,1.5103930882168646,1.0897036151705342
47,1.2609789649166792,2.2730518597602622,1.5076643721479561,1.0872930148259738
48,1.2386436709649506,2.282530580676161,1.5108046136884314,1.090760230445289
49,1.217060827895269,2.2965886948758003,1.5154499973609463,1.0955810976898623
