epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse,mae
0,468.12109375,16.3,7.237524032592773,94.32591000975088,4.8816162212672385,3.939145603122654
1,486.859375,24.3,6.897225618362427,10.998006771832355,2.324973460000284,1.762402332470692
2,488.890625,24.9,6.989098072052002,3.752822644670969,1.7714220965545817,1.2860308116014902
3,489.796875,22.9,7.061837673187256,2.713276903997124,1.6462311943928432,1.1776375470741927
4,490.7734375,29.1,7.198184251785278,2.4790383376032508,1.607106998622652,1.1466491184600316
5,491.9765625,30.0,7.351431846618652,2.3824381636177634,1.5899223999174437,1.1335541631531623
6,492.5859375,30.1,7.271042585372925,2.3259320718285244,1.5785832218169062,1.125455795432602
7,493.42578125,28.7,7.346853494644165,2.2863393574679423,1.5753503275019465,1.1229103150062623
8,493.3828125,28.3,7.55458927154541,2.2535813526493755,1.5692066113446808,1.1194153480591469
9,493.72265625,38.1,7.274808883666992,2.2221789205862854,1.5661338804769604,1.1163324882593681
10,494.32421875,29.9,7.402155637741089,2.196834075943684,1.5634894825312815,1.1139561770115969
11,494.65234375,34.1,7.801440000534058,2.1685104048834942,1.563141304149946,1.1120307398932887
12,495.546875,37.0,7.395115613937378,2.146396697950616,1.5585256974799855,1.1124832248489476
13,495.90625,32.3,7.449052572250366,2.123458518295584,1.5601425059697447,1.1132837652857184
14,495.90625,33.7,7.4589643478393555,2.098199168662508,1.5533126134461364,1.10776725939995
15,495.90234375,33.1,7.430892705917358,2.0747198345223894,1.5513591518035568,1.10758594875111
16,495.90234375,31.5,7.583129405975342,2.0525426418334427,1.549554401730639,1.1060818628781275
17,495.90234375,38.0,7.50833535194397,2.0279027815385793,1.5483471724835816,1.1058048198062846
18,495.89453125,33.8,7.556763410568237,2.0030009153899084,1.543736468698121,1.1015687868043824
19,495.89453125,34.6,7.338042259216309,1.9780961738959353,1.5423537905942146,1.1029442603661355
20,495.89453125,27.5,7.360090732574463,1.9521193691906482,1.5403089316136178,1.102350783353591
21,495.8984375,23.3,7.1343066692352295,1.926740541529067,1.5359726220100522,1.0976723483925632
22,495.921875,24.0,7.258501291275024,1.899275249133389,1.5318811893612747,1.094400897150531
23,495.93359375,23.7,7.160155296325684,1.8749557838798592,1.5303764653651506,1.0950567297033362
24,495.97265625,23.3,7.25162935256958,1.847964128930614,1.5270093194586327,1.0907353045841814
25,496.19921875,25.0,7.20505690574646,1.8181978785023305,1.5231234280866641,1.090037379063258
26,496.19921875,23.4,7.184784889221191,1.7901358169445778,1.522459420168221,1.09082119792569
27,496.1796875,24.8,7.243985891342163,1.7625726732877085,1.5173906214691362,1.0861339164622856
28,496.1796875,24.7,7.2225635051727295,1.7306664801129685,1.5136503002513335,1.0822405114794031
29,496.1796875,24.6,7.216165781021118,1.7029302707518856,1.5115158559640773,1.081632773191611
30,496.1796875,23.8,7.168907165527344,1.6743026315827898,1.5077513815086299,1.0795902187869961
31,496.1796875,24.1,7.252132892608643,1.6419332655817884,1.51056114022689,1.0827387100610977
32,496.36328125,28.9,7.247989654541016,1.617842127513783,1.5008421108089067,1.0757581809949974
33,496.36328125,26.9,7.235758066177368,1.5879155855835112,1.501779104558271,1.0768034803038464
34,496.36328125,23.6,7.085090398788452,1.5611241233892854,1.502107864267232,1.0761944033031678
35,496.36328125,22.6,7.2340662479400635,1.5346482535046562,1.5014244933297607,1.075769629492774
36,496.36328125,25.0,7.175623416900635,1.5097268808683733,1.5007533668214936,1.076319559211405
37,496.36328125,23.9,7.301692247390747,1.4794813493021293,1.5020904714758165,1.0764978223321728
38,496.36328125,24.3,7.351513147354126,1.459856122329768,1.5005080590102828,1.0752476780980198
39,496.36328125,24.1,7.1455302238464355,1.4369747211358728,1.4978092886360932,1.0753528823200453
40,496.36328125,22.8,7.261826753616333,1.4120934953626678,1.5019464062721926,1.0788986928635367
41,496.4765625,24.3,7.245955944061279,1.39060616551605,1.4999372631760761,1.07584471091246
42,496.4921875,24.9,7.282139539718628,1.364349140723707,1.5031893533365108,1.081084175841256
43,496.4921875,24.0,7.0935821533203125,1.3426262517994794,1.506209315968891,1.0847651385798358
44,496.4921875,22.9,7.31701135635376,1.3253495474915507,1.5052404947075382,1.0823946291261966
45,496.5,23.2,7.169708490371704,1.2973858767134407,1.5087374926364,1.08685833566815
46,496.4921875,24.6,7.371537208557129,1.2829337256877174,1.5103930882168646,1.0897036151705342
47,496.4921875,27.2,7.194345235824585,1.2609789649166792,1.5076643721479561,1.0872930148259738
48,496.4921875,22.9,7.272612810134888,1.2386436709649506,1.5108046136884314,1.090760230445289
49,496.6171875,23.9,7.248894453048706,1.217060827895269,1.5154499973609463,1.0955810976898623
