epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,loss,rmse
0,5966.28125,17.8,536.521454334259,228208.30603678038,1.1405133734535051
1,5182.859375,69.3,553.6962535381317,187281.75939498935,1.0841359572185334
2,4867.5546875,70.3,544.1542930603027,177947.31559834754,1.055602084175659
3,2246.41015625,69.8,550.9837484359741,170409.20638992538,1.0401020200680462
4,2262.23046875,71.2,539.1353669166565,164665.7764858742,1.0202630819543304
5,2271.7421875,69.6,543.7099895477295,159488.6935967484,1.0044505159689614
6,2151.10546875,70.6,538.4117937088013,154892.6796042111,0.9800110803207814
7,2159.109375,69.6,538.9006481170654,150268.3125999467,0.9622097000786486
8,2165.9375,69.7,535.2076890468597,147002.63551106077,0.9404187875581292
9,2172.6953125,69.5,551.1838247776031,143132.2070062633,0.9136648612696396
10,2068.296875,71.8,547.2368285655975,139851.74376998935,0.9004277836386937
11,2067.375,70.8,537.166510105133,137780.41984275053,0.8841341058947937
12,2075.40625,69.7,536.1441757678986,134658.6206190032,0.8772235067039497
13,2069.62890625,69.6,537.9036197662354,132110.3545275853,0.8662203304780328
14,2076.84375,69.7,537.2599103450775,129069.09741471216,0.851833600224758
15,2082.328125,69.6,552.1186754703522,126617.98642390725,0.8435865131499326
16,2084.4140625,71.0,567.9017543792725,125078.4110141258,0.8339220890674184
17,4562.65234375,69.6,535.9186849594116,123204.93631729744,0.829109220129907
18,4528.765625,70.5,536.070595741272,122713.93458488806,0.8217031448807869
19,4535.859375,69.5,538.9360990524292,121748.51540844883,0.819430692511768
20,4540.87890625,69.7,541.9760372638702,121076.93057036247,0.8128872555707444
21,4533.01171875,69.8,537.7343242168427,120473.95305836888,0.8121446044846352
22,4533.08203125,69.6,550.3787524700165,120610.5894689499,0.8101240237273624
23,4536.48046875,70.5,540.2725832462311,119806.7387559968,0.8101912155188387
24,4544.46875,69.8,537.718189239502,119814.27986740405,0.8072809349329585
25,4550.27734375,70.0,538.3036375045776,118879.19078158315,0.8065807777837329
26,4556.58203125,70.4,549.7138392925262,118004.73963885928,0.8078863428635693
27,4563.4296875,70.8,540.9260995388031,118554.30113939232,0.8078533848086122
28,4570.3046875,69.7,537.564644575119,118357.15505063966,0.8046675340798045
29,4577.37890625,69.8,544.4610517024994,117098.84518256929,0.7993591893503309
30,4584.5546875,70.4,550.7330522537231,117088.56205023987,0.8033915060511713
31,4591.625,70.8,544.3590617179871,116717.95057635928,0.8062350833912149
32,4598.8515625,70.4,538.8048768043518,117436.81155050639,0.8027612770894993
33,4606.78515625,69.8,538.7796919345856,117146.55513726013,0.8046518835319358
34,4613.93359375,69.9,538.1220304965973,116165.23467484009,0.8004690751334799
35,4621.03125,69.6,541.5539872646332,116200.6641624467,0.801597387896315
36,4628.95703125,69.7,543.5121800899506,116262.24040511728,0.8021470006672017
37,4636.1953125,70.1,539.8872141838074,116008.77493670043,0.805236364274725
38,4643.3359375,69.7,537.8258528709412,115936.46711753731,0.8047470585899977
39,4650.37109375,69.6,540.6948411464691,116497.18668376865,0.8043410170569005
40,4657.58984375,70.1,539.232991695404,115753.08105676972,0.8074802449516407
41,4664.76953125,70.8,540.719233751297,116306.83738672709,0.801141925866026
42,4671.94921875,70.1,540.2324526309967,116112.95154251067,0.8020046453262248
43,4679.15625,69.6,547.9374532699585,116538.45454091151,0.8001064562653223
44,4686.2734375,70.4,540.5098762512207,115582.49558568763,0.7993062311521759
45,4693.36328125,69.5,549.0649216175079,115509.20032649254,0.7978085990993722
46,4700.44921875,70.7,550.4311196804047,115989.94351345948,0.7991763854421734
47,4659.5546875,70.1,571.8253362178802,115652.30893523454,0.8024414887952586
48,1942.9921875,70.5,558.7366056442261,115377.20464085821,0.7943979749543647
49,1936.3828125,69.9,569.8373234272003,115809.25279850746,0.7990731645749363
