epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
23,2.4082225264401642e-05,0.0005767819148976863,"tf.Tensor(0.7653612, shape=(), dtype=float32)","tf.Tensor(0.59964913, shape=(), dtype=float32)","tf.Tensor(0.86512065, shape=(), dtype=float32)","tf.Tensor(0.67415315, shape=(), dtype=float32)"
24,2.4148004365728346e-05,0.0006009299192634147,"tf.Tensor(0.7552191, shape=(), dtype=float32)","tf.Tensor(0.59233975, shape=(), dtype=float32)","tf.Tensor(0.8660789, shape=(), dtype=float32)","tf.Tensor(0.674882, shape=(), dtype=float32)"
25,2.4161708235035388e-05,0.00062509162749845,"tf.Tensor(0.7444823, shape=(), dtype=float32)","tf.Tensor(0.5829428, shape=(), dtype=float32)","tf.Tensor(0.8699636, shape=(), dtype=float32)","tf.Tensor(0.6766544, shape=(), dtype=float32)"
26,2.4065940095718323e-05,0.0006491575675941684,"tf.Tensor(0.7368354, shape=(), dtype=float32)","tf.Tensor(0.57943946, shape=(), dtype=float32)","tf.Tensor(0.8750787, shape=(), dtype=float32)","tf.Tensor(0.68265134, shape=(), dtype=float32)"
27,2.4102726769229488e-05,0.0006732602943633979,"tf.Tensor(0.72956175, shape=(), dtype=float32)","tf.Tensor(0.57394403, shape=(), dtype=float32)","tf.Tensor(0.878209, shape=(), dtype=float32)","tf.Tensor(0.6846844, shape=(), dtype=float32)"
28,2.4072150983672544e-05,0.0006973324453470705,"tf.Tensor(0.7227936, shape=(), dtype=float32)","tf.Tensor(0.56817424, shape=(), dtype=float32)","tf.Tensor(0.88213044, shape=(), dtype=float32)","tf.Tensor(0.68671316, shape=(), dtype=float32)"
29,2.4202122266245085e-05,0.0007215345676133155,"tf.Tensor(0.7141468, shape=(), dtype=float32)","tf.Tensor(0.5591484, shape=(), dtype=float32)","tf.Tensor(0.8843663, shape=(), dtype=float32)","tf.Tensor(0.6858142, shape=(), dtype=float32)"
30,2.4307782910353853e-05,0.0007458423505236694,"tf.Tensor(0.7066528, shape=(), dtype=float32)","tf.Tensor(0.5520794, shape=(), dtype=float32)","tf.Tensor(0.89006644, shape=(), dtype=float32)","tf.Tensor(0.6884291, shape=(), dtype=float32)"
31,2.413722530919887e-05,0.0007699795758328682,"tf.Tensor(0.69902605, shape=(), dtype=float32)","tf.Tensor(0.5506805, shape=(), dtype=float32)","tf.Tensor(0.89581335, shape=(), dtype=float32)","tf.Tensor(0.69700235, shape=(), dtype=float32)"
32,2.4496592028763104e-05,0.0007944761678616313,"tf.Tensor(0.6857898, shape=(), dtype=float32)","tf.Tensor(0.53743935, shape=(), dtype=float32)","tf.Tensor(0.8998268, shape=(), dtype=float32)","tf.Tensor(0.6970559, shape=(), dtype=float32)"
33,2.686125910145548e-05,0.0008213374269630867,"tf.Tensor(0.6806408, shape=(), dtype=float32)","tf.Tensor(0.5324331, shape=(), dtype=float32)","tf.Tensor(0.9034819, shape=(), dtype=float32)","tf.Tensor(0.69808865, shape=(), dtype=float32)"
