epoch,train_loss,train_rmse
0,1.7747786268783412,0.9529812746366377
1,1.686858514280736,0.9026803982832933
2,1.6625651730976252,0.8860554284430441
3,1.6464875715863736,0.8764209902438751
4,1.6382668701725938,0.8733742352053461
5,1.6312696541489549,0.8669258827118534
6,1.626748876890364,0.8632032503520801
7,1.6271771731903744,0.8608757193716706
8,1.624628679917833,0.8485086118660009
9,1.621273575527809,0.8449772119900592
10,1.6178970526913445,0.8391734532244226
11,1.6153093616269854,0.835287145146396
12,1.6123366601056488,0.8265204006190187
13,1.6051609975819723,0.8201151740981601
14,1.6037041405479215,0.8210522806723097
15,1.6007405118035167,0.8182601468439501
16,1.59901269358657,0.8130055202778965
17,1.594512559760812,0.8092797962650012
18,1.5916151648009038,0.8079063437979224
19,1.5862031038132303,0.8014764990316043
20,1.585818492661405,0.798828347095003
21,1.585006648899657,0.7922381701687966
22,1.5819687261066584,0.7910537446153836
23,1.5791725453496899,0.7907002337405936
24,1.5786111486601646,0.7890596245899478
25,1.577556876413007,0.7848520418120749
26,1.5749532296908852,0.7831032409786928
27,1.5735550717400402,0.7818530380548872
28,1.5710927162194925,0.7765264334075831
29,1.570639861886483,0.7732920529125347
30,1.5690924983404595,0.7675666869168158
31,1.566157648066935,0.7689157754593821
32,1.5659281567007226,0.7680465988115432
33,1.564786190851795,0.7685936208734597
34,1.5615432032582692,0.7649178153429124
35,1.5606273452543047,0.7615246861669857
36,1.5591935149195262,0.7591694095724643
37,1.5593244765901932,0.7609633481900464
38,1.5572291827140554,0.7590722035821478
39,1.5581103961694516,0.7589397734889898
40,1.5546195025922094,0.7542780495278584
41,1.555934635103515,0.7524125259906862
42,1.5537152075828806,0.7512396602298683
43,1.5532952320299909,0.7539175669482604
44,1.5536379590439,0.7519341398090202
45,1.5530057446815668,0.7493239951767955
46,1.5534870765509519,0.7498286788562203
47,1.5505140820628267,0.7489987052650454
48,1.5497968803641116,0.7452760047403214
49,1.5497745260174907,0.7469477369622942
