epoch,epoch_emissions_kg,cumulative_emissions_kg,rmse
0,4.878411714057545e-05,4.878411714057545e-05,0.9321783781051636
1,4.8857033899570966e-05,9.764115104014641e-05,0.8876777291297913
2,4.8787479084592214e-05,0.00014642863012473862,0.8686355948448181
3,4.792151525830999e-05,0.0001943501453830486,0.8578370809555054
4,4.947749536075993e-05,0.00024382764074380852,0.8520554304122925
5,4.780844145540185e-05,0.0002916360821992104,0.8506696224212646
6,4.801813995962407e-05,0.00033965422215883446,0.8521432280540466
7,4.78797064135789e-05,0.00038753392857241337,0.8562549352645874
8,4.758701746938533e-05,0.0004351209460417987,0.8617934584617615
9,4.7905687274506474e-05,0.00048302663331630517,0.8682100772857666
10,4.830752745269546e-05,0.0005313341607690006,0.8750717043876648
11,4.857116848528543e-05,0.0005799053292542861,0.8808740377426147
12,5.066903866656246e-05,0.0006305743679208486,0.8870841860771179
13,4.827623878202184e-05,0.0006788506067028704,0.8927223682403564
14,5.044311272844553e-05,0.000729293719431316,0.8978396058082581
15,5.0518815182496294e-05,0.0007798125346138123,0.902459979057312
16,4.9081667564400067e-05,0.0008288942021782124,0.9069116115570068
17,4.771422396240125e-05,0.0008766084261406136,0.9108869433403015
18,5.0073879737890805e-05,0.0009266823058785045,0.9144862294197083
19,5.634796241917874e-05,0.0009830302682976833,0.9180840849876404
20,4.9980193696045056e-05,0.0010330104619937284,0.9204975366592407
21,4.9011222479955576e-05,0.001082021684473684,0.923469603061676
22,4.802443521342178e-05,0.0011300461196871057,0.9259516596794128
23,4.756809496243671e-05,0.0011776142146495425,0.9279517531394958
24,4.966072932717846e-05,0.001227274943976721,0.9303736090660095
25,5.064386475855307e-05,0.0012779188087352741,0.9323307275772095
26,4.878767255020221e-05,0.0013267064812854763,0.9341273903846741
27,5.0400043634772735e-05,0.001377106524920249,0.9358505606651306
28,5.050303451117879e-05,0.0014276095594314279,0.936827540397644
29,5.0368278858739685e-05,0.0014779778382901676,0.9381289482116699
30,4.760253428387093e-05,0.0015255803725740386,0.9395198225975037
31,4.795428679010551e-05,0.0015735346593641441,0.94058758020401
32,4.781006533491162e-05,0.0016213447246990558,0.9416390657424927
33,4.8317257826306215e-05,0.001669661982525362,0.9423009753227234
34,4.802120235668858e-05,0.0017176831848820507,0.9434295892715454
35,4.993258333107015e-05,0.0017676157682131209,0.9443417191505432
36,4.9347886705572574e-05,0.0018169636549186935,0.9449542164802551
37,4.765362655970567e-05,0.0018646172814783992,0.9452747106552124
38,5.057281996526924e-05,0.0019151901014436686,0.9462386965751648
39,5.455237037014071e-05,0.0019697424718138094,0.9469582438468933
40,5.335577939698701e-05,0.0020230982512107966,0.9476311206817627
41,5.248960386628135e-05,0.002075587855077078,0.9480571150779724
42,4.7111550324450605e-05,0.0021226994054015288,0.9485360383987427
43,4.165589276813999e-05,0.002164355298169669,0.949068546295166
44,4.406468301663544e-05,0.002208419981186304,0.9495766162872314
45,4.313099609516058e-05,0.0022515509772814647,0.9498194456100464
46,4.126912816333021e-05,0.002292820105444795,0.9501981139183044
47,4.154418470383161e-05,0.0023343642901486267,0.9504404664039612
48,4.169574500273186e-05,0.0023760600351513585,0.9511720538139343
49,4.1481537443448406e-05,0.002417541572594807,0.9511018395423889
