epoch,train_loss,test_rmse,recall@5,ndcg@5,recall@10,ndcg@10,recall@20,ndcg@20,recall@50,ndcg@50
0,1740978.75,2.987785647114006,0.0008839163473584403,0.002442397189005432,0.003137437990272355,0.0033535114343652005,0.007156651568576907,0.005213510439126437,0.019591242108569044,0.009355405066846628
1,789653.0677083334,2.127232068008872,0.002545066869851124,0.004322731547543439,0.007062926797028773,0.00704992519613846,0.01390058466250657,0.009971984809408611,0.029951526197360617,0.015197524522201224
2,267384.0364583333,1.4686785379184961,0.005104199249483716,0.010088386002488028,0.007779958379352779,0.010461219860961263,0.019060303267285684,0.014603088637973776,0.04471509117455735,0.02450359525793257
3,202652.09635416666,1.2238690710457045,0.0060894934761229445,0.011639705813004195,0.016644826338379104,0.016852081964374464,0.03814202070931384,0.026663466663230335,0.09502814885316353,0.049791467665457445
4,218757.42447916666,1.2259257010544713,0.02141828740123277,0.040530888077430736,0.036981306750626754,0.045730614783702224,0.05856256127324291,0.05325571008046748,0.10810875048593972,0.07274061852301389
5,191111.96614583334,1.3244305124014168,0.015955339609417855,0.03372130388975956,0.024822219328674983,0.03366543196203517,0.04150406583773438,0.039734665903882256,0.09309182661737274,0.05982295214708483
6,163855.01822916666,1.428878411762751,0.002339150614293346,0.0022273099390846558,0.009603974820015857,0.008575007484859228,0.022081074270456993,0.01548100622337699,0.06578213045493424,0.032761147686004605
7,159421.86979166666,1.4668351276531006,0.0,0.0,0.0018118363048178015,0.0010956836668972075,0.008807312047817487,0.004966973182446698,0.033411977214320494,0.015527066954183395
8,158628.9765625,1.4387203000081523,0.0,0.0,1.905850962454736e-05,1.4026509482177227e-05,0.00013633139475457536,0.0001310278726130414,0.025651003185715487,0.011070413859998128
9,156298.28645833334,1.3926178057849286,0.0,0.0,0.0,0.0,1.905850962454736e-05,9.057890661575659e-06,0.033444435508910395,0.01333588757122279
10,152674.765625,1.359499852359185,0.0,0.0,0.0,0.0,0.0008597883597883597,0.0003072225393866865,0.053760634598499335,0.022476970052181095
11,152553.68489583334,1.3499449100420968,0.0,0.0,0.0,0.0,0.0025541060196686985,0.0018330806861339257,0.060222427739171365,0.02592161640413094
12,148964.28125,1.3541931515023231,0.0,0.0,0.0,0.0,0.004240193209506397,0.0028707867566279714,0.0607274365820729,0.026210692721881066
13,152761.58333333334,1.3539211030188463,0.0,0.0,0.0,0.0,0.008770930009130904,0.005750583176256284,0.0562615179949209,0.02449249917953071
14,148595.54947916666,1.3474658798155772,0.0,0.0,0.0,0.0,0.003717536169456377,0.002395709696135584,0.052646757668511124,0.02214691071087196
15,152149.70052083334,1.3456941265489417,0.0,0.0,0.0,0.0,0.000612677853243891,0.0002636764544571739,0.04853410086815905,0.0203690340376036
16,144986.10416666666,1.342084181938125,0.0,0.0,0.0,0.0,0.0002489212394872772,0.00012950895007312338,0.05406980449933343,0.023136078155827113
17,146460.64322916666,1.328713198664758,0.0,0.0,0.0,0.0,0.0021867908785724024,0.00149494603426007,0.05677173719669862,0.02463201144257841
18,150300.44010416666,1.3220314014899899,0.0,0.0,0.0,0.0,0.00010877142828483444,0.00010187022758362883,0.05536508269264933,0.023685962765428524
19,152378.828125,1.3258830575828868,0.0,0.0,0.0,0.0,0.0,0.0,0.053729826779637106,0.02223068260111591
20,151791.78645833334,1.324528208045901,0.0,0.0,0.0,0.0,0.0,0.0,0.04731560807444646,0.019840711881280736
21,148043.80208333334,1.3182379776948077,0.0,0.0,0.0,0.0,0.00028514038681502795,0.00019393372041775795,0.05051138615396348,0.020916941772570252
22,149165.28385416666,1.3100247840698889,0.0,0.0,0.0,0.0,0.0010755100542172158,0.0007865262276531424,0.05435537241771232,0.023425319917686024
23,146946.08072916666,1.3090218481580647,0.0,0.0,0.0,0.0,0.0018581296870770554,0.0008234701335599975,0.05432919959283181,0.023040919676575383
24,150106.95833333334,1.3101867244711396,0.0,0.0,0.0,0.0,0.0007565582565582566,0.00033625820490303684,0.050720940855295514,0.02154380891798603
25,149626.85677083334,1.302067678631053,0.0,0.0,0.0,0.0,0.0012231287231287233,0.00044898913750950384,0.04940819720179639,0.020599086081180405
26,148399.1796875,1.2931688007064992,0.0,0.0,0.0,0.0,0.00035418285418285415,0.00013882304530248311,0.05015455551078235,0.020725067421255034
27,147386.65364583334,1.2945372331829168,0.0,0.0,0.0,0.0,0.0002279202279202279,6.968238175316376e-05,0.046587288672614434,0.01939970347947625
28,143485.75520833334,1.286912262554498,0.0,0.0,0.0,0.0,2.5900025900025898e-05,1.9635659957640224e-05,0.05141378178393575,0.0213854042314821
29,149581.03125,1.2821375944763336,0.0,0.0,0.0,0.0,0.00011007511007511007,7.049381554425682e-05,0.051044382295730314,0.021311442939737565
30,146939.20833333334,1.2831383665266665,0.0,0.0,0.0,0.0,0.00045454545454545455,0.00012995152115322732,0.051132973058909514,0.021017485819221214
31,143149.35677083334,1.280423895072628,0.0,0.0,0.0,0.0,0.0003878066378066378,0.00015745972837825554,0.048242578869608706,0.02018029655273792
32,147570.66927083334,1.2733989357540907,0.0,0.0,0.0,0.0,0.0018887968523524981,0.0011425028819245227,0.04714077600718445,0.020269845729352594
33,144418.15364583334,1.270279310591897,0.0,0.0,0.0,0.0,0.0016641384396317346,0.000903111588569378,0.04953503649138317,0.020627682394754165
34,143995.27083333334,1.2726208866445794,0.0,0.0,0.0,0.0,0.00010323359379963153,6.529276999504361e-05,0.05349337268440333,0.022219167175955793
35,141769.4921875,1.267602590045016,0.0,0.0,0.0,0.0,0.00041588390644994416,0.00014487554895591386,0.05090374459632206,0.021594945959712033
36,147760.39583333334,1.266996143579823,0.0,0.0,0.0,0.0,0.0,0.0,0.047673278007284735,0.01984609114504451
37,139123.63541666666,1.260708803877383,0.0,0.0,0.0,0.0,0.0005014464920125297,0.0002006962648379996,0.042691407695562573,0.018044911718139354
38,142263.13020833334,1.2567100521492944,0.0,0.0,0.0,0.0,0.0002725087630748008,0.00017616195677589984,0.03627610455902549,0.015381805256718579
39,139219.14192708334,1.2544918861640026,0.0,0.0,0.0,0.0,2.5900025900025898e-05,1.7881822343539005e-05,0.04415984633397522,0.017975827535645313
40,142256.30208333334,1.255524959976927,0.0,0.0,0.0,0.0,8.417508417508417e-05,5.200417804879725e-05,0.04605853936564676,0.018835100907340075
41,141886.33854166666,1.2525628559943347,0.0,0.0,0.0,0.0,0.0009018759018759018,0.00036537373525983137,0.05162530300300785,0.02152484806863538
42,138738.703125,1.247430381884534,0.0,0.0,0.0,0.0,0.002590973324625637,0.001206176166456266,0.048225402620436876,0.020323903195048225
43,144202.9375,1.2486140398059893,0.0,0.0,0.0,0.0,0.002629194446180092,0.0014358188617460187,0.047534133981374065,0.02022868211887602
