epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse,mae,time_sec,memory_mb,cpu_percent
1,1.2679332411702764e-06,1.2679332411702764e-06,35.508174896240234,24.792741775512695,4.979230843837023,4.543401590799186,6.2089502811431885,384.58203125,22.4
2,1.8325638783416404e-07,1.4511896290044405e-06,17.881933212280273,8.837477684020996,2.97278951493178,2.4370004949725885,5.027924299240112,389.0546875,20.3
3,1.8332447255533097e-07,1.6345141015597715e-06,7.6408209800720215,5.325082302093506,2.3076140397718663,1.8596607376708831,5.040494441986084,390.7421875,22.7
4,1.9702738970134777e-07,1.8315414912611193e-06,6.494839668273926,5.175954818725586,2.275072497629098,1.8536338798108418,5.027946472167969,391.6796875,18.8
5,1.8258045294663138e-07,2.014121944207751e-06,6.022764682769775,4.638522148132324,2.1537228914825906,1.765811248035817,5.091677904129028,392.453125,17.9
6,1.7312348739446068e-07,2.1872454316022114e-06,5.7684407234191895,4.434426784515381,2.1058080303992277,1.7165392718066352,4.997857332229614,392.63671875,21.1
7,1.9288888519913054e-07,2.3801343168013417e-06,5.529306888580322,4.447178363800049,2.1088333564341526,1.7214804148917757,5.106698989868164,393.48046875,27.0
8,1.759109505394008e-07,2.5560452673407425e-06,5.37615966796875,4.248711585998535,2.061240273843886,1.6800555144528755,5.040411472320557,393.921875,14.0
9,1.8277371733909447e-07,2.738818984679837e-06,5.241228103637695,4.240436553955078,2.059232112657731,1.6808276807504987,5.008063554763794,394.67578125,12.4
10,1.9011718091373541e-07,2.928936165593572e-06,5.088676929473877,4.139185428619385,2.0344988584709145,1.6538095641872512,5.017647981643677,394.9375,10.2
11,1.7946709322131965e-07,3.1084032588148918e-06,5.062296390533447,4.102933406829834,2.025569986725086,1.646491750954371,4.99401593208313,395.6953125,10.4
12,1.7798919760083773e-07,3.2863924564157294e-06,4.950613021850586,4.123078346252441,2.0305364995007835,1.6496046899180543,4.977251052856445,396.578125,11.6
13,2.5461473385226384e-07,3.5410071902679933e-06,4.881360054016113,4.036539554595947,2.0091141635056617,1.629214772891551,5.07344913482666,396.57421875,12.8
14,1.822771724276721e-07,3.7232843626956654e-06,4.816678047180176,4.0554046630859375,2.0138035467940663,1.6325447131874664,5.05509877204895,397.3984375,15.0
15,1.9008622799740753e-07,3.913370590693073e-06,4.732234477996826,4.052271366119385,2.013025398093084,1.6312701053175114,4.991777420043945,397.46484375,15.5
16,2.050187181266938e-07,4.118389308819767e-06,4.773589611053467,4.146600246429443,2.036320306054382,1.6536685536812985,5.016359567642212,397.4609375,13.1
17,1.6606520709442618e-07,4.284454515914193e-06,4.646010875701904,4.118777751922607,2.0294773346261215,1.649327816390265,4.980356931686401,398.21484375,11.4
18,1.9866780655151747e-07,4.48312232246571e-06,4.69820499420166,3.985652446746826,1.9964099324972304,1.6137153865249125,5.0178515911102295,398.203125,18.7
19,1.8922581676724715e-07,4.672348139232957e-06,4.677389144897461,3.9991464614868164,1.9997866054453046,1.6185891545044317,5.053248882293701,399.15234375,13.5
20,1.8221062808778135e-07,4.8545587673207385e-06,4.632376194000244,4.297442436218262,2.073027448661165,1.6906588072737605,4.986342668533325,399.21484375,11.9
21,1.9119038124084102e-07,5.045749148561579e-06,4.623471260070801,4.238704204559326,2.058811392761685,1.6799375680254354,5.0225419998168945,399.97265625,13.0
22,2.280273221889244e-07,5.273776470750504e-06,4.667717933654785,3.992140293121338,1.9980341078349009,1.6145795935042218,5.065661191940308,399.97265625,13.7
23,1.843984585248075e-07,5.458174929275312e-06,4.587307929992676,4.05106258392334,2.012725147002373,1.629865775205704,5.018534421920776,400.09765625,15.3
24,1.8703193311649572e-07,5.645206862391807e-06,4.54325532913208,4.174988746643066,2.0432790035379607,1.6628703194953873,4.966782808303833,400.97265625,9.7
25,1.865439533552855e-07,5.831750815747093e-06,4.561496257781982,4.061498641967773,2.0153160627213427,1.6331707363698815,4.9894349575042725,400.94921875,8.9
26,1.6841369953148004e-07,6.000164515278573e-06,4.571543216705322,4.145211219787598,2.0359792153210776,1.6557062628906642,4.954185247421265,400.9375,13.0
27,1.955939328114089e-07,6.195758448089982e-06,4.5190510749816895,4.041784763336182,2.010419001261059,1.6303464260067644,4.992764472961426,401.25390625,10.9
28,1.8019464612702047e-07,6.375953094217002e-06,4.547438621520996,4.02028751373291,2.0050654897268974,1.624212761941923,4.984232664108276,401.39453125,11.2
29,1.8689077050866318e-07,6.562843864725665e-06,4.434652328491211,4.129437446594238,2.032101656458851,1.6520843198705577,4.967365503311157,402.1484375,12.9
30,1.7078459347017815e-07,6.733628458195843e-06,4.451949596405029,4.094692230224609,2.023534523631503,1.6408443601333922,4.992340803146362,402.20703125,8.8
31,1.7173433767293679e-07,6.90536279586878e-06,4.437075138092041,4.0074968338012695,2.0018733836381326,1.6207751179469516,4.9992265701293945,402.20703125,11.1
32,1.7588581567373846e-07,7.081248611542519e-06,4.480364799499512,4.149787902832031,2.0371030033078976,1.6538654344516377,4.97932767868042,402.31640625,13.1
33,1.911724737356547e-07,7.272421085278173e-06,4.407309532165527,4.288936614990234,2.0709747741177846,1.687210256804503,4.982376575469971,403.3203125,15.0
34,1.7579513784768388e-07,7.4482162231258574e-06,4.3908281326293945,4.198756694793701,2.0490868334278023,1.665451991666275,4.991411924362183,404.0859375,12.9
35,1.8063347683564475e-07,7.628849699961502e-06,4.4138689041137695,4.072944641113281,2.018153722578195,1.6354607086759518,4.987360239028931,404.1484375,8.8
