epoch,epoch_emissions_kg,cumulative_emissions_kg,rmse,recall_5,recall_10,recall_20,recall_50,ndcg_5,ndcg_10,ndcg_20,ndcg_50
0,0.00018881215834676342,0.00018881215834676342,1.9276271692234834,0.5770054678026153,0.7539999436351338,0.8889772896991807,0.9738453740069428,0.9336840160553735,0.9368628199316019,0.9444851596086892,0.9543128208588277
1,0.0001961789459252452,0.0003849911042720086,1.102811331119419,0.5818298395111621,0.7597167146905729,0.8926862195799696,0.9750179380024704,0.9455292728138506,0.9491666503479266,0.9543704903280865,0.9616695896395082
2,0.0001950631237093527,0.0005800542279813613,0.978183699178885,0.5828324632289094,0.7607637437184875,0.8932984969743872,0.9754243088706488,0.948381755417341,0.9517185860070679,0.9565375353832816,0.9635746742604685
3,0.00018625531394034879,0.0007663095419217102,0.9441713353955374,0.5832523980507016,0.7609972619439465,0.8937627911809015,0.9755965181686433,0.9493624846685945,0.952134814508651,0.9572002772589009,0.9640166563101382
4,0.00016787754330374342,0.0009341870852254536,0.9303568174402324,0.5834057055431707,0.7611213496262839,0.8939398952900948,0.9756809133130794,0.9488817981281191,0.9519744282900561,0.9571688610549257,0.9639456497659652
5,0.0001518557585398489,0.0010860428437653026,0.9247219474270136,0.5832142304736935,0.7610797612543215,0.8940353172349341,0.9756374111035113,0.9490952480984547,0.9525057776199309,0.9577532083062041,0.9644024904833588
6,0.00014932790682776432,0.0012353707505930668,0.9206061678071272,0.5839239647049213,0.761096327597642,0.893983864851321,0.9757552980899167,0.9501615142465389,0.9527063026316441,0.957859440446447,0.9646451847648149
7,0.00015301302721047738,0.0013883837778035442,0.9163988445450186,0.584032383579941,0.7612370586494149,0.8942290567108377,0.9757602976360555,0.9505143149597802,0.9532856451446847,0.9585203851768969,0.9651426543879538
8,0.00014804673415871124,0.0015364305119622554,0.9133935806435042,0.5847310015751302,0.761481017351299,0.8940936582436421,0.9756956162773955,0.9517505722782852,0.9539945860648436,0.9588077080589347,0.9654101248373753
9,0.00014712721209551364,0.001683557724057769,0.9091052734332504,0.5846172830254445,0.7615781055132362,0.8944046676654722,0.9757800809314067,0.9520291335946165,0.9545090442494186,0.9593573855623287,0.9658110146809117
10,0.00015036407287725978,0.001833921796935029,0.9052577300905462,0.5848214928563867,0.7620283326639943,0.894619557577827,0.9757906766179973,0.9525464278524726,0.9550782757149208,0.9597863195587496,0.9660772662013423
11,0.00014326667729490982,0.0019771884742299387,0.9022918621088809,0.5844634516015473,0.7619807145161167,0.8948077135480447,0.975852468997707,0.9526228085034726,0.9552250327381728,0.9601137928145405,0.9662298236273807
12,0.00014341223173532352,0.002120600705965262,0.8987585011182706,0.5853698040501689,0.7621483320976273,0.8947830334157532,0.975871909642079,0.9537231760041146,0.9558669887004099,0.9604244170467129,0.9665521860399181
13,0.00014980905331338982,0.0022704097592786522,0.8976544895363151,0.5855655008841861,0.7621057705746861,0.8950317620476519,0.97588398332319,0.954700296699932,0.9560960196837598,0.9608768109154925,0.9668324867787964
14,0.00014196044884586933,0.0024123702081245216,0.8955164501170562,0.5850486424661122,0.7626676251476479,0.8951801917299927,0.9759202078478098,0.9544343084689365,0.9567513674574565,0.9610376758548138,0.9669221706117913
15,0.00014421199046747024,0.0025565821985919918,0.8920919773178138,0.5860873299713688,0.7632226693149959,0.8952449518271656,0.975949394781991,0.9558528324106405,0.9578350587190259,0.9617564498489801,0.9675715844476572
16,0.0001480242216547422,0.002704606420246734,0.8907381660713648,0.5861760068342444,0.7631981201584016,0.8952815855672726,0.9759740623454755,0.9564165945117664,0.9581661902628916,0.9619521032468938,0.9677420787385259
17,0.00014604444782750277,0.0028506508680742368,0.8876657641336951,0.5865149628323528,0.7633936282646431,0.8954781050228332,0.9759826546870403,0.9565254787139984,0.9583338769011851,0.962033146427505,0.9676565864371295
18,0.0001460343663481786,0.0029966852344224153,0.8852025662596253,0.5864292841986302,0.7634222682770371,0.8954836489676736,0.9760060153735823,0.9573754333103403,0.9588543996100685,0.9625810643115583,0.9681685393812528
19,0.00014598778358713535,0.003142673018009551,0.883358343088399,0.58665598749388,0.7633744871549986,0.8954917852664184,0.9760235972112794,0.9578135582042665,0.9589204829546039,0.9627574559927333,0.968338712656941
20,0.0001435703927472072,0.003286243410756758,0.8817271141141575,0.5861182020378105,0.7636064958084354,0.8954984653854422,0.9760547157365382,0.9572867068258695,0.9592430222409494,0.962769140873286,0.9684214035807138
21,0.0001484141801234866,0.0034346575908802447,0.8787056952929688,0.5868179685231765,0.7636364885091769,0.895940925247555,0.9760290942662139,0.9584222961505904,0.9597670753268435,0.9635607368442428,0.9687464377994114
22,0.0001433761853722167,0.0035780337762524616,0.8763262410135096,0.5867852919513943,0.7639033750425567,0.895947862057225,0.9760907400839065,0.9594828177877811,0.9607223545726847,0.9641568557510785,0.969400361905016
23,0.0001440410471174341,0.003722074823369896,0.8747168769630463,0.586902952736911,0.7640795815376518,0.8961807000123253,0.9760797054901561,0.9592887782669476,0.960865686097578,0.9643139778688161,0.9693369545821915
24,0.0001481577036841671,0.003870232527054063,0.8725639396228493,0.5869962682132733,0.764352564199452,0.8961525758932336,0.9761542314322481,0.959794045646706,0.9614089279443536,0.9646035740849294,0.9696926115406402
25,0.0001441669733573546,0.004014399500411417,0.8702736438543015,0.5869757179387395,0.7641764956646139,0.8960640541279451,0.9761245940282623,0.9595111286457403,0.9609847612338294,0.9643295755220339,0.9695294873270337
