epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse,time_sec,memory_mb,cpu_percent,recall@5,ndcg@5,recall@10,ndcg@10,recall@20,ndcg@20,recall@50,ndcg@50
37,3.8594163766993324e-05,0.0012104273346233302,1.0777021646499634,1.1321412324905396,1.0640213326497587,48.21181035041809,2016.4140625,29.6,0.6484868023352388,0.8232886796103572,0.8237249999456823,0.8483167531934834,0.9360203904178931,0.8739305479737669,0.9933826067499438,0.8951170559413517
38,3.811327311970159e-05,0.0012485406077430317,1.0758475065231323,1.107068419456482,1.0521730997959637,47.70571970939636,2109.83984375,28.2,0.648840461444046,0.8229984378929718,0.8242829623729092,0.8476223029078483,0.9364115331991597,0.8733254602783921,0.993463204975212,0.8942980570437709
39,3.943529715735643e-05,0.0012879759049003881,1.07500422000885,1.1212754249572754,1.0589028752465066,49.159348487854004,1343.875,30.8,0.6484584807301844,0.8217703551235263,0.8238724782486515,0.8469293523169242,0.9363140146297788,0.8729327309804252,0.993455517134213,0.8939943703174669
40,3.803794819457283e-05,0.001326013853094961,1.074317455291748,1.1145435571670532,1.0557193349882859,47.57366180419922,1438.5703125,28.7,0.6494232195122426,0.8236949117597532,0.8237988124003601,0.8480497711177298,0.9367441352993431,0.8744042116706371,0.9934627301777761,0.8952763741805636
41,3.9152342396077366e-05,0.0013651661954910384,1.074077844619751,1.0958834886550903,1.0468446388783912,48.88651514053345,1531.984375,29.9,0.6492690798808751,0.8235177589614935,0.8237531643850279,0.8479526565979609,0.9361901060612619,0.8740136531283027,0.9935534158219334,0.8951961963641337
42,4.003152844695017e-05,0.0014051977239379885,1.0725836753845215,1.117690086364746,1.0572086450874019,49.820119857788086,1397.171875,29.3,0.6497300951109968,0.8239077611958855,0.8237718817744689,0.847728754223698,0.9361037158866969,0.8736428029344921,0.9936496993094326,0.8949738528707003
43,3.944998880198959e-05,0.001444647712739978,1.073039174079895,1.0854053497314453,1.0418278882968217,49.17300581932068,1492.15625,29.9,0.6497654059490525,0.8236143577569217,0.82455699287706,0.8480470718493006,0.9365840681997214,0.8736792997831682,0.9935860082671387,0.8947564329812553
44,4.00439598815864e-05,0.0014846916726215644,1.0712023973464966,1.0973104238510132,1.0475257609905808,49.91262888908386,1397.328125,29.0,0.6492278342088994,0.8243126094299069,0.8242714105589904,0.8483459374904827,0.9365017017172568,0.8741407315407835,0.9935430260918402,0.8951825090171077
45,3.9536775251618336e-05,0.0015242284478731826,1.070141315460205,1.1131393909454346,1.0550541412373287,49.27771615982056,1369.69140625,28.4,0.6494736189477204,0.824106712646153,0.8240632835177281,0.8483047189795835,0.9361116308444523,0.8739475547813115,0.9935666885299134,0.8952433106824912
46,3.97415009111125e-05,0.0015639699487842952,1.0698491334915161,1.0900815725326538,1.044069723266516,49.48932385444641,1463.2890625,29.2,0.6491826087846969,0.8223293761440602,0.8249896844999889,0.8479428244210562,0.9365305637447263,0.8732713151045103,0.9935759363667399,0.8943587755213088
47,3.9675228035404635e-05,0.0016036451768196998,1.0691317319869995,1.1154392957687378,1.056143544456243,49.416282415390015,1299.59375,30.1,0.6498179817383933,0.8236385495174325,0.8245071248802077,0.8480457735182663,0.9362411437220005,0.8735593347591594,0.993628326104706,0.894842483367365
48,3.989530324496654e-05,0.0016435404800646664,1.0688544511795044,1.093827486038208,1.0458620269824244,49.66096639633179,1393.16796875,29.5,0.6492308993257144,0.8228458669166885,0.8246409776317614,0.8479724259773281,0.9363482504595368,0.8734714202192757,0.9936288265867013,0.8946793936851021
49,3.8762866935023084e-05,0.0016823033469996894,1.0689018964767456,1.0883923768997192,1.043260407081396,48.38251042366028,1309.66796875,29.7,0.6490473206956598,0.8227828505166689,0.8245362096924734,0.8478178798036959,0.9368520852505623,0.873867004380433,0.9936383459656107,0.8947538791257943
50,3.967134617322506e-05,0.001996988652957199,1.0674586296081543,1.1024580001831055,1.0499800597218543,49.435699462890625,1397.14453125,32.6,0.6494450169459662,0.8230049631478051,0.8245989608660496,0.8477209322949409,0.9365251689893217,0.8733622847602154,0.9935330091461884,0.8944883123992385
