epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse,recall,ndcg
1,2.0480371476776142e-05,2.0480371476776142e-05,1.4906452894210815,1.651291847229004,1.2850262,0.40002183239372874,0.7463086908507256
2,2.139671727097534e-05,4.1877088747751483e-05,1.2186195850372314,1.4554418325424194,1.2064166,0.40042750433181784,0.7548812026634315
3,1.8460000166249155e-05,6.0337088914000635e-05,1.1805672645568848,1.427642583847046,1.1948398,0.40181506029020325,0.757622205052401
4,1.8528950717271482e-05,7.886603963127211e-05,1.164851188659668,1.3241714239120483,1.1507264,0.404288714788588,0.7637954936889086
5,1.88694056550524e-05,9.773544528632452e-05,1.1564744710922241,1.267910122871399,1.1260151,0.40495364913088777,0.7697536987699793
6,1.8673843933970767e-05,0.00011640928922029529,1.1498953104019165,1.2790870666503906,1.1309673,0.40532837396189747,0.7731128611733946
7,1.904197221874252e-05,0.00013545126143903782,1.1425080299377441,1.2590762376785278,1.1220857,0.40577996471171746,0.7757249623834909
8,1.936531699731188e-05,0.0001548165784363497,1.1367301940917969,1.2415528297424316,1.11425,0.406763985450135,0.7790302885629885
9,1.8722377490732864e-05,0.00017353895592708257,1.1299322843551636,1.2067372798919678,1.0985159,0.4078850755175794,0.7800352728265583
10,1.9178749508728385e-05,0.00019271770543581097,1.123927116394043,1.1908414363861084,1.0912569,0.4085129101525217,0.7829107815146322
11,1.8959476528026097e-05,0.00021167718196383708,1.119470477104187,1.1879833936691284,1.0899465,0.40864664188105015,0.7817976463998731
12,1.9701171066812527e-05,0.0002313783530306496,1.1142208576202393,1.1721214056015015,1.0826455,0.41069942678038357,0.7866323396485978
13,1.8900199963800667e-05,0.00025027855299445024,1.1094415187835693,1.1496164798736572,1.0722016,0.4105229339750993,0.787868237628652
14,1.910396658559454e-05,0.00026938251958004476,1.1048228740692139,1.1366868019104004,1.0661553,0.4109849146554842,0.7881965793627225
15,1.876603095045785e-05,0.0002881485505305026,1.1018588542938232,1.1457769870758057,1.0704098,0.4108525464473243,0.7908593373922516
16,1.8859869674461173e-05,0.00030700842020496376,1.0984387397766113,1.1186162233352661,1.0576464,0.41275864003173235,0.7928169345793825
17,1.8542089291845154e-05,0.0003255505094968089,1.09573233127594,1.1091372966766357,1.0531559,0.41149707877980224,0.7921830663540813
18,1.8640906575420167e-05,0.00034419141607222906,1.0923258066177368,1.1267067193984985,1.0614644,0.41321214551419494,0.7943175999959253
19,1.8551020855435393e-05,0.00036274243692766445,1.0904215574264526,1.1153209209442139,1.0560875,0.41184384633869303,0.7941492986355345
20,1.8733333289352637e-05,0.0003814757702170171,1.0877586603164673,1.1025358438491821,1.050017,0.412214837511305,0.7942892136910289
21,1.8673292350828386e-05,0.00040014906256784547,1.0856177806854248,1.0914733409881592,1.0447359,0.41343104298117755,0.7965937851213137
22,1.885677739326137e-05,0.0004190058399611068,1.0840048789978027,1.0946226119995117,1.0462421,0.4139134440320608,0.7955600711699901
23,1.8842586691881963e-05,0.0004378484266529888,1.0817999839782715,1.0972729921340942,1.0475082,0.4127673094110879,0.7964324515876664
24,1.8648454029151784e-05,0.0004564968806821406,1.0799791812896729,1.101690411567688,1.0496143,0.4128611152899284,0.7966027006508444
25,1.8557469110435243e-05,0.0004750543497925758,1.0793901681900024,1.0968067646026611,1.0472852,0.41258543411211,0.79718671914311
26,1.854646835772736e-05,0.0004936008181503031,1.0770944356918335,1.0813162326812744,1.0398637,0.41374875652381216,0.7979631191661579
27,1.8781263150298744e-05,0.0005123820813006018,1.076468586921692,1.078002691268921,1.0382692,0.41316393895413894,0.7964016135816829
28,1.867952469486257e-05,0.0005310616059954644,1.0753216743469238,1.08131742477417,1.039864,0.4132815164901584,0.7976079057657574
29,1.8733090138632908e-05,0.0005497946961340973,1.0735483169555664,1.0819288492202759,1.040158,0.41371066879997603,0.7968175252496424
30,1.8803164371821417e-05,0.0005685978605059188,1.0723572969436646,1.0739648342132568,1.036323,0.4135828287155659,0.79687450996015
31,1.916375133308919e-05,0.000587761611839008,1.0718127489089966,1.0732402801513672,1.0359732,0.41430772916647474,0.799536066947519
32,1.8669136497737443e-05,0.0006064307483367454,1.0704902410507202,1.074272632598877,1.0364714,0.4134840638792173,0.7984374072979484
33,1.8700645520298358e-05,0.0006251313938570437,1.0693738460540771,1.0789490938186646,1.0387248,0.41380500132920317,0.8005087155267743
34,1.8592949847625423e-05,0.0006437243437046691,1.068791389465332,1.0697613954544067,1.0342927,0.4139725685458274,0.7999804316652184
35,1.870663000191608e-05,0.0006624309737065852,1.0680772066116333,1.0664712190628052,1.0327009,0.4140558039173141,0.7999155160516079
36,1.8637947358080114e-05,0.0006810689210646652,1.0663954019546509,1.070721983909607,1.034757,0.4145790909627464,0.8005648163576576
37,1.8690810690689122e-05,0.0006997597317553543,1.0661910772323608,1.0656558275222778,1.0323061,0.41456850225085135,0.8015816675537019
38,1.8666125798748192e-05,0.0007184258575541026,1.065866231918335,1.072665810585022,1.0356958,0.41410566854981995,0.798563931915123
39,1.8865520417398303e-05,0.0007372913779715008,1.0649322271347046,1.0682927370071411,1.0335823,0.4141718720921921,0.7996132590001624
40,1.8623946363333006e-05,0.0007559153243348339,1.0642130374908447,1.0689852237701416,1.0339175,0.4140052208713787,0.7987645295905375
41,1.87409386149461e-05,0.00077465626294978,1.0631147623062134,1.061523675918579,1.0303025,0.4144818416875101,0.8003098463012341
42,1.8973181348648137e-05,0.0007936294442984281,1.062972903251648,1.0612601041793823,1.0301749,0.4141981073905492,0.799418303151641
43,1.9041742560408906e-05,0.000812671186858837,1.062712550163269,1.0654739141464233,1.0322179,0.4145217499848135,0.8003856691365248
44,1.929003162625482e-05,0.0008319612184850919,1.0623478889465332,1.0634996891021729,1.0312613,0.4154290349645545,0.8009478613821659
45,1.9713142955602856e-05,0.0008516743614406947,1.0616984367370605,1.0619988441467285,1.0305333,0.4153258330219129,0.8017052676492471
46,1.8529630157921675e-05,0.0008702039915986164,1.0602619647979736,1.0575519800186157,1.0283735,0.4143743896875343,0.8008874714550243
47,1.8781463081859556e-05,0.000888985454680476,1.0602895021438599,1.0581691265106201,1.0286735,0.41512734453504874,0.8024792872144809
48,1.828335087523152e-05,0.0009072688055557076,1.0604729652404785,1.0665051937103271,1.0327176,0.4152054596633994,0.8007355051376425
49,1.8514465663813142e-05,0.0009257832712195207,1.0592693090438843,1.0581765174865723,1.0286773,0.41499307449137884,0.8005147674435298
50,1.854938571498567e-05,0.0009443326569345063,1.0592904090881348,1.055869698524475,1.0275552,0.4156746080906827,0.802568587473222
