epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
32,2.355016231524245e-05,0.0007951506753864123,"tf.Tensor(0.6911636, shape=(), dtype=float32)","tf.Tensor(0.5399378, shape=(), dtype=float32)","tf.Tensor(0.8907833, shape=(), dtype=float32)","tf.Tensor(0.6887353, shape=(), dtype=float32)"
33,2.3623165641519924e-05,0.0008187738410279322,"tf.Tensor(0.67038125, shape=(), dtype=float32)","tf.Tensor(0.52441955, shape=(), dtype=float32)","tf.Tensor(0.89934176, shape=(), dtype=float32)","tf.Tensor(0.69537675, shape=(), dtype=float32)"
34,2.4113212146214235e-05,0.0008428870531741464,"tf.Tensor(0.6539803, shape=(), dtype=float32)","tf.Tensor(0.51114833, shape=(), dtype=float32)","tf.Tensor(0.9092799, shape=(), dtype=float32)","tf.Tensor(0.7022481, shape=(), dtype=float32)"
35,2.396212444376835e-05,0.0008668491776179147,"tf.Tensor(0.6418015, shape=(), dtype=float32)","tf.Tensor(0.501305, shape=(), dtype=float32)","tf.Tensor(0.916463, shape=(), dtype=float32)","tf.Tensor(0.70667803, shape=(), dtype=float32)"
36,2.397050813189667e-05,0.0008908196857498114,"tf.Tensor(0.63127446, shape=(), dtype=float32)","tf.Tensor(0.4917569, shape=(), dtype=float32)","tf.Tensor(0.9251959, shape=(), dtype=float32)","tf.Tensor(0.71134347, shape=(), dtype=float32)"
37,2.3972083373563343e-05,0.0009147917691233747,"tf.Tensor(0.62215245, shape=(), dtype=float32)","tf.Tensor(0.48442534, shape=(), dtype=float32)","tf.Tensor(0.9317815, shape=(), dtype=float32)","tf.Tensor(0.71559334, shape=(), dtype=float32)"
38,2.4881964460127265e-05,0.0009396737335835019,"tf.Tensor(0.61452746, shape=(), dtype=float32)","tf.Tensor(0.47937712, shape=(), dtype=float32)","tf.Tensor(0.93997276, shape=(), dtype=float32)","tf.Tensor(0.7219504, shape=(), dtype=float32)"
39,2.475724885668155e-05,0.0009644309824401834,"tf.Tensor(0.60563064, shape=(), dtype=float32)","tf.Tensor(0.47153383, shape=(), dtype=float32)","tf.Tensor(0.9456412, shape=(), dtype=float32)","tf.Tensor(0.7247041, shape=(), dtype=float32)"
40,2.52052759312115e-05,0.000989636258371395,"tf.Tensor(0.5995027, shape=(), dtype=float32)","tf.Tensor(0.4652534, shape=(), dtype=float32)","tf.Tensor(0.95303774, shape=(), dtype=float32)","tf.Tensor(0.72819626, shape=(), dtype=float32)"
41,2.4404725407656495e-05,0.0010140409837790514,"tf.Tensor(0.5966486, shape=(), dtype=float32)","tf.Tensor(0.4630365, shape=(), dtype=float32)","tf.Tensor(0.95751494, shape=(), dtype=float32)","tf.Tensor(0.73125255, shape=(), dtype=float32)"
42,2.382029600051957e-05,0.001037861279779571,"tf.Tensor(0.59007335, shape=(), dtype=float32)","tf.Tensor(0.45796487, shape=(), dtype=float32)","tf.Tensor(0.9649825, shape=(), dtype=float32)","tf.Tensor(0.73611045, shape=(), dtype=float32)"
43,2.531853020292852e-05,0.0010631798099824995,"tf.Tensor(0.5829434, shape=(), dtype=float32)","tf.Tensor(0.45320082, shape=(), dtype=float32)","tf.Tensor(0.97192556, shape=(), dtype=float32)","tf.Tensor(0.7412422, shape=(), dtype=float32)"
44,2.3822829279981595e-05,0.0010870026392624812,"tf.Tensor(0.57739073, shape=(), dtype=float32)","tf.Tensor(0.44814983, shape=(), dtype=float32)","tf.Tensor(0.97813606, shape=(), dtype=float32)","tf.Tensor(0.74483025, shape=(), dtype=float32)"
45,2.3545724261533382e-05,0.0011105483635240145,"tf.Tensor(0.57332474, shape=(), dtype=float32)","tf.Tensor(0.444148, shape=(), dtype=float32)","tf.Tensor(0.981244, shape=(), dtype=float32)","tf.Tensor(0.7453622, shape=(), dtype=float32)"
46,2.6159516453612662e-05,0.0011367078799776273,"tf.Tensor(0.56414324, shape=(), dtype=float32)","tf.Tensor(0.4378705, shape=(), dtype=float32)","tf.Tensor(0.99108064, shape=(), dtype=float32)","tf.Tensor(0.7528985, shape=(), dtype=float32)"
47,2.4638530206810114e-05,0.0011613464101844374,"tf.Tensor(0.55827236, shape=(), dtype=float32)","tf.Tensor(0.43136114, shape=(), dtype=float32)","tf.Tensor(1.0032846, shape=(), dtype=float32)","tf.Tensor(0.7592879, shape=(), dtype=float32)"
48,2.592897163931654e-05,0.0011872753818237538,"tf.Tensor(0.55411035, shape=(), dtype=float32)","tf.Tensor(0.4291291, shape=(), dtype=float32)","tf.Tensor(1.0035645, shape=(), dtype=float32)","tf.Tensor(0.76023144, shape=(), dtype=float32)"
49,2.3838170995620937e-05,0.0012111135528193747,"tf.Tensor(0.54829025, shape=(), dtype=float32)","tf.Tensor(0.42392218, shape=(), dtype=float32)","tf.Tensor(1.0104226, shape=(), dtype=float32)","tf.Tensor(0.7639045, shape=(), dtype=float32)"
