epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,val_loss,rmse,mae,time_sec,memory_mb,cpu_percent
1,1.7472347434096526e-06,1.7472347434096526e-06,50.05979919433594,14.411384582519531,3.7962327603088974,2.9878018955530172,6.754642486572266,427.35546875,17.6
2,7.25596966238151e-07,2.4728317096478036e-06,15.138103485107422,10.21120548248291,3.195497647153422,2.4802272338297056,5.635843515396118,431.53515625,16.4
3,6.786716545259303e-07,3.151503364173734e-06,11.774667739868164,8.242888450622559,2.87104313642061,2.233381662861862,5.602220058441162,433.4921875,19.2
4,7.205394238074384e-07,3.872042787981172e-06,10.200700759887695,7.666893005371094,2.7689154430468155,2.1680070803863085,5.540607213973999,434.53515625,20.9
5,7.389558487468014e-07,4.610998636727973e-06,9.590030670166016,7.643258094787598,2.764644115569599,2.2091840072659448,5.585717678070068,435.546875,27.3
6,7.269116276840666e-07,5.33791026441204e-06,9.223047256469727,7.315947532653809,2.704800803855269,2.119721583886285,5.62005615234375,436.80078125,26.0
7,8.068685782671099e-07,6.14477884267915e-06,8.952207565307617,7.525320529937744,2.743231757020452,2.2044449480018726,5.675171852111816,437.83203125,26.7
8,7.868579820493771e-07,6.9316368247285275e-06,8.8223237991333,7.486470699310303,2.736141545387694,2.2015682946703086,5.745036602020264,438.015625,29.5
9,8.149259808059517e-07,7.74656280553448e-06,8.610733985900879,7.3745012283325195,2.7156032812430078,2.1757179211142508,5.734486818313599,439.72265625,34.7
10,8.562937201145193e-07,8.602856525649e-06,8.475157737731934,7.70320463180542,2.775464689330043,2.2692166396301063,5.76575493812561,439.9765625,37.4
11,7.776837124599397e-07,9.38054023810894e-06,8.284439086914062,7.943530559539795,2.8184269608857466,2.3298045067298183,5.71050500869751,440.9921875,24.2
12,7.506362968882989e-07,1.0131176534997238e-05,8.133770942687988,8.387410163879395,2.8961026013130233,2.4282483800405017,5.618536472320557,441.93359375,18.8
13,7.714400824693454e-07,1.0902616617466583e-05,7.989423751831055,10.149215698242188,3.185783272176617,2.7639780363043966,5.653666019439697,442.1875,18.8
14,7.324063756776845e-07,1.1635022993144267e-05,7.8002166748046875,10.419316291809082,3.227896705689941,2.812202275923584,5.643651247024536,443.09765625,18.8
15,8.691483065571137e-07,1.250417129970138e-05,7.635364532470703,11.133211135864258,3.336646681983324,2.9315142952689968,5.756702899932861,444.1171875,21.8
16,8.234094778751559e-07,1.3327580777576537e-05,7.5426859855651855,12.283029556274414,3.504715165898509,3.1106865065364264,5.77695631980896,445.8515625,24.1
17,9.039737176486399e-07,1.4231554495225177e-05,7.474954605102539,11.621273040771484,3.4089988197683763,3.0107261240658896,5.804494619369507,446.97265625,25.6
18,8.060522911384393e-07,1.5037606786363616e-05,7.401459693908691,12.212307929992676,3.494611431569927,3.0996750902943866,5.712363958358765,447.98046875,18.4
19,7.651219915749621e-07,1.580272877793858e-05,7.297958850860596,13.152450561523438,3.6266307931709805,3.2355681484865686,5.6677327156066895,448.22265625,19.3
