epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
24,370.33984375,23.9,5.507836580276489,"tf.Tensor(1.649635, shape=(), dtype=float32)","tf.Tensor(1.3242304, shape=(), dtype=float32)","tf.Tensor(1.6742579, shape=(), dtype=float32)","tf.Tensor(1.3472497, shape=(), dtype=float32)"
25,370.81640625,22.5,5.602591037750244,"tf.Tensor(1.6212149, shape=(), dtype=float32)","tf.Tensor(1.3002448, shape=(), dtype=float32)","tf.Tensor(1.6508616, shape=(), dtype=float32)","tf.Tensor(1.3258638, shape=(), dtype=float32)"
26,371.2578125,20.4,5.522655963897705,"tf.Tensor(1.5940157, shape=(), dtype=float32)","tf.Tensor(1.2774265, shape=(), dtype=float32)","tf.Tensor(1.6277826, shape=(), dtype=float32)","tf.Tensor(1.3053064, shape=(), dtype=float32)"
27,371.671875,20.5,5.606029033660889,"tf.Tensor(1.56692, shape=(), dtype=float32)","tf.Tensor(1.2545723, shape=(), dtype=float32)","tf.Tensor(1.6043606, shape=(), dtype=float32)","tf.Tensor(1.2856069, shape=(), dtype=float32)"
28,372.08203125,18.9,5.645632266998291,"tf.Tensor(1.539875, shape=(), dtype=float32)","tf.Tensor(1.2315482, shape=(), dtype=float32)","tf.Tensor(1.5813167, shape=(), dtype=float32)","tf.Tensor(1.2660481, shape=(), dtype=float32)"
29,372.62109375,21.2,5.510980606079102,"tf.Tensor(1.5129012, shape=(), dtype=float32)","tf.Tensor(1.2084696, shape=(), dtype=float32)","tf.Tensor(1.5578636, shape=(), dtype=float32)","tf.Tensor(1.2463166, shape=(), dtype=float32)"
30,373.30859375,23.6,5.530688524246216,"tf.Tensor(1.485395, shape=(), dtype=float32)","tf.Tensor(1.1849904, shape=(), dtype=float32)","tf.Tensor(1.5349767, shape=(), dtype=float32)","tf.Tensor(1.2270308, shape=(), dtype=float32)"
31,373.984375,19.5,5.585482120513916,"tf.Tensor(1.4575938, shape=(), dtype=float32)","tf.Tensor(1.1611603, shape=(), dtype=float32)","tf.Tensor(1.5117091, shape=(), dtype=float32)","tf.Tensor(1.2071548, shape=(), dtype=float32)"
32,374.9921875,20.9,5.553576231002808,"tf.Tensor(1.429211, shape=(), dtype=float32)","tf.Tensor(1.1367193, shape=(), dtype=float32)","tf.Tensor(1.4872066, shape=(), dtype=float32)","tf.Tensor(1.1865138, shape=(), dtype=float32)"
33,374.62890625,19.2,5.53244161605835,"tf.Tensor(1.4007182, shape=(), dtype=float32)","tf.Tensor(1.1120774, shape=(), dtype=float32)","tf.Tensor(1.4627208, shape=(), dtype=float32)","tf.Tensor(1.1648585, shape=(), dtype=float32)"
34,374.4453125,21.1,5.513323783874512,"tf.Tensor(1.3722541, shape=(), dtype=float32)","tf.Tensor(1.0875173, shape=(), dtype=float32)","tf.Tensor(1.4378337, shape=(), dtype=float32)","tf.Tensor(1.1423463, shape=(), dtype=float32)"
35,375.6640625,13.7,5.515776872634888,"tf.Tensor(1.3442066, shape=(), dtype=float32)","tf.Tensor(1.0631765, shape=(), dtype=float32)","tf.Tensor(1.4127369, shape=(), dtype=float32)","tf.Tensor(1.1189878, shape=(), dtype=float32)"
36,377.81640625,12.5,5.475089073181152,"tf.Tensor(1.3169725, shape=(), dtype=float32)","tf.Tensor(1.0394816, shape=(), dtype=float32)","tf.Tensor(1.3884232, shape=(), dtype=float32)","tf.Tensor(1.0967339, shape=(), dtype=float32)"
37,377.40234375,13.4,5.50176215171814,"tf.Tensor(1.2904787, shape=(), dtype=float32)","tf.Tensor(1.0163715, shape=(), dtype=float32)","tf.Tensor(1.3648925, shape=(), dtype=float32)","tf.Tensor(1.0752382, shape=(), dtype=float32)"
38,377.61328125,12.1,5.5702879428863525,"tf.Tensor(1.2650946, shape=(), dtype=float32)","tf.Tensor(0.9943178, shape=(), dtype=float32)","tf.Tensor(1.3418851, shape=(), dtype=float32)","tf.Tensor(1.0542234, shape=(), dtype=float32)"
39,378.91015625,19.8,5.57235860824585,"tf.Tensor(1.2418242, shape=(), dtype=float32)","tf.Tensor(0.97361356, shape=(), dtype=float32)","tf.Tensor(1.321124, shape=(), dtype=float32)","tf.Tensor(1.0345103, shape=(), dtype=float32)"
40,379.4140625,13.2,5.45463752746582,"tf.Tensor(1.2203809, shape=(), dtype=float32)","tf.Tensor(0.9546707, shape=(), dtype=float32)","tf.Tensor(1.3018355, shape=(), dtype=float32)","tf.Tensor(1.0168438, shape=(), dtype=float32)"
41,378.14453125,10.8,5.489295482635498,"tf.Tensor(1.2010974, shape=(), dtype=float32)","tf.Tensor(0.93777245, shape=(), dtype=float32)","tf.Tensor(1.2852677, shape=(), dtype=float32)","tf.Tensor(1.0015708, shape=(), dtype=float32)"
42,378.58984375,12.7,5.49633002281189,"tf.Tensor(1.1828449, shape=(), dtype=float32)","tf.Tensor(0.9217033, shape=(), dtype=float32)","tf.Tensor(1.2693566, shape=(), dtype=float32)","tf.Tensor(0.98714876, shape=(), dtype=float32)"
43,378.9921875,11.5,5.526685476303101,"tf.Tensor(1.1659209, shape=(), dtype=float32)","tf.Tensor(0.90667933, shape=(), dtype=float32)","tf.Tensor(1.2554188, shape=(), dtype=float32)","tf.Tensor(0.9741021, shape=(), dtype=float32)"
44,379.46875,12.2,5.506382942199707,"tf.Tensor(1.1497339, shape=(), dtype=float32)","tf.Tensor(0.8924161, shape=(), dtype=float32)","tf.Tensor(1.2422872, shape=(), dtype=float32)","tf.Tensor(0.9613198, shape=(), dtype=float32)"
45,380.14453125,12.2,5.5235960483551025,"tf.Tensor(1.1342901, shape=(), dtype=float32)","tf.Tensor(0.87892956, shape=(), dtype=float32)","tf.Tensor(1.2301414, shape=(), dtype=float32)","tf.Tensor(0.9494938, shape=(), dtype=float32)"
46,381.6640625,12.7,5.450714588165283,"tf.Tensor(1.1193801, shape=(), dtype=float32)","tf.Tensor(0.8658065, shape=(), dtype=float32)","tf.Tensor(1.2184379, shape=(), dtype=float32)","tf.Tensor(0.9385302, shape=(), dtype=float32)"
47,382.88671875,17.6,6.176575422286987,"tf.Tensor(1.1050218, shape=(), dtype=float32)","tf.Tensor(0.85324264, shape=(), dtype=float32)","tf.Tensor(1.2075713, shape=(), dtype=float32)","tf.Tensor(0.9279963, shape=(), dtype=float32)"
48,381.63671875,13.0,5.510318279266357,"tf.Tensor(1.0913335, shape=(), dtype=float32)","tf.Tensor(0.84105706, shape=(), dtype=float32)","tf.Tensor(1.1973224, shape=(), dtype=float32)","tf.Tensor(0.91824955, shape=(), dtype=float32)"
49,383.1484375,17.1,5.466747522354126,"tf.Tensor(1.078216, shape=(), dtype=float32)","tf.Tensor(0.82947934, shape=(), dtype=float32)","tf.Tensor(1.1872748, shape=(), dtype=float32)","tf.Tensor(0.9085508, shape=(), dtype=float32)"
