epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,auc,f1,rmse,recall
0,3.7931856486668724e-05,3.7931856486668724e-05,1.5363326102094266,0.49514583785423455,0.4951319832020314,0.4999938784129654,0.489974524573116
1,3.906865981003964e-05,7.700051629670836e-05,1.3864491771689444,0.4946155675478527,0.49137622815466386,0.4999967072594673,0.48489875746011724
2,4.1092904263286367e-05,0.00011809342055999473,1.386433563157582,0.499138130155219,0.5042528912625607,0.4999984266897061,0.48372327173892243
3,3.963156310685121e-05,0.00015772498366684593,1.3864310974497431,0.4995732846425248,0.5163054027574169,0.4999994846885624,0.4684776549367346
4,3.9028179047599365e-05,0.0001967531627144453,1.386431207571329,0.4996497246529456,0.5879462349953611,0.4999998685901318,0.15365959965796394
5,3.966337055596992e-05,0.00023641653327041522,1.386435054342843,0.49849785599021523,0.5685260714044754,0.4999999886627652,0.23312174640599145
6,3.9865535219321105e-05,0.0002762820684897363,1.3864371672339504,0.49932447605564195,0.5955555041553843,0.49999998683504454,0.1403765112506659
7,3.865227404942014e-05,0.00031493434253915644,1.3864403308239752,0.4999759827801332,0.5218432106328476,0.4999999390242497,0.3647703609796775
8,4.0562720696374014e-05,0.00035549706323553045,1.3864501450093871,0.49764169216416737,0.4988805398204354,0.4999989466151013,0.4947021881887808
9,3.8085861936709166e-05,0.0003935829251722396,1.3865173143656264,0.49914154840101993,0.5046304048301355,0.49998779353804473,0.5085301637808531
10,3.709080823064006e-05,0.0004306737334028797,1.3865287902643861,0.49821299875360797,0.5000010264297021,0.49998708297439315,0.5003901993455236
11,3.715289658936604e-05,0.0004678266299922457,1.3865435476260335,0.4978482113918604,0.49264023281413255,0.49998425177867534,0.4870871579677744
12,3.705585176136896e-05,0.0005048824817536147,1.3865922708147844,0.5015719666719203,0.5003516973306406,0.49997696645212747,0.49327680144187586
13,3.72273843625191e-05,0.0005421098661161337,1.3864759049073463,0.4983024114473326,0.5015732212872474,0.49999784019744814,0.49855641626389646
