epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,auc,f1,rmse,recall
0,4.432828280168651e-05,4.432828280168651e-05,1.532656966838067,0.49486260376804625,0.4958545149636585,0.4999943738967663,0.49514025499788156
1,5.0121119832182456e-05,9.444940263386896e-05,1.3864457535102228,0.49423737028060416,0.4926067815644229,0.49999706209406664,0.48363919069918
2,4.056660328731982e-05,0.0001350160059211888,1.386433220497696,0.49893595508941513,0.4994904282821741,0.499998478159708,0.48403727839663063
3,4.1895234749659515e-05,0.0001769112406708483,1.386431400818675,0.4993280930621052,0.5078051398451393,0.4999994334514531,0.46606087042816746
4,4.149555560882166e-05,0.00021840679627966995,1.3864314304873548,0.49860529013243293,0.6403033918037055,0.49999983819703747,0.016258611246197523
5,4.4110381948080276e-05,0.00026251717822775025,1.3864350880208036,0.49819096055359363,0.5672953470863437,0.49999998809718055,0.25310740249716096
6,4.3598923715650565e-05,0.0003061161019434008,1.3864371439801204,0.5010458965504779,0.5363950140530284,0.4999999764401273,0.3180381692173605
7,4.1388594166759424e-05,0.00034750469611016024,1.38644238223944,0.49820402481469633,0.5000887044894918,0.49999956839321463,0.48146967672258756
8,3.9741843179126154e-05,0.0003872465392892864,1.3864533029864188,0.4971555293646275,0.5065457803631137,0.49999831244973575,0.5097641130191208
9,4.0208019313643274e-05,0.00042745455860292966,1.3865042278050308,0.49992364590001215,0.4988901918690994,0.49999039810081086,0.4951998393371636
10,3.707026248869356e-05,0.0004645248210916232,1.3865211410907352,0.4996369126950701,0.5019068069755775,0.4999882426554097,0.5030172139708532
11,3.705746996227138e-05,0.0005015822910538946,1.3865481935809012,0.4975071789070921,0.4957914826225631,0.49998333375317844,0.4945011500483529
12,3.7090532209569755e-05,0.0005386728232634644,1.3865910808601722,0.49989612555542917,0.49589409307547627,0.4999768386057402,0.49421408666762945
13,3.7381976942180636e-05,0.000576054800205645,1.3864904211775604,0.49738886475583344,0.505608786872272,0.49999541325311925,0.5118581227406833
14,3.7699279901315754e-05,0.0006137540801069608,1.3865360446574977,0.49930687133363494,0.5005962583432448,0.4999878160855631,0.5005028043432014
15,3.6229341112566655e-05,0.0006499834212195274,1.3865936283573441,0.49655436013036175,0.49588207943333773,0.4999767168852668,0.5003634909438145
16,3.592508977897381e-05,0.0006859085109985012,1.386659788978474,0.4979510764966685,0.5019207193012966,0.4999650644420782,0.507545736304839
